HCH_012_010_000273	庚子，巡按福建御史汪澄棄市，幷殺前巡按御史柴文顯。
HCH_012_010_000274	六月庚戌，靖州苗犯辰溪，都指揮高亮戰死。
HCH_012_010_000275	丙辰，南京謹身諸殿災。
HCH_012_010_000276	甲子，修省。
HCH_012_010_000277	詔河南、山西班軍番休者盡赴大同、宣府。
HCH_012_010_000278	乙丑，西寧侯宋瑛總督大同兵馬。
HCH_012_010_000279	己巳，赦天下。
HCH_012_010_000280	戊寅，平鄉伯陳懷，駙馬都尉井源，都督王貴、吳克勤，太監林壽，分練京軍於大同、宣府，備瓦剌。
HCH_012_010_000281	秋七月己丑，瓦剌也先寇大同，參將吳浩戰死，下詔親征。
HCH_012_010_000282	吏部尚書王直帥羣臣諫，不聽。
HCH_012_010_000283	癸巳，命郕王居守。
HCH_012_010_000284	是日，西寧侯宋瑛、武進伯朱冕與瓦剌戰於陽和，敗沒。
HCH_012_010_000285	甲午，發京師。
HCH_012_010_000286	乙未，次龍虎臺，軍中夜驚。
HCH_012_010_000287	丁酉，次居庸關。
HCH_012_010_000288	辛丑，次宣府。
HCH_012_010_000289	羣臣屢請駐蹕，不許。
HCH_012_010_000290	丙午，次陽和。
HCH_012_010_000291	八月戊申，次大同。
HCH_012_010_000292	鎮守太監郭敬諫，議旋師。
HCH_012_010_000293	己酉，廣寧伯劉安為總兵官，鎮大同。
HCH_012_010_000294	庚戌，師還。
HCH_012_010_000295	丁巳，次宣府。
HCH_012_010_000296	庚申，瓦剌兵大至，恭順侯吳克忠、都督吳克勤戰沒，成國公朱勇、永順伯薛綬救之，至鷂兒嶺遇伏，全軍盡覆。
HCH_012_010_000297	辛酉，次土木，被圍。
HCH_012_010_000298	壬戌，師潰，死者數十萬。
HCH_012_010_000299	英國公張輔，泰寧侯陳瀛，駙馬都尉井源，平鄉伯陳懷，襄城伯李珍，遂安伯陳塤，修武伯沈榮，都督梁成、王貴，尚書王佐、鄺埜，學士曹鼐、張益，侍郎丁鉉、王永和，副都御史鄧棨等，皆死，帝北狩。
HCH_012_010_000300	甲子，京師聞敗，羣臣聚哭於朝，侍講徐珵請南遷，兵部侍郎于謙不可。
HCH_012_010_000301	乙丑，皇太后命郕王監國。
HCH_012_010_000302	戊辰，帝至大同。
HCH_012_010_000303	己巳，皇太后命立皇子見深為皇太子。
HCH_012_010_000304	辛未，帝至威寧海子。
HCH_012_010_000305	甲戌，至黑河。
HCH_012_010_000306	九月癸未，郕王即位，遙尊帝為太上皇帝。
