HCH_012_079_000159	穆宗時，陸樹德言：「軍運以充軍儲，民運以充官祿。人知軍運之苦，不知民運尤苦也。船戶之求索，運軍之欺陵，洪閘之守候，入京入倉，厥弊百出。嘉靖初，民運尚有保全之家，十年後無不破矣。以白糧令軍帶運甚便。」
HCH_012_079_000160	疏入，下部議。
HCH_012_079_000161	不從。
HCH_012_079_000162	凡諸倉應輸者有定數，其或改撥他鎮者，水次應兌漕糧，即令坐派鎮軍領兌者給價，州縣官督車戶運至遠倉，或給軍價就令關支者，通謂之穵運。
HCH_012_079_000163	九邊之地，輸糧大率以車，宣德時，餉開平亦然，而蘭、甘、松潘，往往使民背負。
HCH_012_079_000164	永樂中，又嘗令廣東海運二十萬石給交址云。
HCH_012_079_000165	明初，京衛有軍儲倉。
HCH_012_079_000166	洪武三年增置至二十所，且建臨濠、臨清二倉以供轉運。
HCH_012_079_000167	各行省有倉，官吏俸取給焉。
HCH_012_079_000168	邊境有倉，收屯田所入以給軍。
HCH_012_079_000169	州縣則設預備倉，東南西北四所，以振凶荒。
HCH_012_079_000170	自鈔法行，頗有省革。
HCH_012_079_000171	二十四年儲糧十六萬石於臨清，以給訓練騎兵。
HCH_012_079_000172	二十八年置皇城四門倉，儲糧給守禦軍。
HCH_012_079_000173	增京師諸衛倉凡四十一。
HCH_012_079_000174	又設北平、密雲諸縣倉，儲糧以資北征。
HCH_012_079_000175	永樂中，置天津及通州左衛倉，且設北京三十七衛倉。
HCH_012_079_000176	益令天下府縣多設倉儲，預備倉之在四鄉者移置城內。
HCH_012_079_000177	迨會通河成，始設倉於徐州、淮安、德州，而臨清因洪武之舊，並天津倉凡五，謂之水次倉，以資轉運。
HCH_012_079_000178	既，又移德州倉於臨清之永清壩，設武清衛倉於河西務，設通州衛倉於張家灣。
HCH_012_079_000179	宣德中，增造臨清倉，容三百萬石。
HCH_012_079_000180	增置北京及通州倉。
HCH_012_079_000181	京倉以御史、戶部官、錦衣千百戶季更巡察。
HCH_012_079_000182	外倉則佈政、按察、都司關防之。
HCH_012_079_000183	各倉門，以致仕武官二，率老幼軍丁十人守之，半年一更。
HCH_012_079_000184	英宗初，命廷臣集議，天下司府州縣，有倉者以衛所倉屬之，無倉者以衛所改隸。
HCH_012_079_000185	惟遼東、甘肅、寧夏、萬全及沿海衛所，無府州縣者仍其舊。
HCH_012_079_000186	正統中，增置京衛倉凡七。
HCH_012_079_000187	自兌運法行，諸倉支運者少，而京、通倉不能容，乃毀臨清、德州、河西務倉三分之一，改為京、通倉。
HCH_012_079_000188	景泰初，移武清衛諸倉於通州。
HCH_012_079_000189	成化初，廢臨、德預備倉在城外者，而以城內空廒儲預備米。
HCH_012_079_000190	名臨清者曰常盈，德州者曰常豐。
HCH_012_079_000191	凡京倉五十有六，通倉十有六。
HCH_012_079_000192	直省府州縣、籓府、邊隘、堡站、衛所屯戍皆有倉，少者一二，多者二三十云。
HCH_012_079_000193	預備倉之設也，太祖選耆民運鈔糴米，以備振濟，即令掌之。
HCH_012_079_000194	天下州縣多所儲蓄，後漸廢馳。
HCH_012_079_000195	于謙撫河南、山西，修其政。
HCH_012_079_000196	周忱撫南畿，別立濟農倉。
HCH_012_079_000197	他人不能也。
HCH_012_079_000198	正統時，重侵盜之罪，至僉妻充軍。
HCH_012_079_000199	且定納穀千五百石者，敕獎為義民，免本戶雜役。
HCH_012_079_000200	凡振饑米一石，俟有年，納稻穀二石五斗還官。
HCH_012_079_000201	弘治三年限州縣十里以下積萬五千石，二十里積二萬石；衛千戶所萬五千石，百戶所三百石。
HCH_012_079_000202	考滿之日，稽其多寡以為殿最。
HCH_012_079_000203	不及三分者奪俸，六分以上降調。
HCH_012_079_000204	十八年令贖罪贓罰，皆糴穀入倉。
HCH_012_079_000205	正德中，令囚納紙者，以其八折米入倉。
HCH_012_079_000206	軍官有犯者，納谷準立功。
HCH_012_079_000207	初，預備倉皆設倉官，至是革，令州縣官及管糧倉官領其事。
HCH_012_079_000208	嘉靖初，諭德顧鼎臣言：「成、弘時，每年以存留餘米入預備倉，緩急有備。今秋糧僅足兌運，預備無粒米。一遇災傷，輒奏留他糧及勸富民借谷，以應故事。乞急復預備倉糧以裕民。」
HCH_012_079_000209	帝乃令有司設法多積米穀，仍仿古常平法，春振貧民，秋成還官，不取其息。
HCH_012_079_000210	府積萬石，州四五千石，縣二三千石為率。
HCH_012_079_000211	既，又定十里以下萬五千石，累而上之，八百里以下至十九萬石。
HCH_012_079_000212	其後積粟盡平糶，以濟貧民，儲積漸減。
HCH_012_079_000213	隆慶時，劇郡無過六千石，小邑止千石。
HCH_012_079_000214	久之數益減，科罰亦益輕。
HCH_012_079_000215	萬曆中，上州郡至三千石止，而小邑或僅百石。
HCH_012_079_000216	有司沿為具文，屢下詔申飭，率以虛數欺罔而已。
HCH_012_079_000217	弘治中，江西巡撫林俊嘗請建常平及社倉。
HCH_012_079_000218	嘉靖八年乃令各撫、按設社倉。
HCH_012_079_000219	令民二三十家為一社，擇家殷實而有行義者一人為社首，處事公平者一人為社正，能書算者一人為社副，每朔望會集，別戶上中下，出米四斗至一斗有差，鬥加耗五合，上戶主其事。
HCH_012_079_000220	年饑，上戶不足者量貸，稔歲還倉。
HCH_012_079_000221	中下戶酌量振給，不還倉。
HCH_012_079_000222	有司造冊送撫、按，歲一察覈。
HCH_012_079_000223	倉虛，罰社首出一歲之米。
HCH_012_079_000224	其法頗善，然其後無力行者。
HCH_012_079_000225	兩京庫藏，先後建設，其制大略相同。
HCH_012_079_000226	內府凡十庫：內承運庫，貯緞匹、金銀、寶玉、齒角、羽毛，而金花銀最大，歲進百萬兩有奇。
HCH_012_079_000227	廣積庫，貯硫黃、硝石。
HCH_012_079_000228	甲字形檔，貯布匹、顏料。
HCH_012_079_000229	乙字形檔，貯胖襖、戰鞋、軍士裘帽。
HCH_012_079_000230	丙字形檔，貯棉花、絲纊。
HCH_012_079_000231	丁字形檔，貯銅鐵、獸皮、蘇木。
HCH_012_079_000232	戊字形檔，貯甲仗。
HCH_012_079_000233	贓罰庫，貯沒官物。
HCH_012_079_000234	廣惠庫，貯錢鈔。
HCH_012_079_000235	廣盈庫，貯紵絲、紗羅、綾錦、槹絹。
HCH_012_079_000236	六庫皆屬戶部，惟乙字形檔屬兵部，戊字、廣積、廣盈庫屬工部。
HCH_012_079_000237	又有天財庫，亦名司鑰庫，貯各衙門管鑰，亦貯錢鈔。
HCH_012_079_000238	供用庫，貯粳稻、熟米及上供物。
HCH_012_079_000239	以上通謂之內庫。
HCH_012_079_000240	其在宮內者，又有內東裕庫、寶藏庫，謂之裏庫。
HCH_012_079_000241	凡裏庫不關於有司。
HCH_012_079_000242	其會歸門、寶善門迤東及南城磁器諸庫，則謂之外庫。
HCH_012_079_000243	若內府諸監司局，神樂堂，犧牲所，太常、光祿寺，國子監，皆各以所掌，收貯應用諸物。
HCH_012_079_000244	太僕則馬價銀歸之。
HCH_012_079_000245	明初，嘗置行用庫於京城及諸府州縣，以收易昏爛之鈔。
HCH_012_079_000246	仁宗時罷。
HCH_012_079_000247	英宗時，始設太倉庫。
HCH_012_079_000248	初，歲賦不徵金銀，惟坑冶稅有金銀，入內承運庫。
HCH_012_079_000249	其歲賦偶折金銀者，俱送南京供武臣祿。
HCH_012_079_000250	而各邊有緩急，亦取足其中。
HCH_012_079_000251	正統元年改折漕糧，歲以百萬為額，盡解內承運庫，不復送南京。
HCH_012_079_000252	自給武臣祿十餘萬兩外，皆為御用。
HCH_012_079_000253	所謂金花銀也。
HCH_012_079_000254	七年乃設戶部太倉庫。
HCH_012_079_000255	各直省派剩麥米，十庫中綿絲、絹布及馬草、鹽課、關稅，凡折銀者，皆入太倉庫。
HCH_012_079_000256	籍沒家財，變賣田產，追收店錢，援例上納者，亦皆入焉。
HCH_012_079_000257	專以貯銀，故又謂之銀庫。
HCH_012_079_000258	弘治時，內府供應繁多，每收太倉銀入內庫。
HCH_012_079_000259	又置南京銀庫。
HCH_012_079_000260	正德時，內承運庫中官數言內府財用不充，請支太倉銀。
HCH_012_079_000261	戶部執奏不能沮。
HCH_012_079_000262	嘉靖初，內府供應視弘治時，其後乃倍之。
HCH_012_079_000263	初，太倉中庫積銀八百餘萬兩，續收者貯之兩廡，以便支發。
HCH_012_079_000264	而中庫不動，遂以中庫為老庫，兩廡為外庫。
HCH_012_079_000265	及是時，老庫所存者僅百二十萬兩。
HCH_012_079_000266	二十二年特令金花、子粒銀應解內庫者，並送太倉備邊用，然其後復入內庫。
HCH_012_079_000267	三十七年令歲進內庫銀百萬兩外，加預備欽取銀，後又取沒官銀四十萬兩入內庫。
HCH_012_079_000268	隆慶中，數取太倉銀入內庫，承運庫中官至以空紮下戶部取之。
HCH_012_079_000269	廷臣疏諫，皆不聽。
HCH_012_079_000270	又數取光祿太僕銀，工部尚書硃衡極諫，不聽。
HCH_012_079_000271	初，世宗時，太倉所入二百萬兩有奇。
HCH_012_079_000272	至神宗萬曆六年，太倉歲入凡四百五十餘萬兩，而內庫歲供金花銀外，又增買辦銀二十萬兩以為常，後又加內操馬芻料銀七萬餘兩。
HCH_012_079_000273	久之，太倉、光祿、太僕銀，括取幾盡。
HCH_012_079_000274	邊賞首功，向發內庫者，亦取之太僕矣。
HCH_012_079_000275	凡甲字諸庫，主事偕科道巡視。
HCH_012_079_000276	太倉庫，員外郎、主事領之，而以給事中巡視。
HCH_012_079_000277	嘉靖中，始兩月一報出納之數。
HCH_012_079_000278	時修工部舊庫，名曰節慎庫，以貯礦銀。
HCH_012_079_000279	尚書文明以給工價，帝詰責之，令以他銀補償，自是專以給內用焉。
HCH_012_079_000280	其在外諸布政司、都司、直省府州縣衛所皆有庫，以貯金銀、錢鈔、絲帛、贓罰諸物。
HCH_012_079_000281	巡按御史三歲一盤查。
HCH_012_079_000282	各運司皆有庫貯銀，歲終，巡鹽御史委官察之。
