HCH_012_328_000254	俺答移兵白廟，近古北，舟兒詐言敵已退，邊備緩，俺答遂由鴿子洞、曹榆溝入，直犯畿甸。
HCH_012_328_000255	已，俺答請開馬市，舟兒復往來誘阻之。
HCH_012_328_000256	三十年，薊遼總督何棟購捕至京，伏誅，。
HCH_012_328_000257	朵顏通罕者，俺答子辛愛妻父也。
HCH_012_328_000258	四十二年，古北哨卒出關，為朵顏所撲殺。
HCH_012_328_000259	俄通罕叩關索賞，副總兵胡鎮伏兵執之。
HCH_012_328_000260	總督楊選將為牽制辛愛計，乃拘縶通罕，令其諸子更迭為質。
HCH_012_328_000261	三衞恨甚，遂導俺答入掠順義及三河，選得罪。
HCH_012_328_000262	萬曆初，朵顏長昂益強，挾賞不遂，數糾眾入掠，截諸蕃貢道。
HCH_012_328_000263	十二年秋，復導土蠻，以四千騎分掠三山、三道溝、錦川諸處。
HCH_012_328_000264	守臣李松請急剿長昂等，朝議不從，僅革其月賞。
HCH_012_328_000265	未幾，復以千騎犯劉家口，官軍禦之，殺傷相當。
HCH_012_328_000266	於是長昂益跋扈自恣，東勾土蠻，西結婚白洪大，以擾諸邊。
HCH_012_328_000267	十七年合韃靼東西二部寇遼東，總兵李成梁逐之，官軍大敗，殲八百人。
HCH_012_328_000268	又二年大掠獨石路。
HCH_012_328_000269	二十二年復擁眾犯中後所，攻入小屯臺，副總兵趙夢麟、秦得倚等力戰卻之。
HCH_012_328_000270	明年潛入喜峰口，官軍擒其頭目小郎兒。
HCH_012_328_000271	二十九年，長昂與董狐狸等皆納款，請復寧前木市，許之。
HCH_012_328_000272	三十四年冬，復糾韃靼班不什、白言台吉等，以萬騎迫山海關，總兵姜顯謨擊走之。
HCH_012_328_000273	長昂復以三千騎窺義院界，邊將有備，乃引去。
HCH_012_328_000274	旋詣喜峰，自言班、白入寇，己不預知。
HCH_012_328_000275	守臣具以聞，詔長昂復貢市，頒給撫賞如例。
HCH_012_328_000276	長昂死，諸子稍衰，三衞皆靖。
HCH_012_328_000277	崇禎初，與插漢戰於早落兀素，勝之，殺獲萬計，以捷告。
HCH_012_328_000278	未幾，皆服屬於大清云。
