HCH_012_116_000268	明年正月，帝下詔褒獎，且加勞曰：「此高皇帝神靈憫宗室子孫維城莫固，啟王心而降之福也。」
HCH_012_116_000269	其年四月，自成再圍汴，築長圍，城中樵采路絕。
HCH_012_116_000270	九月，賊決河灌城，城圮，恭枵從後山登城樓，率宮妃及寧鄉、安鄉、永壽、仁和諸王露棲雨中數日。
HCH_012_116_000271	援軍駐河北，以舟來迎，始獲免。
HCH_012_116_000272	事聞，賜書慰勞，並賜帑金文綺，命寄居彰德。
HCH_012_116_000273	汴城之陷也，死者數十萬，諸宗皆沒，府中分器寶藏書盡淪於巨浸。
HCH_012_116_000274	逾年，乃從水中得所奉高帝、高後金容，迎至彰德奉焉。
HCH_012_116_000275	久之，王薨，贈謚未行，國亡。
HCH_012_116_000276	其孫南走，死於廣州。
HCH_012_116_000277	鎮平王有爌，定王第八子。
HCH_012_116_000278	嗜學，工詩，作《道統論》數萬言。
HCH_012_116_000279	又采歷代公族賢者，自夏五子迄元太子真金百餘人，作《賢王傳》若干卷。
HCH_012_116_000280	博平王安㳚，惠王第十三子。
HCH_012_116_000281	惠王有子二十五人，而安㳚獨賢，嘗輯《貽後錄》、《養正錄》諸書。
HCH_012_116_000282	勤於治生，田園僮奴車馬甚具。
HCH_012_116_000283	賓客造門，傾己納之。
HCH_012_116_000284	其時稱名德者，必曰博平。
HCH_012_116_000285	南陵王睦楧，悼王第九子，敏達有識。
HCH_012_116_000286	嘉靖四十一年，御史林潤言：「天下財賦，歲供京師米四百萬石，而各籓祿歲至八百五十三萬石。山西、河南存留米二百三十六萬三千石，而宗室祿米五百四萬石。即無災傷蠲免，歲輸亦不足供祿米之半。年復一年，愈加蕃衍，勢窮弊極，將何以支！」
HCH_012_116_000287	事下諸王議。
HCH_012_116_000288	明年，睦柍條上七議：請立宗學以崇德教，設科選以勵人才，嚴保勘以杜冒濫，革冗職以除素餐，戒奔競以息饕貪，制拜掃以廣孝思，立憂制以省祿費。
HCH_012_116_000289	詔下廷臣參酌之。
HCH_012_116_000290	其後諸籓遂稍稍陳說利弊，尚書李春芳集而上焉。
HCH_012_116_000291	及頒《宗籓條例》，多采睦楧議云。
