HCH_012_304_000319	初給事萬貴妃於昭德宮，遷御馬監太監。
HCH_012_304_000320	成化十二年，黑眚見宮中，妖人李子龍以符術結太監韋舍私入大內，事發，伏誅。
HCH_012_304_000321	帝心惡之，銳欲知外事。
HCH_012_304_000322	直為人便黠，帝因令易服，將校尉一二人密出伺察，人莫知也，獨都御史王越與結歡。
HCH_012_304_000323	明年設西廠，以直領之，列官校刺事。
HCH_012_304_000324	南京鎮監覃力朋進貢還，以百艘載私鹽，騷擾州縣。
HCH_012_304_000325	武城縣典史詰之，力朋擊典史，折其齒，射殺一人。
HCH_012_304_000326	直廉得以聞，逮治論斬。
HCH_012_304_000327	力朋後得幸免，而帝以此謂直能摘奸，益幸直。
HCH_012_304_000328	直乃任錦衣百戶韋瑛為心腹，屢興大獄。
HCH_012_304_000329	建寧衛指揮楊曄，故少師榮曾孫也，與父泰為仇家所告，逃入京，匿姊夫董玙所。
HCH_012_304_000330	玙為請瑛，瑛陽諾而馳報直。
HCH_012_304_000331	直即捕曄、玙考訊，三琶之。
HCH_012_304_000332	琶者，錦衣酷刑也。
HCH_012_304_000333	骨節皆寸解，絕而復蘇。
HCH_012_304_000334	曄不勝苦，妄言寄金於其叔父兵部主事士偉所。
HCH_012_304_000335	直不復奏請，捕士偉下獄，並掠其妻孥。
HCH_012_304_000336	獄具，曄死獄中，泰論斬，士偉等皆謫官，郎中武清、樂章，行人張廷綱，參政劉福等皆無故被收案。
HCH_012_304_000337	自諸王府邊鎮及南北河道，所在校尉羅列，民間鬥詈雞狗瑣事，輒置重法，人情大擾。
HCH_012_304_000338	直每出，隨從甚眾，公卿皆避道。
HCH_012_304_000339	兵部尚書項忠不避，迫辱之，權焰出東廠上。
HCH_012_304_000340	五月，大學士商輅與萬安、劉珝、劉吉奏其狀。
HCH_012_304_000341	帝震怒，命司禮太監懷恩、覃吉、黃高至閣下，厲色傳旨，言：「疏出誰意？」
HCH_012_304_000342	輅口數直罪甚悉，因言：「臣等同心一意，為國除害，無有先後。」
HCH_012_304_000343	珝慷慨泣下。
HCH_012_304_000344	恩遂據實以奏。
HCH_012_304_000345	頃之，傳旨慰勞。
HCH_012_304_000346	翼日，尚書忠及諸大臣疏亦入。
HCH_012_304_000347	帝不得已，罷西廠，使懷恩數直罪而宥之，令歸御馬監，調韋瑛邊衛，散諸旗校還錦衣。
HCH_012_304_000348	中外大悅。
HCH_012_304_000349	然帝眷直不衰。
HCH_012_304_000350	直因言閣疏出司禮監黃賜、陳祖生意，為楊曄報復。
HCH_012_304_000351	帝即斥賜、祖生於南京。
HCH_012_304_000352	御史戴縉者，佞人也，九年秩滿不得遷。
HCH_012_304_000353	窺帝旨，盛稱直功。
HCH_012_304_000354	詔復開西廠，以千戶吳綬為鎮撫，直焰愈熾。
HCH_012_304_000355	未幾，令東廠官校誣奏項忠，且諷言官郭鏜、馮貫等論忠違法事。
HCH_012_304_000356	帝命三法司、錦衣衛會問。
HCH_012_304_000357	眾知出直意，無敢違，竟勒忠為民。
HCH_012_304_000358	而左都御史李賓亦失直旨褫職，大學士輅亦罷去。
HCH_012_304_000359	一時九卿劾罷者，尚書董方、薛遠及侍郎滕昭、程萬里等數十人。
HCH_012_304_000360	以所善王越為兵部尚書兼左都御史，陳鉞為右副都御史巡撫遼東。
HCH_012_304_000361	十五年秋，詔直巡邊，率飛騎日馳數百里，御史、主事等官迎拜馬首，箠撻守令。
HCH_012_304_000362	各邊都御史畏直，服櫜迎謁，供張百里外。
