HCH_012_296_000088	十九年，濂坐事當逮，從弟洧曰：「吾家稱義門，先世有兄代弟死者，吾可不代兄死乎？」
HCH_012_296_000089	詣吏自誣服，斬於市。
HCH_012_296_000090	洧，字仲宗，受業於宋濂，有學行，鄉人哀之，私謚貞義處士。
HCH_012_296_000091	濂卒，弟渶繼。
HCH_012_296_000092	二十六年，東宮缺官，命廷臣舉孝弟敦行者，眾以鄭氏對。
HCH_012_296_000093	太祖曰：「其裏王氏亦仿鄭氏家法。」
HCH_012_296_000094	乃徵兩家子弟年三十上者，悉赴京，擢濂弟濟與王懃為春坊左、右庶子。
HCH_012_296_000095	後又徵濂弟沂，自白衣擢禮部尚書，年余，致仕。
HCH_012_296_000096	永樂元年入朝，留為故官。
HCH_012_296_000097	未幾，復謝去。
HCH_012_296_000098	濂從子幹官御史，棠官檢討。
HCH_012_296_000099	他得官者復數人，鄭氏愈顯。
HCH_012_296_000100	濟、棠皆學於宋濂，有文行。
HCH_012_296_000101	初，渶嘗仕元為浙江行省宣使，主家政數年。
HCH_012_296_000102	建文帝表其門，渶朝謝，御書「孝義家」三字賜之。
HCH_012_296_000103	燕兵既入，有告建文帝匿其家者，遣人索之。
HCH_012_296_000104	渶家廳事中，列十大櫃，五貯經史，五貯兵器備不虞。
HCH_012_296_000105	使者至，所發皆經史，置其半不啟，乃免於禍，人以為至行所感云。
HCH_012_296_000106	成化十年，有司奏鄭永朝世敦行義，復旌以孝義之門。
HCH_012_296_000107	自文融至渶，皆以篤行著。
HCH_012_296_000108	文融著《家範》三卷，凡五十八則，子欽增七十則，從子鉉又增九十二則，至濂弟濤與從弟泳、澳、湜，白於兄濂、源，共相損益，定為一百六十八則，刊行焉。
HCH_012_296_000109	王澄，字德輝，亦浦江人。
HCH_012_296_000110	歲儉，出粟貸人，不取其息。
HCH_012_296_000111	有鬻產者，必增直以足之。
HCH_012_296_000112	慕義門鄭氏風，將終，集子孫誨之曰：「汝曹能合食同居如鄭氏，吾死目瞑矣。」
HCH_012_296_000113	子孫鹹拜受教。
HCH_012_296_000114	澄生三子子覺、子麟、子偉，克承父誌。
HCH_012_296_000115	子覺生應，即為鄭湜所舉擢參議者。
HCH_012_296_000116	子偉生懃，即與鄭濟並擢庶子者。
HCH_012_296_000117	義門王氏之名，遂埒鄭氏。
HCH_012_296_000118	又有王燾者，蘄水人，七世同居，一家二百餘口，人無間言。
HCH_012_296_000119	洪武九年十一月，詔旌為孝義之門。
