HCH_012_171_000229	內閣諸臣斥遂略盡。
HCH_012_171_000230	陳循素有德於有貞，亦弗救也。
HCH_012_171_000231	事權盡歸有貞，中外咸側目。
HCH_012_171_000232	而有貞愈益發舒，進見無時，帝亦傾心委任。
HCH_012_171_000233	有貞既得誌，則思自異於曹、石。
HCH_012_171_000234	窺帝於二人不能無厭色，乃稍稍裁之，且微言其貪橫狀，帝亦為之動。
HCH_012_171_000235	御史楊瑄奏劾亨、吉祥侵占民田。
HCH_012_171_000236	帝問有貞及李賢，皆對如瑄奏。
HCH_012_171_000237	有詔獎瑄。
HCH_012_171_000238	亨、吉祥大怨恨，日夜謀構有貞。
HCH_012_171_000239	帝方眷有貞，時屏人密語。
HCH_012_171_000240	吉祥令小豎竊聽得之，故泄之帝。
HCH_012_171_000241	帝驚問曰：「安所受此語？」
HCH_012_171_000242	對曰：「受之有貞，某日語某事，外間無弗聞。」
HCH_012_171_000243	帝自是疏有貞。
HCH_012_171_000244	會御史張鵬等欲糾亨他罪，未上，而給事中王鉉泄之亨、吉祥。
HCH_012_171_000245	二人乃泣訴於帝，謂內閣實主之。
HCH_012_171_000246	遂下諸御史獄，並逮系有貞及李賢。
HCH_012_171_000247	忽雷雹交作，大風折木。
HCH_012_171_000248	帝憾悟，重違亨意，乃釋有貞出為廣東參政。
HCH_012_171_000249	亨等憾未已，必欲殺之。
HCH_012_171_000250	令人投匿名書，指斥乘輿，雲有貞怨望，使其客馬士權者為之。
HCH_012_171_000251	遂追執有貞於德州，並士權下詔獄，榜治無驗。
HCH_012_171_000252	會承天門災，肆赦。
HCH_012_171_000253	亨、吉祥慮有貞見釋，言於帝曰：「有貞自撰武功伯券辭雲『纘禹成功』，又自擇封邑武功。禹受禪為帝，武功者曹操始封也。有貞誌圖非望。」
HCH_012_171_000254	帝出以示法司，刑部侍郎劉廣衡等奏當棄市。
HCH_012_171_000255	詔徙金齒為民。
HCH_012_171_000256	亨敗，帝從容謂李賢、王翺曰：「徐有貞何大罪？為石亨輩所陷耳。其釋歸田裏。」
HCH_012_171_000257	成化初，復冠帶閑住。
HCH_012_171_000258	有貞既釋歸，猶冀帝復召，時時仰觀天象，謂將星在吳，益自負。
HCH_012_171_000259	常以鐵鞭自隨，數起舞。
HCH_012_171_000260	及聞韓雍征兩廣有功，乃擲鞭太息曰：「孺子亦應天象邪？」
HCH_012_171_000261	遂放浪山水間，十餘年乃卒。
HCH_012_171_000262	有貞初出獄時，拊士權背曰：「子，義士也，他日一女相托。」
HCH_012_171_000263	金齒歸，士權時往候之，絕不及婚事。
HCH_012_171_000264	士權辭去，終身不言其事，人以是薄有貞而重士權。
HCH_012_171_000265	楊善，字思敬，大興人。
HCH_012_171_000266	年十七為諸生。
HCH_012_171_000267	成祖起兵，預城守有勞，授典儀所引禮舍人。
HCH_012_171_000268	永樂元年，改鴻臚寺序班。
HCH_012_171_000269	善偉風儀，音吐洪亮，工進止。
HCH_012_171_000270	每朝謁引進奏時，上目屬之。
HCH_012_171_000271	累進右寺丞。
HCH_012_171_000272	仁宗即位，擢本寺卿。
HCH_012_171_000273	宣德六年被劾下獄，褫冠帶，逾月。
HCH_012_171_000274	正統六年，子容詐作中官書，假金於尚書吳中。
HCH_012_171_000275	事覺，謫戍威遠衛，置善不問。
HCH_012_171_000276	久之，擢禮部左侍郎，仍視鴻臚事。
HCH_012_171_000277	十四年八月扈駕北征。
HCH_012_171_000278	及土木，師潰，善間行得脫。
HCH_012_171_000279	也先將入寇，改左副都御史，與都督王通提督京城守備。
HCH_012_171_000280	寇退，進右都御史，視鴻臚如故。
HCH_012_171_000281	景泰元年，廷臣朝正畢，循故事，相賀於朝房。
HCH_012_171_000282	善獨流涕曰：「上皇在何所，而我曹自相賀乎！」
HCH_012_171_000283	眾愧，為之止。
HCH_012_171_000284	是年夏，李實、羅綺使瓦剌，議罷兵，未還，而也先使至，言朝廷遣使報阿剌知院，而不遣大臣報可汗及太師，事必不濟。
HCH_012_171_000285	尚書王直等奏其言，廷議簡四人為正副使，與偕行，帝命俟李實還議之。
HCH_012_171_000286	已而實將至，乃命善及侍郎趙榮為使，賫金銀書幣往。
HCH_012_171_000287	先是袁敏者，請賫服御物問上皇安，不納。
HCH_012_171_000288	及是，尚書胡濙等言，上皇蒙塵久，禦用服食宜付善等隨行，亦不報。
HCH_012_171_000289	時也先欲還上皇，而敕書無奉迎語，自賫賜也先外，善等無他賜。
HCH_012_171_000290	善乃出家財，悉市彼中所需者，攜以往。
HCH_012_171_000291	既至，其館伴與飲帳中，詫善曰：「土木之役，六師何怯也？」
HCH_012_171_000292	善曰：「彼時官軍壯者悉南征，王司禮邀大駕幸其裏，不為戰備，故令汝得誌耳。今南征將士歸，可二十萬。又募中外材官技擊，可三十萬。悉教以神槍火器藥弩，百步外洞人馬腹立死。又用策士言，緣邊要害，隱鐵椎三尺，馬蹄踐輒穿。又刺客林立，夜度營幕若猿猱。」
HCH_012_171_000293	伴色動。
HCH_012_171_000294	善曰：「惜哉，今皆置無用矣。」
HCH_012_171_000295	問：「何故？」
HCH_012_171_000296	曰：「和議成，歡好且若兄弟，安用此？」
HCH_012_171_000297	因以所賫遺之。
HCH_012_171_000298	其人喜，悉以語也先。
HCH_012_171_000299	明日謁也先，亦大有所遺，也先亦喜。
HCH_012_171_000300	善因詰之曰：「太上皇帝朝，太師遣貢使必三千人，歲必再賚，金幣載途，乃背盟見攻何也？」
HCH_012_171_000301	也先曰：「奈何削我馬價，予帛多剪裂，前後使人往多不歸，又減歲賜？」
HCH_012_171_000302	善曰：「非削也，太師馬歲增，價難繼而不忍拒，故微損之。太師自度，價比前孰多也？帛剪裂者，通事為之，事露，誅矣。即太師貢馬有劣弱，貂或敝，亦豈太師意耶？且使者多至三四千人，有為盜或犯他法，歸恐得罪，故自亡耳，留若奚為？貢使受宴賜，上名或浮其人數，朝廷核實而予之。所減乃虛數，有其人者，固不減也。」
HCH_012_171_000303	也先屢稱善。
HCH_012_171_000304	善復曰：「太師再攻我，屠戮數十萬，太師部曲死傷亦不少矣。上天好生，太師好殺，故數有雷警。今還上皇，和好如故，中國金幣日至，兩國俱樂，不亦美乎？」
HCH_012_171_000305	也先曰：「敕書何以無奉迎語？」
HCH_012_171_000306	善曰：「此欲成太師令名，使自為之。若載之敕書，是太師迫於朝命，非太師誠心也。」
HCH_012_171_000307	也先大喜，問：「上皇歸將復得為天子乎？」
HCH_012_171_000308	善曰：「天位已定，難再移。」
HCH_012_171_000309	也先曰：「堯、舜如何？」
HCH_012_171_000310	善曰：「堯讓舜，今兄讓弟，正相同也。」
HCH_012_171_000311	其平章昂克問善：「何不以重寶來購？」
HCH_012_171_000312	善曰：「若賫貨來，人謂太師圖利。今不爾，乃見太師仁義，為好男子，垂史策，頌揚萬世。」
HCH_012_171_000313	也先笑稱善。
HCH_012_171_000314	知院伯毅帖木耳勸也先留使臣，而遣使要上皇復位。
HCH_012_171_000315	也先懼失信，不可，竟許善奉上皇還。
HCH_012_171_000316	時舉朝競奇善功，而景帝以非初遣旨，薄其賞。
HCH_012_171_000317	遷左都御史，仍蒞鴻臚事。
HCH_012_171_000318	二年，廷臣朝正旦畢，修賀朝房。
HCH_012_171_000319	善又曰：「上皇不受賀，我曹何相賀也？」
HCH_012_171_000320	三年正月加太子太保。
HCH_012_171_000321	六年以衰老乞致仕，優詔不許。
HCH_012_171_000322	善狀貌魁梧，應對捷給。
HCH_012_171_000323	然無學術，滑稽，對客鮮莊語。
HCH_012_171_000324	家京師，治第郭外。
HCH_012_171_000325	園多善果，歲時饋公卿戚里中貴，無不得其歡心。
HCH_012_171_000326	王振用事，善媚事之。
HCH_012_171_000327	至是又與石亨、曹吉祥結。
HCH_012_171_000328	天順元年正月，亨、吉祥奉上皇復辟。
HCH_012_171_000329	善以預謀，封奉天翊衛推誠宣力武臣、特進光祿大夫、柱國、興濟伯，歲祿千二百石，賜世券，掌左軍都督府事。
HCH_012_171_000330	尚書胡濙頌善迎駕功，命兼禮部尚書，尋改守正文臣。
HCH_012_171_000331	善使瓦剌，攜子四人行，至是並得官。
HCH_012_171_000332	又為從子、養子乞恩，得官者復十數人。
HCH_012_171_000333	氣勢烜赫，招權納賄。
HCH_012_171_000334	亨輩嫉而間之，以是漸疏外。
HCH_012_171_000335	二年五月卒。
HCH_012_171_000336	贈興濟侯，謚忠敏。
HCH_012_171_000337	善負才辨，以巧取功名，而憸忮為士論所棄。
HCH_012_171_000338	其為序班，坐事與庶吉士章樸同繋獄，久之，相狎。
HCH_012_171_000339	時方窮治方孝孺黨，樸言家有孝孺集，未及毀。
HCH_012_171_000340	善從借觀，密奏之。
HCH_012_171_000341	樸以是誅死，而善得復官。
HCH_012_171_000342	于謙、王文之戮，陳循之竄，善亦有力焉。
HCH_012_171_000343	子宗襲爵，後革「奪門」功，降金吾指揮使。
HCH_012_171_000344	孫增尚公主。
HCH_012_171_000345	李實，字孟誠，合州人。
HCH_012_171_000346	正統七年進士。
HCH_012_171_000347	為人恣肆無拘檢，有口辨。
HCH_012_171_000348	景泰初，為禮科給事中。
HCH_012_171_000349	也先令完者脫歡議和，實請行。
HCH_012_171_000350	擢禮部右侍郎以往，少卿羅綺為副。
HCH_012_171_000351	至則見上皇，頗得也先要領，還言也先請和無他意。
HCH_012_171_000352	及楊善往，上皇果還。
HCH_012_171_000353	是年十月進右都御史，巡撫湖廣。
HCH_012_171_000354	五年召還，掌院事。
HCH_012_171_000355	初，實使謁上皇，請還京引咎自責，失上皇意。
HCH_012_171_000356	後以居鄉暴橫，斥為民。
HCH_012_171_000357	趙榮，字孟仁，其先西域人。
HCH_012_171_000358	元時入中國，家閩縣。
HCH_012_171_000359	舅薩琦，官翰林，從入都，以能書授中書舍人。
HCH_012_171_000360	正統十四年十月，也先擁上皇至大同，知府霍瑄謁見，慟哭而返。
HCH_012_171_000361	也先遂犯京師，奉上皇登土城，邀大臣出迓。
HCH_012_171_000362	榮慨然請行。
HCH_012_171_000363	大學士高谷拊其背曰：「子，忠義人也。」
HCH_012_171_000364	解所佩犀帶贈之，即擢大理右少卿，充鴻臚卿。
HCH_012_171_000365	偕右通政王復出城朝見，進羊酒諸物。
HCH_012_171_000366	也先以非大臣，遣之還，而邀于謙、石亨、王直、胡濙出。
HCH_012_171_000367	景帝不遣。
HCH_012_171_000368	改榮太常少卿，仍供事內閣。
HCH_012_171_000369	景泰元年七月擢工部右侍郎，偕楊善等往。
