HCH_009_129_000184	乃下令，軍士亡者殺其蒲裏衍，蒲裏衍亡者殺其謀克，謀克亡者殺其猛安，猛安亡者殺其總管，由是軍士益危懼。
HCH_009_129_000185	甲午，令軍中運鴉鶻船及糧船於瓜州渡，期以明日渡江，敢後者死。
HCH_009_129_000186	乙未，完顏元宜等以兵犯禦營，海陵遇弑。
HCH_009_129_000187	都督府以南伐之計皆通等贊成之，徒單永年乃其姻戚，郭安國眾所共惡，皆殺之。
HCH_009_129_000188	大定二年，詔削通官爵，人心始快。
HCH_009_129_000189	馬欽，幼名韓哥，嘗仕江南，故能知江南道路。
HCH_009_129_000190	正隆三年，海陵將南伐，遂召用欽，自貴德縣令為右補闕。
HCH_009_129_000191	欽為人輕脫不識大體，海陵每召見與語，欽出宮輒以語人曰：「上與我論某事，將行之矣。」
HCH_009_129_000192	其視海陵如僚友然。
HCH_009_129_000193	累遷國子司業。
HCH_009_129_000194	海陵至和州，欲遣蒲盧渾渡江，蒲盧渾言舟小不可濟，海陵使人召欽，先戒左右曰：「欽若言舟小不可渡江，即殺之。」
HCH_009_129_000195	欽至，問曰：「此舟可渡江否？」
HCH_009_129_000196	欽曰：「臣得筏亦可渡也。」
HCH_009_129_000197	大定二年，除名。
HCH_009_129_000198	是日，起前翰林待制大穎為秘書丞。
HCH_009_129_000199	穎在正隆間嘗言山東盜賊，海陵惡其言，杖之除名。
HCH_009_129_000200	世宗嘉穎忠直，惡欽巧佞，故複用穎而放欽焉。
HCH_009_129_000201	高懷貞，為尚書省令史，素與海陵狎昵。
HCH_009_129_000202	海陵久蓄不臣之心，嘗與懷貞各言所志，海陵曰：「吾志有三：國家大事皆自我出，一也。帥師伐國，執其君長問罪於前，二也。得天下絕色而妻之，三也。」
HCH_009_129_000203	由是小人佞夫皆知其志，爭進諛說。
HCH_009_129_000204	大定縣丞張忠輔謂海陵曰：「夢公與帝擊球，公乘馬沖過之，帝墜馬下。」
HCH_009_129_000205	海陵聞之大喜。
HCH_009_129_000206	會熙宗在位久，委政大臣，海陵以近屬為宰相，專威福柄，遂成弑逆之計，皆懷貞輩小人從臾導之。
HCH_009_129_000207	海陵篡立，以懷貞為修起居注，懷貞故父濱州刺史贈中奉大夫。
HCH_009_129_000208	懷貞累遷禮部侍郎。
HCH_009_129_000209	大定二年，降奉政大夫，放歸田裏。
HCH_009_129_000210	五年，與許霖俱賜起複，懷貞為定國軍節度使。
HCH_009_129_000211	上戒之曰：「汝等在正隆時，奸佞貪私，物論鄙之。朕念沒身不齒則無以自新。若怙舊不悛，必不貸汝矣。」
HCH_009_129_000212	蕭裕，本名遙折，奚人。
HCH_009_129_000213	初以猛安居中京，海陵為中京留守，與裕相結，每與論天下事。
HCH_009_129_000214	裕揣海陵有覬覦心，密謂海陵曰：「留守先太師，太祖長子。德望如此，人心天意宜有所屬，誠有志舉大事，顧竭力以從。」
HCH_009_129_000215	海陵喜受之，遂與謀議。
HCH_009_129_000216	海陵竟成弑逆之謀者，裕啟之也。
HCH_009_129_000217	海陵為左丞，除裕兵部侍郎，改同知南京留守事，改北京。
