HCH_012_257_000176	尋上言：「祖宗養兵百萬，不費朝廷一錢，屯田是也。今遼東、永平、天津、登、萊沿海荒地，及寶坻、香河、豐潤、玉田、三河、順義諸縣閑田百萬頃。元虞集有京東水田之議，本朝萬歷初，總督張佳允、巡撫張國彥行之薊鎮，為豪右所阻。其後，巡撫汪應蛟復行之河間。今已墾者荒，未墾者置不問，遺天施地生之利，而日講生財之術，為養軍資，不大失策乎！乞敕諸道監司，遵先朝七分防操、三分屯墾之制，實心力行，庶國計有裨，軍食無缺。」
HCH_012_257_000177	帝稱善，即命行之。
HCH_012_257_000178	嘗奏汰年深武弁無薦者四十八人，以邊才舉監司楊嗣昌、梁廷棟，後皆大用。
HCH_012_257_000179	二年十月，我大清兵由大安口入，都城戒嚴。
HCH_012_257_000180	洽急征四方兵入衛，督師袁崇煥，巡撫解經傳、郭之琮，總兵官祖大壽、趙率教、滿桂、侯世祿、尤世威、曹鳴雷等先後至，不能拒，大清兵遂深入。
HCH_012_257_000181	帝憂甚，十一月召對廷臣。
HCH_012_257_000182	侍郎周延儒言：「本兵備禦疏忽，調度乖張。」
HCH_012_257_000183	檢討項煜繼之，且曰：「世宗斬一丁汝夔，將士震悚，強敵宵遁。」
HCH_012_257_000184	帝頷之，遂下洽獄，以左侍郎申用懋代。
HCH_012_257_000185	明年四月，洽竟瘐死。
HCH_012_257_000186	尋論罪，復坐大辟。
HCH_012_257_000187	洽清修伉直，雅負時望，而應變非所長。
HCH_012_257_000188	驟逢大故，以時艱見絀。
HCH_012_257_000189	遵化陷，再日始得報。
HCH_012_257_000190	帝怒其偵探不明，又以廷臣玩祇，擬用重典，故於洽不少貸。
HCH_012_257_000191	厥後都城復三被兵，樞臣鹹獲免，人多為洽惜之。
HCH_012_257_000192	在晉，字明初，太倉人。
HCH_012_257_000193	萬歷二十年進士。
HCH_012_257_000194	授中書舍人。
HCH_012_257_000195	自部曹歷監司，由江西布政使擢巡撫山東右副都御史，進督河道。
HCH_012_257_000196	泰昌時，遷添設兵部左侍郎。
HCH_012_257_000197	天啟二年署部事。
HCH_012_257_000198	三月，遷兵部尚書兼右副都御史，經略遼東、薊鎮、天津、登萊，代熊廷弼。
HCH_012_257_000199	八月，改南京兵部尚書，尋請告歸。
HCH_012_257_000200	五年，起南京吏部尚書，尋就改兵部。
HCH_012_257_000201	崇禎元年，召為刑部尚書，未幾，遷兵部。
HCH_012_257_000202	坐張慶臻改敕書事，削籍歸，卒。
HCH_012_257_000203	高第，字登之，灤州人。
HCH_012_257_000204	萬歷十七年進士。
HCH_012_257_000205	歷官兵部尚書，經略薊、遼。
HCH_012_257_000206	未數月，以恇怯劾罷去。
HCH_012_257_000207	崇禎二年冬，大清兵破灤州，第竄免。
HCH_012_257_000208	梁廷棟，鄢陵人。
HCH_012_257_000209	父克從，太常少卿。
HCH_012_257_000210	廷棟舉萬歷四十七年進士。
HCH_012_257_000211	授南京兵部主事，召改禮部，歷儀制郎中。
HCH_012_257_000212	天啟五年，遷撫治西寧參議。
HCH_012_257_000213	七年，調永平兵備副使。
HCH_012_257_000214	督撫以下為魏忠賢建祠，廷棟獨不往，乞終養歸。
HCH_012_257_000215	崇禎元年起故官，分巡口北道。
HCH_012_257_000216	明年加右參政。
HCH_012_257_000217	十一月，大清兵克遵化，巡撫王元雅自縊，即擢廷棟右僉都御史代之。
HCH_012_257_000218	廷棟請賜對，面陳方略，報可。
HCH_012_257_000219	未幾，督師袁崇煥下獄，復擢廷棟兵部右侍郎兼故官，總督薊、遼、保定軍務及四方援軍。
HCH_012_257_000220	廷棟有才知兵，奏對明爽，帝心異之。
HCH_012_257_000221	三年正月，兵部尚書申用懋罷，特召廷棟掌部事。
HCH_012_257_000222	時京師雖解嚴，羽書旁午，廷棟剖決無滯。
HCH_012_257_000223	而廷臣見其驟用，心嫉之。
HCH_012_257_000224	給事中陳良訓首刺廷棟，同官陶崇道復言：「廷棟數月前一監司耳，倏而為巡撫、總督、本兵，國士之遇宜何如報。乃在通州時，言遵、永易復，良、固難破，自以為神算。今何以難者易，易者難？且嘗請躬履行間，隨敵追擊，以為此報主熱血。今偃然中樞，熱血何銷亡也？謂制敵不專在戰，似矣，而伐謀用間，其計安在？」
HCH_012_257_000225	帝不聽崇道言。
HCH_012_257_000226	廷棟疏辨，乞一巖疆自效，優詔慰留之。
HCH_012_257_000227	未幾，工部主事李逢申劾廷棟虛名，崇道又言廷棟輕於發言，致臨洮、固原入衛兵變。
HCH_012_257_000228	帝皆不納。
HCH_012_257_000229	五月，永平四城復，賞廷棟調度功，加太子少保，世蔭錦衣僉事。
HCH_012_257_000230	其秋，廷棟以兵食不足，將加賦，因言：「今日閭左雖窮，然不窮於遼餉也。一歲中，陰為加派者，不知其數。如朝覲、考滿、行取、推升，少者費五六千金，合海內計之，國家選一番守令，天下加派數百萬。巡按查盤、訪緝、饋遺、謝薦，多者至二三萬金，合天下計之，國家遣一番巡方，天下加派百餘萬，而曰民窮於遼餉，何也？臣考九邊額設兵餉，兵不過五十萬，餉不過千五百三十餘萬，何憂不足。故今日民窮之故，惟在官貪。使貪風不除，即不加派，民愁苦自若；使貪風一息，即再加派，民歡忻亦自若。」
HCH_012_257_000231	疏入，帝俞其言，下戶部協議。
HCH_012_257_000232	戶部尚書畢自嚴阿廷棟意，即言今日之策，無逾加賦，請畝加九厘之外，再增三厘。
HCH_012_257_000233	於是增賦百六十五萬有奇，海內並咨怨。
HCH_012_257_000234	已，陳厘弊五事：曰屯田，曰鹽法，曰錢法，曰茶馬，曰積粟。
HCH_012_257_000235	又極陳陜西致寇之由，請重懲將吏貪汙者以紓軍民之憤，塞叛亂之源。
HCH_012_257_000236	帝皆褒納。
HCH_012_257_000237	廷棟居中樞歲餘，所陳兵事多中機宜，帝甚倚任。
HCH_012_257_000238	然頗挾數行私，不為朝論所重。
HCH_012_257_000239	給事中葛應鬥劾御史袁弘勛納參將胡宗明金，請囑兵部；廷棟亦劾弘勛及錦衣張道濬通賄狀。
HCH_012_257_000240	兩人遂下獄。
HCH_012_257_000241	兩人者，吏部尚書王永光私人也。
HCH_012_257_000242	廷棟謀並去永光，以己代之，得釋兵事，永光遂由此去。
HCH_012_257_000243	御史水佳允者，弘勛郡人也，兩疏力攻廷棟，發其所與司官手書，且言其縱奸人沈敏交關薊撫劉可訓，納賄營私。
HCH_012_257_000244	廷棟疏辯求去，帝猶慰留。
HCH_012_257_000245	有安國棟者，初以通判主插漢撫賞事，廷棟薦其才，特擢職方主事，仍主撫賞，頗為奸利，廷棟庇之。
HCH_012_257_000246	後佳允坐他事左遷行人司副，復上疏發兩人交通狀，並列其賄鬻將領數事，事俱有跡。
HCH_012_257_000247	廷棟危甚，賴中人左右之，得閑住去，以熊明遇代。
HCH_012_257_000248	八年冬，召拜兵部右侍郎兼右都御史，代楊嗣昌總督宣、大、山西軍務。
HCH_012_257_000249	明年七月，我大清兵由間道逾天壽山，克昌平，逼京師。
HCH_012_257_000250	山後地，乃廷棟所轄也，命戴罪入援。
HCH_012_257_000251	兵部尚書張鳳翼懼罪，自請督師。
HCH_012_257_000252	兩人恇怯不敢戰，近畿地多殘破，言官交章論劾。
HCH_012_257_000253	兩人益懼，度解嚴後必罹重譴，日服大黃藥求死。
HCH_012_257_000254	八月十九日，大清兵出塞。
HCH_012_257_000255	至九月朔，鳳翼卒。
HCH_012_257_000256	逾旬日，廷棟亦卒。
HCH_012_257_000257	已，法司定罪，廷棟坐大辟，以既死不究雲。
HCH_012_257_000258	廷棟既歿，其父克從尚在。
HCH_012_257_000259	後賊破鄢陵，避開封。
HCH_012_257_000260	及開封被淹，死於水。
HCH_012_257_000261	熊明遇，字良孺，進賢人。
HCH_012_257_000262	萬歷二十九年進士。
HCH_012_257_000263	知長興縣。
HCH_012_257_000264	四十三年，擢兵科給事中，旋掌科事。
HCH_012_257_000265	上疏極陳時弊，言：今春以來，天鼓兩震於晉地，流星晝隕於清豐，地震二十八，天火九，石首雨菽，河內女妖，遼東兵端吐火，即春秋二百四十年間，未有稠於今日者。
HCH_012_257_000266	且山東大昆，人相食，黃河水稽天，兼以太白經天，輔星湛沒，熒惑襲月，金水愆行，或日光無芒，日月同暈，為恒風，為枯旱。
HCH_012_257_000267	天譴愈深，而陛下所行皆誣天拂經之事，此誠禽息碎首、賈生痛哭之時也。
HCH_012_257_000268	敢以八憂、五漸、三無之說進。
HCH_012_257_000269	今內庫太實，外庫太虛，可憂一。
HCH_012_257_000270	餉臣乏餉，邊臣開邊，可憂二。
HCH_012_257_000271	套部圖王，插部覬賞，可憂三。
HCH_012_257_000272	黃河泛濫，運河膠淤，可憂四。
HCH_012_257_000273	齊苦荒天，楚苦索地，可憂五。
HCH_012_257_000274	鼎鉉不備，棟梁常撓，可憂六。
HCH_012_257_000275	群嘩盈衢，訛言載道，可憂七。
HCH_012_257_000276	吳民喜亂，冠履倒置，可憂八。
HCH_012_257_000277	八憂未已，五漸繼之。
HCH_012_257_000278	太阿之柄，漸入中涓。
HCH_012_257_000279	魁壘之人，漸如隕籜。
HCH_012_257_000280	制科之法，漸成奸藪。
HCH_012_257_000281	武庫之器，漸見銷亡。
HCH_012_257_000282	商旅之途，漸至梗塞。
HCH_012_257_000283	五漸未已，三無繼之。
HCH_012_257_000284	匹夫可熒惑天子，小校可濫邀絲綸，是朝廷無紀綱。
HCH_012_257_000285	滇、黔之守令皆途窮，揚、粵之監司多規避，是遠方無吏治。
HCH_012_257_000286	讒構之口甚於戈戟，傾危之禍慘於蘇、張，是士大夫無人心。
HCH_012_257_000287	天下事可不寒心哉！
HCH_012_257_000288	帝不省。
HCH_012_257_000289	亓詩教等以明遇與東林通，出為福建僉事，遷寧夏參議。
HCH_012_257_000290	天啟元年，以尚寶少卿進太僕少卿，尋擢南京右僉都御史，提督操江。
HCH_012_257_000291	建營伏虎山，選練蒼頭軍，以資守禦。
HCH_012_257_000292	永樂中，齊王榑以罪廢，其子孫居南京，號齊庶人。
HCH_012_257_000293	有睿爁者，自負異表，與奸人謀不軌，明遇捕獲之，置其黨十餘人於法。
HCH_012_257_000294	魏忠賢黨謀盡逐東林，以明遇嘗救御史遊士任，五年三月，給事中薛國觀遂劾其黨庇徇私，忠賢即矯旨革職。
HCH_012_257_000295	未幾，坐汪文言獄，追贓千二百金，謫戍貴州平溪衛。
HCH_012_257_000296	莊烈帝即位，釋還。
HCH_012_257_000297	崇禎元年，起兵部右侍郎。
HCH_012_257_000298	明年進左，遷南京刑部尚書。
HCH_012_257_000299	四年，召拜兵部尚書，疏陳四司宿弊，悉見采納。
HCH_012_257_000300	楊鶴被逮，明遇言：「秦中流寇，明旨許撫剿並行。臣謂渠魁乞降亦宜撫，脅從負固亦宜剿。今鶴以撫賊無功就逮，倘諸臣因鶴故欲盡戮無辜，被脅之人絕其生路。宜急敕新督臣洪承疇，諭賊黨殺賊自效，即神一魁、劉金輩，果立奇功，亦一體敘錄。而諸將善撫馭如吳弘器等，仍與升擢，庶賊黨日孤。」
HCH_012_257_000301	帝亦納之。
HCH_012_257_000302	五年正月，山東叛將李九成等陷登州，明遇過信巡撫余大成言，力主撫議，久愈猖獗，萊城被圍幾陷，乃調關外軍討定之。
HCH_012_257_000303	語詳《徐從治傳》。
HCH_012_257_000304	當是時，我大清兵入宣府，巡撫沈棨與中官王坤等遣使議和，饋金帛牢醴，師乃旋。
HCH_012_257_000305	事聞，帝惡棨專擅，召對明遇等於平臺。
HCH_012_257_000306	明遇曲為棨解，帝不悅，逮棨下吏。
HCH_012_257_000307	於是給事中孫三傑力詆明遇、棨交關誤國，同官陳贊化、呂黃鐘，御史趙繼鼎連劾之。
HCH_012_257_000308	明遇再疏乞罷，帝責以疏庸僨事，命解任候勘。
HCH_012_257_000309	尋以故官致仕。
HCH_012_257_000310	久之，用薦起南京兵部尚書，改工部，引疾歸。
HCH_012_257_000311	國變後卒。
HCH_012_257_000312	張鳳翼，代州人。
HCH_012_257_000313	萬歷四十一年進士。
HCH_012_257_000314	授戶部主事。
HCH_012_257_000315	歷廣寧兵備副使，憂歸。
HCH_012_257_000316	天啟初，起右參政，飭遵化兵備。
HCH_012_257_000317	三年五月，遼東巡撫閻鳴泰罷，擢鳳翼右僉都御史代之。
HCH_012_257_000318	自王化貞棄廣寧後，關外八城盡空，樞輔孫承宗銳意修復，而版築未興。
HCH_012_257_000319	鳳翼聞命，疑承宗欲還朝，以遼事委之己，甚懼，即疏請專守關門。
HCH_012_257_000320	其座主葉向高、鄉人韓爌柄政，抑使弗上。
HCH_012_257_000321	既抵關，以八月出閱前屯、寧遠諸城，上疏極頌承宗經理功，且曰：「八城畚插，非一年可就之工；六載瘡痍，非一時可起之疾。今日議剿不能，言戰不得，計惟固守。當以山海為根基，寧遠為門戶，廣寧為哨探。」
HCH_012_257_000322	其意專主守關，與承宗異議。
HCH_012_257_000323	時趙率教駐前屯，墾田、練卒有成效。
HCH_012_257_000324	及袁崇煥、滿桂守寧遠，關外規模略定。
HCH_012_257_000325	忽有傳中左所被兵者，永平吏民洶洶思竄，鳳翼心動，亟遣妻子西歸。
HCH_012_257_000326	承宗曰：「我不出關，人心不定。」
HCH_012_257_000327	遂於四年正月東行。
HCH_012_257_000328	鳳翼語人曰：「樞輔欲以寧前荒塞居我，是殺我也。國家即棄遼左，猶不失全盛，如大寧、河套，棄之何害？今舉世不欲復遼，彼一人獨欲復耶？」
HCH_012_257_000329	密令所知居言路者詆馬世龍貪淫及三大將建閫之非，以撼承宗。
HCH_012_257_000330	承宗不悅，舉其言入告。
