HCH_012_316_000174	三善糧不繼，焚大方，還貴州，道遇賊，三善為所害。
HCH_012_316_000175	邦彥率數萬眾來追，總理魯欽力禦之，大戰數日，大軍無糧，乘夜皆潰，欽自剄。
HCH_012_316_000176	賊燒劫諸堡，苗兵復助逆，貴陽三十里外樵蘇不行，城中復大震。
HCH_012_316_000177	初，大方東倚播，北倚藺，相為掎角。
HCH_012_316_000178	後播、藺既平，賊惟恃烏撒為援，而畢節為四夷交通處。
HCH_012_316_000179	當三善由貴陽陸廣深入大方百七十里，皆羅鬼巢窟，以失地利而陷。
HCH_012_316_000180	天啟間，朱燮元為蜀督，建議滇兵出沾益，遏安效良應援，分兵於天生橋、尋甸等處，以絕其走；蜀兵臨畢節，扼其交通之路，而別出龍場巖後，以奪其險；黔兵由普定渡思臘河，徑趨邦彥巢，由陸廣、鴨池搗其虛；粵西兵出泗城，分道策應；然後大軍由遵義鼓行而前。
HCH_012_316_000181	尋以憂去，未及用。
HCH_012_316_000182	總督閔夢得繼之，亦以貴州抵大方路險，賊惟恃畢節一路外通。
HCH_012_316_000183	我兵宜從永寧始，自永寧而普市，而摩泥，而赤水，百五十里皆坦途。
HCH_012_316_000184	赤水有城郭可憑而守，宜結營進逼。
HCH_012_316_000185	四十里為白巖，六十里為層臺，又六十里為畢節。
HCH_012_316_000186	畢節至大方不及六十里，賊必並力來禦，須重兵扼之，斷其四走之路，然後遵義、貴陽克期而進，亦不果用。
HCH_012_316_000187	及是黔事棘，詔起燮元總督貴、雲、川、廣。
HCH_012_316_000188	於是燮元再蒞黔，時崇禎元年也。
HCH_012_316_000189	奢崇明自號大梁王，安邦彥自號四裔大長老，其部眾悉號元帥。
HCH_012_316_000190	悉力趨永寧，先犯赤水。
HCH_012_316_000191	燮元授意守將佯北，誘深入，度賊已抵永寧，分遣別將林兆鼎從三岔入，王國禎從陸廣入，劉養鯤從遵義入。
HCH_012_316_000192	邦彥分兵四應，力不支。
HCH_012_316_000193	羅乾象復以奇兵繞其背，急擊之，賊大驚潰，崇明、邦彥皆授首。
HCH_012_316_000194	邦彥亂七年而誅。
HCH_012_316_000195	燮元乃移檄安位，赦其罪，許歸附。
HCH_012_316_000196	位豎子不能決，其下謀合潰兵來拒。
HCH_012_316_000197	燮元扼其要害，四面叠攻，斬首萬餘級。
HCH_012_316_000198	復得向導，輒發窖粟就食，賊益饑。
HCH_012_316_000199	復遣人至大方燒其室廬，位大恐，遂率四十八目出降。
HCH_012_316_000200	燮元奏請許之，報可。
HCH_012_316_000201	而前助邦彥故宣慰宋萬化之子嗣殷亦至是始剿滅。
HCH_012_316_000202	乃以宋氏洪邊十二馬頭地置開州，建城設官。
HCH_012_316_000203	燮元復遣兵平擺金五洞諸叛苗，水西勢益孤。
HCH_012_316_000204	十年，安位死，無嗣，族屬爭立。
HCH_012_316_000205	朝議欲乘其敝郡縣之。
