HCH_012_330_000248	帝並賜彩幣表裡，以安其反側。
HCH_012_330_000249	三年春，賜安定及曲先衛指揮等官五十三人誥命。
HCH_012_330_000250	初，大軍之討賊也，安定指揮桑哥與罕東衛軍同奉調從征。
HCH_012_330_000251	罕東違令不至，其所轄板納族瞰桑哥軍遠出，盡掠其部內廬帳畜產。
HCH_012_330_000252	事聞，降敕切責，令速歸所掠，違命則發兵進討。
HCH_012_330_000253	已，進桑哥都指揮僉事。
HCH_012_330_000254	正統元年遣官齎敕諭安定王及桑哥曰：「我祖宗時，爾等順天命，尊朝廷，輸誠效力，始終不替，朝廷恩賚亦久而弗渝。肆朕嗣位，爾等復遵朝命，約束部下，良用爾嘉。茲特遣官往諭朕意，賜以幣帛。宜益順天心，篤忠誠，保境睦鄰，永享太平之福。」
HCH_012_330_000255	三年，桑哥卒，其子那南奔嗣職。
HCH_012_330_000256	九年，那南奔率眾掠曲先人畜。
HCH_012_330_000257	朝廷遣官諭還之，不奉命，反劫其行李。
HCH_012_330_000258	帝怒，敕責安定王追理。
HCH_012_330_000259	王既奉命，又陳詞乞憐。
HCH_012_330_000260	帝乃宥之，諭以保國睦鄰之義。
HCH_012_330_000261	十一年冬，亦攀丹卒，子領占幹些兒襲。
HCH_012_330_000262	時王年幼，叔父指揮同知輟思泰巴佐理國事，其同儕多不相下。
HCH_012_330_000263	王遣之入朝，奏請量加一秩，乃擢都指揮僉事。
HCH_012_330_000264	歷景泰、天順、成化三朝，頻入貢。
HCH_012_330_000265	弘治三年，領占幹些兒卒，子千奔襲。
HCH_012_330_000266	賜齋糧、麻布，諭祭其父。
HCH_012_330_000267	先是，哈密忠順王卒，無子。
HCH_012_330_000268	廷議安定王與之同祖，遣官擇一人為其後，安定王不許。
HCH_012_330_000269	至是，訪求陝巴於安定，冊為忠順王，命千奔遣送其家屬。
HCH_012_330_000270	千奔怒曰：「陝巴不應嗣王爵，爵應歸綽爾加。」
HCH_012_330_000271	綽爾加者，千奔弟也。
HCH_012_330_000272	且邀厚賞。
HCH_012_330_000273	兵部言：「陝巴實忠順王之孫，素為國人所服。前哈密無主，遣使取應立者，綽爾加自知力弱不肯往。今事定之後，乃爾反覆，所言不可從。」
HCH_012_330_000274	陝巴迄得立。
HCH_012_330_000275	然千奔以立非己意，後哈密數被寇，竟不應援。
HCH_012_330_000276	十七年率眾侵沙州，大掠而去。
HCH_012_330_000277	正德時，蒙古大酋亦不剌、阿爾禿廝侵據青海，縱掠鄰境。
HCH_012_330_000278	安定遂殘破，部眾散亡。
HCH_012_330_000279	阿端衛，在撒里畏兀兒之地，洪武八年置。
HCH_012_330_000280	後為朵兒只巴殘破，其衛遂廢。
HCH_012_330_000281	永樂四年冬，酋長小薛忽魯札等來朝，貢方物，請復置衛設官，從之，即授小薛等為指揮僉事。
HCH_012_330_000282	洪熙時，曲先酋散即思邀劫朝使，脅阿端指揮鎖魯丹偕行。
HCH_012_330_000283	已，大軍出征，鎖魯丹懼，率部眾遠竄，失其印。
HCH_012_330_000284	宣德初遣使招撫，鎖魯丹猶不敢歸，依曲先雜處。
HCH_012_330_000285	六年春，西寧都督史昭言：「曲先衛真只罕等本別一部，因其父助散即思為逆，竄處畢力術江。其地當烏斯藏孔道，恐復為亂，宜討之。」
HCH_012_330_000286	帝敕昭曰：「殘寇窮迫，無地自容，宜遣人宥其罪，命復故業。」
HCH_012_330_000287	於是真只罕率所部還居帖兒谷舊地。
HCH_012_330_000288	明年正月入朝，天子喜，授指揮同知，令掌衛事，以指揮僉事卜答兀副之。
HCH_012_330_000289	真只罕因言：「阿端故城在回回境，去帖兒谷尚一月程，朝貢艱，乞移本土為便。」
HCH_012_330_000290	天子從其請，仍給以印，賜璽書撫慰之。
HCH_012_330_000291	迄正統朝，數入貢，後不知所終。
HCH_012_330_000292	其時西域地亦有名阿端者，貢道從哈密入，與此為兩地云。
HCH_012_330_000293	曲先衛，東接安定，在肅州西南。
HCH_012_330_000294	古西戎，漢西羌，唐吐蕃，元設曲先答林元帥府。
HCH_012_330_000295	洪武時，酋長入貢。
HCH_012_330_000296	命設曲先衛，官其人為指揮。
HCH_012_330_000297	後遭朵兒只巴之亂，部眾竄亡，併入安定衛，居阿真之地。
HCH_012_330_000298	永樂四年，安定指揮哈三、散即思、三即等奏：「安定、曲先本二衛，後合為一。比遭吐番把禿侵擾，不獲寧居。乞仍分為二，復先朝舊制。」
HCH_012_330_000299	從之。
