HCH_012_123_000297	謝之去。
HCH_012_123_000298	太祖已取婺州，使主簿蔡元剛使慶元。
HCH_012_123_000299	國珍謀於其下曰：「江左號令嚴明，恐不能與抗。況為我敵者，西有吳，南有閩。莫若姑示順從，藉為聲援以觀變。」
HCH_012_123_000300	眾以為然。
HCH_012_123_000301	於是遣使奉書進黃金五十斤，白金百斤，文綺百匹。
HCH_012_123_000302	太祖復遣鎮撫孫養浩報之。
HCH_012_123_000303	國珍請以溫、台、慶元三郡獻，且遣次子關為質。
HCH_012_123_000304	太祖卻其質，厚賜而遣之；復使博士夏煜往，拜國珍福建行省平章事，弟國瑛參知政事，國瑉樞密分院僉事。
HCH_012_123_000305	國珍名獻三郡，實陰持兩端。
HCH_012_123_000306	煜既至，乃詐稱疾，自言老不任職，惟受平章印誥而已。
HCH_012_123_000307	太祖察其情，以書諭曰：「吾始以汝豪傑識時務，故命汝專制一方。汝顧中懷叵測，欲覘我虛實則遣侍子，欲卻我官爵則稱老病。夫智者轉敗為功，賢者因禍成福，汝審圖之。」
HCH_012_123_000308	是時國珍歲歲治海舟，為元漕張士誠粟十餘萬石于京師，元累進國珍官至江浙行省左丞相衢國公，分省慶元。
HCH_012_123_000309	國珍受之如故，特以甘言謝太祖，絕無內附意。
HCH_012_123_000310	及得所諭書，竟不省。
HCH_012_123_000311	太祖復以書諭曰：「福基於至誠，禍生於反覆，隗囂、公孫述故轍可鑒。大軍一出，不可虛辭解也。」
HCH_012_123_000312	國珍詐窮，復陽為惶懼謝罪，以金寶飾鞍馬獻。
HCH_012_123_000313	太祖復卻之。
HCH_012_123_000314	已而苗帥蔣英等叛，殺胡大海，持首奔國珍，國珍不受，自台州奔福建。
HCH_012_123_000315	國璋守台，邀擊之，為所敗，被殺，太祖遣使弔祭。
HCH_012_123_000316	逾年，溫人周宗道以平陽來降。
HCH_012_123_000317	國珍從子明善守溫以兵爭。
HCH_012_123_000318	參軍胡深擊敗之，遂下里安，進兵溫州。
HCH_012_123_000319	國珍恐，請歲輸白金三萬兩給軍，俟杭州下，即納土來歸。
HCH_012_123_000320	太祖詔深班師。
HCH_012_123_000321	吳元年克杭州。
HCH_012_123_000322	國珍據境自如，遣間諜假貢獻名覘勝負，又數通好於擴廓帖木兒及陳友定，圖為掎角。
HCH_012_123_000323	太祖聞之怒，貽書數其十二罪，復責軍糧二十萬石。
HCH_012_123_000324	國珍集眾議，郎中張本仁、左丞劉庸等皆言不可從。
HCH_012_123_000325	有丘楠者，獨爭曰：「彼所言均非公福也。惟智可以決事，惟信可以守國，惟直可以用兵。公經營浙東十餘年矣，遷延猶豫，計不早定，不可謂智。既許之降，抑又倍焉，不可謂信。彼之征師，則有詞矣，我實負彼，不可謂直。幸而扶服請命，庶幾可視錢俶乎？」
HCH_012_123_000326	國珍不聽，惟日夜運珍寶，治舟楫，為航海計。
HCH_012_123_000327	九月，太祖已破平江，命參政硃亮祖攻台州，國瑛迎戰敗走。
HCH_012_123_000328	進克溫州。
HCH_012_123_000329	征南將軍湯和以大軍長驅抵慶元。
HCH_012_123_000330	國珍帥所部遁入海。
HCH_012_123_000331	追敗之盤嶼，其部將相次降。
HCH_012_123_000332	和數令人示以順逆，國珍乃遣子關奉表乞降曰：「臣聞天無所不覆，地無所不載。王者體天法地，於人無所不容。臣荷主上覆載之德舊矣，不敢自絕於天地，故一陳愚衷。臣本庸才，遭時多故，起身海島，非有父兄相藉之力，又非有帝制自為之心。方主上霆擊電掣，至於婺州，臣愚即遣子入侍，固已知主上有今日矣，將以依日月之末光，望雨露之餘潤。而主上推誠布公，俾守鄉郡，如故吳越事。臣遵奉條約，不敢妄生節目。子姓不戒，潛構釁端，猥勞問罪之師，私心戰兢，用是俾守者出迎。然而未免浮海，何也？孝子之於親，小杖則受，大杖則走，臣之情事適與此類。即欲面縛待罪闕廷，復恐嬰斧鉞之誅，使天下後世不知臣得罪之深，將謂主上不能容臣，豈不累天地大德哉。」
HCH_012_123_000333	蓋幕下士詹鼎詞也。
HCH_012_123_000334	太祖覽而憐之，賜書曰：「汝違吾諭，不即斂手歸命，次且海外，負恩實多。今者窮蹙無聊，情詞哀懇，吾當以汝此誠為誠，不以前過為過，汝勿自疑。」
HCH_012_123_000335	遂促國珍入朝，面讓之曰：「若來得毋晚乎！」
HCH_012_123_000336	國珍頓首謝。
HCH_012_123_000337	授廣西行省左丞，食祿不之官。
HCH_012_123_000338	數歲，卒于京師。
HCH_012_123_000339	子禮，官廣洋衛指揮僉事；關，虎賁衛千戶所鎮撫。
HCH_012_123_000340	關弟行，字明敏，善詩，承旨宋濂嘗稱之。
HCH_012_123_000341	劉仁本，字德元，國珍同縣人。
HCH_012_123_000342	元末進士乙科，曆官浙江行省郎中，與張本仁俱入國珍幕。
HCH_012_123_000343	數從名士趙俶、謝理、硃右等賦詩，有稱于時。
HCH_012_123_000344	國珍海運輸元，實仁本司其事。
HCH_012_123_000345	硃亮祖之下溫州也，獲仁本。
HCH_012_123_000346	太祖數其罪，鞭背潰爛死。
HCH_012_123_000347	余官屬從國珍降者皆徙滁州，獨赦丘楠，以為韶州知府。
HCH_012_123_000348	詹鼎者，寧海人，有才學。
