HCH_013_047_000218	於是守仁大賑城中軍民，慰諭諸宗室，榜示宥釋脇從，嘗受賊官爵、能自逃歸投首者，皆置不問。
HCH_013_047_000219	二十三日，諜報宸濠先鋒已至樵舍，守仁乃遣諸將帥兵迎擊之，令伍文定以正兵當其前，余恩繼文定後，邢珣帥兵繞出賊背，徐璉、戴德孺張兩翼分擊之，諸將各受命出。
HCH_013_047_000220	二十四日乙卯，賊兵乘風鼓譟而前，逼黃家渡，氣驕甚。
HCH_013_047_000221	伍文定、余恩佯北致之。
HCH_013_047_000222	賊爭進趨利，前後不相及。
HCH_013_047_000223	邢珣兵從後急擊，橫貫其陣，賊敗走。
HCH_013_047_000224	文定、恩還兵乘之，徐璉、戴德孺兵合勢夾擊，賊不知所為，遂大潰。
HCH_013_047_000225	追奔十餘里，擒斬二千餘級，溺水死者萬計，賊氣大沮，退保八字腦。
HCH_013_047_000226	是夜，宸濠問舟所泊地，其下對「黃石磯」。
HCH_013_047_000227	南人謂黃王，宸濠惡其音為「王失機」，殺對者。
HCH_013_047_000228	賊眾見兵敗，稍稍散去。
HCH_013_047_000229	是日，建昌知府曾璵等帥兵至。
HCH_013_047_000230	守仁謂九江、南康不復，則道終梗，且湖廣援兵不能達，乃別遣知府陳槐帥兵四百，合知府林椷兵攻九江；知府曾璵帥兵四百，合知府周朝佐兵攻南康。
HCH_013_047_000231	宸濠大賞將士，當先者千金，被傷者百金，使人盡發南康、九江兵至。
HCH_013_047_000232	丙辰，并力合戰，官兵敗死者數百人。
HCH_013_047_000233	伍文定急斬先卻者以徇，身立砲銃間，火焚其鬚鬢不移足，士殊死鬬。
HCH_013_047_000234	兵復振，砲及宸濠舟，賊遂大敗，擒斬二千餘級，溺水死者甚眾。
HCH_013_047_000235	賊復退保樵舍，聯舟為方陣，盡出其金帛賞士。
HCH_013_047_000236	伍文定等乃為火攻之具。
HCH_013_047_000237	邢珣擊其左，徐璉、戴德孺擊其右，余恩等分兵四伏，期火發兵合。
HCH_013_047_000238	丁巳，宸濠朝羣臣，執其不盡力者將斬之。
HCH_013_047_000239	爭論未決，官兵四集，奮擊之，火及宸濠副舟，賊復大潰。
HCH_013_047_000240	宸濠與諸妃嬪泣別，妃嬪皆赴水死。
HCH_013_047_000241	將士執宸濠及其世子、郡王、儀賓，并偽丞相、元帥等官李士實、劉養正、徐吉、涂欽、王綸、熊瓊、盧行、羅璜、丁瞶、王春、吳十三、淩十一、秦榮、葛江、劉勛、何鏜、王信、吳國士、火信等數百餘人；被執脅從官太監王宏，御史王金，主事金山，按察使楊源，僉事王疇、潘鵬，參政陳杲，布政司梁宸，都指揮郟文、馬驥、白昻等。
HCH_013_047_000242	擒斬賊黨三千餘級，溺水死者約三萬。
HCH_013_047_000243	棄其衣甲器仗財物，與浮尸積聚，橫亙若洲。
HCH_013_047_000244	餘賊數百艘，四散逃潰。
HCH_013_047_000245	復遣兵分剿，擊破之於樵舍，又破之於吳城，擒斬千餘級。
HCH_013_047_000246	守仁所遣曾璵、陳槐亦攻復九江、南康二郡，各於沿湖諸處，擒斬千餘級。
HCH_013_047_000247	將士執宸濠入江西，軍民聚觀，歡呼之聲震動天地。
HCH_013_047_000248	宸濠見守仁，呼曰：「王先生！我欲盡削護衞，請降為庶民可乎？」
HCH_013_047_000249	守仁曰：「有國法在。」
HCH_013_047_000250	遂頫首不言。
HCH_013_047_000251	初，宸濠謀反，妃婁氏泣諫不聽。
HCH_013_047_000252	及宸濠被擒，於檻車中泣語人曰：「昔紂用婦人言而亡天下，我以不用婦人言而亡其國，今悔恨何及！」
HCH_013_047_000253	守仁為求婁妃尸葬之。
HCH_013_047_000254	得宸濠交賄大小臣僚手籍悉焚，置不問。
