HCH_013_067_000188	妃手太子衣而泣曰：「兒長大如此，我死何憾！」
HCH_013_067_000189	太子慟，左右皆泣，莫能仰視，須臾薨。
HCH_013_067_000190	四十年冬十月，閣臣葉向高請福王之國，報明年春舉行。
HCH_013_067_000191	四十一年春正月，禮部請東宮開講，福王就國。
HCH_013_067_000192	不報。
HCH_013_067_000193	四月，兵部尚書王象乾復請之。
HCH_013_067_000194	上曰：「親王之國，祖制在春，今踰期矣，其明年春舉行。」
HCH_013_067_000195	五月辛未，葉向高言：「福王之國，奉旨明春舉行，頃復以莊田四萬頃責撫、按，如田頃足而後行，則之國何日？聖諭明春舉行，亦寧可必哉！福王奏稱祖制，謂祖訓有之乎？會典有之乎？累朝之功令有之乎？王所引祖制，抑何指也？如援景府，則自景府而前，莊田並未出數千頃外，獨景府踰制，皇祖一時失聽，至今追咎，王奈何尤而效之！自古開國承家，必循理安分為可久。鄭莊愛太叔段為請大邑，漢竇后愛梁孝王封以大國，皆及身而敗。臣不勝忠愛之念，不得不明言之。」
HCH_013_067_000196	六月己丑，錦衣衞百戶王曰乾訐奏奸人孔學與皇貴妃宮中內侍姜、龐、劉諸人，請妖人王子詔詛呪皇太子，刊木像聖母、皇上，釘其目，又約趙思聖在東宮侍衞，帶刀行刺，語多涉鄭貴妃、福王。
HCH_013_067_000197	葉向高語通政使，具參疏與曰乾奏同上之。
HCH_013_067_000198	向高密揭曰乾、孔學皆京師無賴，譸張至此，此大類往來妖書；但妖書匿名難詰，今兩造俱在法司，其情立見。
HCH_013_067_000199	皇上第靜俟，勿為所動，動則滋擾。
HCH_013_067_000200	上初覽曰乾疏，震怒。
HCH_013_067_000201	及見揭，意解，遂不問。
HCH_013_067_000202	東宮遣取閣揭，向高曰：「皇上既不問，則殿下亦無庸更覽。」
HCH_013_067_000203	太子深然之。
HCH_013_067_000204	尋御史以他事參曰乾下之獄。
HCH_013_067_000205	踰年而「梃擊」之獄興。
HCH_013_067_000206	四十二年三月丙子，福王常洵之國。
HCH_013_067_000207	四十三年二月，南京御史汪有功言福府內侍李進忠擅祭告孝陵。
HCH_013_067_000208	不報。
HCH_013_067_000209	秋七月，太常寺少卿史孟麟請册立皇太孫，謫兩淮鹽運判官。
HCH_013_067_000210	四十四年八月壬寅，皇太子出閣講學，蓋曠期十二年。
HCH_013_067_000211	四十八年夏四月，皇后王氏崩。
HCH_013_067_000212	后賢而多病，國本之論起，上堅操立嫡不立長之語。
HCH_013_067_000213	羣疑上意在后病不可知，貴妃即可為國母，舉朝皇皇。
HCH_013_067_000214	及上年高，后以賢見重，而東宮益安，至是崩。
HCH_013_067_000215	中宮虛位數月，貴妃竟不進位。
HCH_013_067_000216	上不豫，右諭德張鼐上言：「皇上起居靜攝，皇太子執禮之暇，時親左右，皇長孫少成之氣，娛樂庭除，既足寬懷，亦稱聚順。臣竊見士民之家，或慈母見背，嚴父孤單，惟兒孫繞膝，可開眉宇。雖天子不同民間，而骨肉應無二理。」
HCH_013_067_000217	七月，時上寢疾久，皇太子希得召見，御史左光斗等詣方從哲請候安。
HCH_013_067_000218	從哲曰：「上諱疾，即入門，左右不敢傳。」
HCH_013_067_000219	兵科給事中楊漣曰：「昔宋文潞公問仁宗疾，內侍不肯言。潞公曰：「天子起居，汝曹不令宰相知，將無他志？下中書省行法。』今誠日三問，不必見，亦不必上知，第令內臣知大臣在門。且公當宿閣中。」從哲曰：「非故事。」曰：「潞公不訶史志驄乎？此何時？尚問故事！」二十一日丙申，上疾大漸，召輔臣方從哲等入弘德殿，尋出，日已旰，皇太子尚徬徨寢門外，不得入。漣、光斗遣人語東宮內侍王安曰：「上疾甚，不召太子，非上意。太子當力請入侍，以備非常，即夜毋輕出。」安故守正，力擁佑太子。即日上崩，遺命封貴妃鄭氏為皇后。泰昌元年，即萬曆四十八年也。八月，光宗既踐祚，遵遺命封皇貴妃，命禮部查例行。尚書孫如游爭之曰：「祖宗朝，其以配而后者，乃敵體之經，其以妃而后者，則從子之義。故累朝非無抱衾之愛，終引割席之嫌者，則以例所不載也。皇貴妃事先帝有年，不聞倡議於生前，而顧遺詔於逝後，豈先帝彌留之際，遂不及致詳耶？且王貴妃誕育殿下，豈非先帝所留意者！乃恩典尚爾有待，而欲令不屬毛離裏者，得子其母，恐九原亦不無怨恫也。鄭貴妃賢而習於禮，處以非分，必非其心之所樂。書之史册，傳之後𥜥，將為盛代典禮之累，且昭先帝之失言，非所以為孝也。《中庸》稱達孝為善繼善述，
HCH_013_067_000220	義可行，則以遵命為孝；義不可行，則以遵禮為孝。
HCH_013_067_000221	臣不敢奉命。
HCH_013_067_000222	從之。
