HCH_009_010_000191	戊寅，以修河防工畢，參知政事胥持國進官二階，翰林待制奧屯忠孝以下三十六人各一階，獲嘉令王維翰以下五十六人各賜銀弊有差。
HCH_009_010_000192	庚辰，以尚書右丞相來谷清臣為左丞相，監修國史，封密國公。
HCH_009_010_000193	樞密使襄為尚書右丞相，封任國公。
HCH_009_010_000194	參知政事胥持國為尚書右丞。
HCH_009_010_000195	壬午，賜宰臣手詔，以風俗不淳，官吏苟且，責之。
HCH_009_010_000196	五月丙戌，命減萬甯宮陳設九十四所。
HCH_009_010_000197	辛卯，以出師，遣禮部尚書張暐告於廟社。
HCH_009_010_000198	乙未，判平陽府事鎬王永中以罪賜死，並及二子，丁酉，詔中外。
HCH_009_010_000199	乙巳，詔諸路猛安謀克農隙講武，本路提刑司察其惰者罰之。
HCH_009_010_000200	庚戌，命左丞相來谷清臣行省於臨潢府。
HCH_009_010_000201	六月丙辰，右諫議大夫賈守謙、右拾遺僕散訛可坐鎬王永中事奏對不實，削官二階，罷之。
HCH_009_010_000202	御史中丞孫即康，右補闕蒙括胡剌、右拾遺田仲禮各罰金二十斤。
HCH_009_010_000203	丙寅，以樞密副使唐括貢為樞密使。
HCH_009_010_000204	以久雨，鋋。
HCH_009_010_000205	庚辰，太白經天。
HCH_009_010_000206	辛巳，左丞相清臣遣使來獻捷。
HCH_009_010_000207	七月丙申，幸曹王永升第。
HCH_009_010_000208	甲辰，始定文武官六貫石以上、承應人並及廕者、若在籍儒生章服制。
HCH_009_010_000209	八月己未，命袞州長官以曲阜新修廟告成于宣聖。
HCH_009_010_000210	癸亥，至自萬甯宮。
HCH_009_010_000211	己巳，以溫敦伯英言，命禮部令學官講經。
HCH_009_010_000212	辛未，以吏部尚書吳鼎樞等賀宋生日使。
HCH_009_010_000213	壬申，行省都事獨吉永中來報捷。
HCH_009_010_000214	乙亥，敕宮中承應人出職後三年內犯贓罪者，元舉官連坐，不在去官之限，著為令。
HCH_009_010_000215	辛巳，木波進馬。
HCH_009_010_000216	九月壬午朔，天壽節，宋、高麗、夏遣使來賀。
HCH_009_010_000217	甲申，冊靜寧山神為鎮安公，忽土白山神為瑞聖公。
HCH_009_010_000218	丙戌，知河間府事移剌仲方為御史大夫。
HCH_009_010_000219	辛卯，如秋山。
HCH_009_010_000220	以尚書左司郎中粘割胡上為夏國生日使。
HCH_009_010_000221	冬十月丙辰，至自秋山。
HCH_009_010_000222	丁巳，以歲幸春水、秋山，五日一進起居表，自今可十日一進。
HCH_009_010_000223	乙亥，命尚書左丞來谷衡行省於撫州，命選親軍、武衛軍各五百人以從，仍給錢五千萬。
HCH_009_010_000224	十一月戊子，左丞相夾谷清臣罷，右丞相襄代領行省事。
HCH_009_010_000225	丙申，以刑部尚書紇石烈貞等為賀宋正旦使。
HCH_009_010_000226	壬寅，初定猛安謀克鎮邊後放免者授官格。
HCH_009_010_000227	禁射糧軍，應役但成隊伍，不得持兵器及凡可以傷人者。
HCH_009_010_000228	甲辰，報敗敵於望雲。
HCH_009_010_000229	乙巳，以樞密使唐括貢、御史大夫移剌仲方、禮部尚書張暐等二十三人充計議官，凡軍事則議之。
HCH_009_010_000230	戊申，初定縣官增水田升除制。
HCH_009_010_000231	十二月乙卯，詔招撫北邊軍民。
HCH_009_010_000232	以知登聞檢院賈益為高麗生日使，戶部員外郎納蘭昉為橫賜使。
HCH_009_010_000233	戊午，禮部尚書張暐等進《大金儀禮》。
HCH_009_010_000234	丁卯，應奉翰林文字趙秉文上書論奸欺。
HCH_009_010_000235	乙亥，詔加五鎮四瀆王爵。
HCH_009_010_000236	庚辰，上幸後園閱軍器。
HCH_009_010_000237	是月，右丞相襄率駙馬都尉僕散揆等進軍大鹽濼，分兵攻取諸營。
HCH_009_010_000238	承安元年春正月辛巳朔，受宋、高麗、夏使朝賀。
HCH_009_010_000239	甲申，大鹽濼群牧使移剌睹等為廣吉剌部兵所取敗，死之。
HCH_009_010_000240	丁亥，國子學齊長張守愚上《平邊議》三篇，特授本學教授，仍以其議付史館。
HCH_009_010_000241	二月甲子，命有司祀高禖如新儀。
HCH_009_010_000242	丁卯，右丞相襄、左丞衡至自軍前。
HCH_009_010_000243	己巳，複命還軍。
HCH_009_010_000244	幸都南行宮春水。
HCH_009_010_000245	甲戌，至自行宮。
HCH_009_010_000246	是月，初造虎符發兵。
HCH_009_010_000247	三月丁酉，如萬甯宮。
HCH_009_010_000248	不雨，遣宮望祭嶽鎮海瀆於北郊。
HCH_009_010_000249	癸卯，敕尚書省：「刑獄雖已奏行，其間恐有疑枉，其再議以聞。人命至重，不可不慎也。」
HCH_009_010_000250	甲辰，遣參知政事尼厖古鑒祈雨於社稷。
HCH_009_010_000251	丁未，複遣使就祈雨于東嶽。
HCH_009_010_000252	夏四月辛亥，命尚書右丞胥持國祈雨於太廟。
HCH_009_010_000253	壬子，遣使審決冤獄。
HCH_009_010_000254	京城禁傘扇。
HCH_009_010_000255	戊午，初行區種法，民十五以上、六十以下有土田者，丁種一畝。
HCH_009_010_000256	乙丑，命御史大夫移剌仲方祈雨於社稷。
HCH_009_010_000257	壬申，命參知政事馬琪祈雨於太廟。
HCH_009_010_000258	甲戌，尚書省以趙承元言，請追上孝孝懿皇太后冊寶，然後行諡冊禮。
HCH_009_010_000259	禮官執奏尊皇太后已詔示中外，無追冊禮，從之。
HCH_009_010_000260	戊寅，上以久不雨，命禮部尚書張暐祈於北嶽。
HCH_009_010_000261	己卯，遣官望祭嶽鎮海瀆於北郊。
HCH_009_010_000262	五月庚辰朔，觀稼於近郊，因閱區田。
HCH_009_010_000263	乙酉，以久旱，徙市。
HCH_009_010_000264	庚寅，詔複市如常。
HCH_009_010_000265	壬辰，以尚藥局副使粘割忠為橫賜夏國使。
HCH_009_010_000266	乙未，參知政事尼厖古鑒薨。
HCH_009_010_000267	庚子，雨足。
HCH_009_010_000268	六月甲寅，上以百姓艱食，詔出倉粟十萬石減價以糶之。
HCH_009_010_000269	乙丑，平晉縣民利通家蠶自成綿段，長七尺一寸五分，闊四尺九寸，詔賜絹十匹。
