HCH_010_038_000225	顯陵者，東丹人皇王墓也。
HCH_010_038_000226	人皇王性好讀書，不喜射獵，購書數萬卷，置醫巫閭山絕頂，築堂曰望海。
HCH_010_038_000227	山南去海一百三十里。
HCH_010_038_000228	大同元年，世宗親護人皇王靈駕歸自汴京。
HCH_010_038_000229	以人皇王愛醫巫閭山水奇秀，因葬焉。
HCH_010_038_000230	山形掩抱六重，於其中作影殿，制度宏麗。
HCH_010_038_000231	州在山東南，遷東京三百餘戶以實之。
HCH_010_038_000232	應曆元年，穆宗葬世宗於顯陵西山，仍禁樵采。
HCH_010_038_000233	有十三山，有沙河。
HCH_010_038_000234	隸長寧、積慶二宮，兵事屬東京都部署司。
HCH_010_038_000235	統州三、縣三：奉先縣。
HCH_010_038_000236	本漢無慮縣，即醫巫閭，幽州鎮山。
HCH_010_038_000237	世宗析遼東長樂縣民以爲陵戶，隸長寧宮。
HCH_010_038_000238	山東縣。
HCH_010_038_000239	本漢望平縣。
HCH_010_038_000240	穆宗割渤海永豐縣民爲陵戶，隸積慶宮。
HCH_010_038_000241	歸義縣。
HCH_010_038_000242	初置顯州，渤海民自來助役，世宗嘉憫，因籍其人戶置縣，隸長寧宮。
HCH_010_038_000243	嘉州，嘉平軍，下，刺史。
HCH_010_038_000244	隸顯州。
HCH_010_038_000245	遼西州，阜成軍，中，刺史。
HCH_010_038_000246	本漢遼西郡地，世宗置州，隸長寧宮，屬顯州。
HCH_010_038_000247	統縣一：長慶縣。
HCH_010_038_000248	統和八年，以諸宮提轄司人戶置。
HCH_010_038_000249	康州，下，刺史。
HCH_010_038_000250	世宗遷渤海率賓府人戶置，屬顯州。
HCH_010_038_000251	初隸長寧宮，後屬積慶宮。
HCH_010_038_000252	統縣一：率賓縣。
HCH_010_038_000253	本渤海率賓府地。
HCH_010_038_000254	<一二>宗州，下，刺史。
HCH_010_038_000255	在遼東石熊山，耶律隆運以所俘漢民置。
HCH_010_038_000256	聖宗立爲州，隸文忠王府。
HCH_010_038_000257	王薨，屬提轄司。
HCH_010_038_000258	統縣一：熊山縣。
HCH_010_038_000259	本渤海縣地。
HCH_010_038_000260	乾州，廣德軍，上，節度。
HCH_010_038_000261	本漢無慮縣地。
HCH_010_038_000262	聖宗統和三年置<一三>，以奉景宗乾陵。
HCH_010_038_000263	有凝神殿。
HCH_010_038_000264	隸崇德宮，兵事屬東京都部署司。
HCH_010_038_000265	統州一、縣四：奉陵縣。
HCH_010_038_000266	本漢無慮縣地。
HCH_010_038_000267	括諸落帳戶，助營山陵。
HCH_010_038_000268	延昌縣。
HCH_010_038_000269	析延昌宮戶置。
HCH_010_038_000270	靈山縣。
HCH_010_038_000271	本渤海靈峰縣地。
HCH_010_038_000272	司農縣。
HCH_010_038_000273	本渤海麓郡縣，並麓波、雲川二縣入焉。
HCH_010_038_000274	海北州，廣化軍，中，刺史。
HCH_010_038_000275	世宗以所俘漢戶置。
HCH_010_038_000276	地在閭山之西，南海之北。
HCH_010_038_000277	初隸宣州，<一四>後屬乾州。
HCH_010_038_000278	統縣一：開義縣。
HCH_010_038_000279	貴德州，寧遠軍，下，節度。
HCH_010_038_000280	本漢襄平縣地，漢公孫度所據<一五>。
HCH_010_038_000281	太宗時察割以所俘漢民置。
HCH_010_038_000282	後以弑逆誅，沒入焉。
HCH_010_038_000283	聖宗建貴德軍，後更名。
HCH_010_038_000284	有陀河、大寶山。
HCH_010_038_000285	隸崇德宮，兵事屬東京都部署司。
HCH_010_038_000286	統縣二：貴德縣。
HCH_010_038_000287	本漢襄平縣，渤海爲崇山縣。
HCH_010_038_000288	奉德縣。
HCH_010_038_000289	本渤海緣城縣地，<一六>嘗置奉德州。
HCH_010_038_000290	瀋州，昭德軍，中，節度。
HCH_010_038_000291	本挹婁國地。
HCH_010_038_000292	渤海建瀋州，故縣九，皆廢。
HCH_010_038_000293	<一七>太宗置興遼軍，後更名。
HCH_010_038_000294	初隸永興宮，<一八>後屬敦睦宮，兵事隸東京都部署司。
HCH_010_038_000295	統州一、縣二：樂郊縣。
HCH_010_038_000296	太祖俘薊州三河民，建三河縣，後更名。
HCH_010_038_000297	靈源縣。
HCH_010_038_000298	太祖俘薊州吏民，建漁陽縣，後更名。
HCH_010_038_000299	岩州，白岩軍，下，刺史。
HCH_010_038_000300	本渤海白岩城，太宗撥屬瀋州。
HCH_010_038_000301	初隸長寧宮，後屬敦睦宮。
HCH_010_038_000302	統縣一：白岩縣。
HCH_010_038_000303	渤海置。
HCH_010_038_000304	集州，懷衆軍，下，刺史。
