HCH_012_066_000211	洪武二十六年定，袞冕九章，冕九旒，旒九玉，金簪導，紅組纓，兩玉瑱。
HCH_012_066_000212	圭長九寸五分。
HCH_012_066_000213	玄衣纁裳，衣五章，織山、龍、華蟲、宗彝、火；裳四章，織藻、粉米、黼、黻。
HCH_012_066_000214	白紗中單，黻領。
HCH_012_066_000215	蔽膝隨裳色，織火、山二章。
HCH_012_066_000216	革帶，金鉤苾，玉佩。
HCH_012_066_000217	綬五采織成，純赤質，三百三十首。
HCH_012_066_000218	小綬三，色同。
HCH_012_066_000219	間織三玉環。
HCH_012_066_000220	大帶，白表朱裡，上緣以紅，下緣以綠。
HCH_012_066_000221	白襪，赤舄。
HCH_012_066_000222	永樂三年定，冕冠，玄表朱裡，前圓後方，前後各九旒。
HCH_012_066_000223	每旒五采繅九就，貫五采玉九，赤、白、青、黃、黑相次。
HCH_012_066_000224	玉衡金簪，玄紞垂青纊充耳，承以白玉瑱，朱紘纓。
HCH_012_066_000225	玉圭長九寸五分，以錦約其下，並韜。
HCH_012_066_000226	袞服九章，玄衣五章，龍在肩，山在背，火、華蟲、宗彝在袖，皆織成。
HCH_012_066_000227	本色領褾襈裾。
HCH_012_066_000228	纁裳四章，織藻、粉米、黼、黻各二，前三幅，後四幅，不相屬，共腰，有襞積，本色綼裼。
HCH_012_066_000229	中單以素紗為之，青領褾襈裾，領織黻文十一。
HCH_012_066_000230	蔽膝隨裳色，四章，織藻、粉米、黼、黻。
HCH_012_066_000231	本色緣，有紃，施於縫中。
HCH_012_066_000232	上玉鉤二。
HCH_012_066_000233	玉佩二，各用玉珩一、瑀一、琚一、沖牙一、璜二；瑀下垂玉花一、玉滴二。
HCH_012_066_000234	瑑雲龍文，描金。
HCH_012_066_000235	自珩而下，系組五，貫以玉珠。
HCH_012_066_000236	上有金鉤。
HCH_012_066_000237	小綬四採以副之，纁質。
HCH_012_066_000238	大帶，素表朱裡，在腰及垂，皆有綼，上綼以朱，下綼以綠。
HCH_012_066_000239	紐約用青組。
HCH_012_066_000240	大綬四採，纁質。
HCH_012_066_000241	小綬三採。
HCH_012_066_000242	間施二玉環，龍文，皆織成。
HCH_012_066_000243	襪舄皆赤色，舄用黑絇純，黑飾舄首。
HCH_012_066_000244	朔望朝、降詔、降香、進表、外國朝貢、朝覲，則服皮弁。
HCH_012_066_000245	永樂三年定，皮弁，冒以烏紗，前後各九縫，每縫綴五采玉九，縫及冠武並貫簪系纓處，皆飾以金。
HCH_012_066_000246	金簪朱纓。
HCH_012_066_000247	玉圭，如冕服內制。
HCH_012_066_000248	絳紗袍，本色領褾襈裾。
HCH_012_066_000249	紅裳，如冕服內裳制，但不織章數。
HCH_012_066_000250	中單以素紗為之，如深衣制。
HCH_012_066_000251	紅領褾襈裾，領織黻文十一。
HCH_012_066_000252	蔽膝隨裳色，本色緣，有紃，施於縫中；其上玉鉤二，玉佩如冕服內制，但無雲龍文；有小綬四採以副之。
HCH_012_066_000253	大帶、大綬、襪舄赤色，皆如冕服內制。
HCH_012_066_000254	其常服，洪武元年定，烏紗折上巾。
HCH_012_066_000255	永樂三年定，冠烏紗折角向上巾，袍赤，盤領窄袖，前後及兩肩各金織盤龍一。
HCH_012_066_000256	玉帶、靴，以皮為之。
HCH_012_066_000257	皇太子妃冠服：洪武三年定，禮服與皇妃同。
HCH_012_066_000258	永樂三年更定，九翬四鳳冠，漆竹絲為匡，冒以翡翠，上飾翠翬九、金鳳四，皆口銜珠滴。
HCH_012_066_000259	珠翠雲四十片，大珠花九樹，小珠花數如之。
HCH_012_066_000260	雙博鬢，飾以鸞鳳，皆垂珠滴。
HCH_012_066_000261	翠口圈一副，上飾珠寶鈿花九，翠鈿如其數。
HCH_012_066_000262	託裡金口圈一副。
HCH_012_066_000263	珠翠面花五事。
HCH_012_066_000264	珠排環一對。
HCH_012_066_000265	珠皁羅額子一，描金鳳文，用珠二十一。
HCH_012_066_000266	翟衣，青質，織翟文九等，間以小輪花。
HCH_012_066_000267	紅領褾襈裾，織金雲龍文。
HCH_012_066_000268	中單玉色紗為之。
HCH_012_066_000269	紅領褾襈裾，領織黻文十一。
HCH_012_066_000270	蔽膝隨衣色，織翟為章二等，間以小輪花三，以緅為領緣，織金雲鳳文。
HCH_012_066_000271	其玉圭、帶綬、玉佩、襪舄之制，俱同皇妃。
HCH_012_066_000272	洪武三年又定常服。
HCH_012_066_000273	犀冠，刻以花鳳。
HCH_012_066_000274	首飾、釧鐲、衫帶俱同皇妃。
HCH_012_066_000275	四年定，冠亦與皇妃同。
HCH_012_066_000276	永樂三年定燕居冠，以皁縠為之，附以翠博山，上飾寶珠一座，翊以二珠翠鳳，皆口銜珠滴。
HCH_012_066_000277	前後珠牡丹二，花八蕊，翠葉三十六。
HCH_012_066_000278	珠翠穰花鬢二。
HCH_012_066_000279	珠翠雲十六片。
HCH_012_066_000280	翠口圈一副。
HCH_012_066_000281	金寶鈿花九，上飾珠九。
HCH_012_066_000282	金鳳一對，口銜珠結。
HCH_012_066_000283	雙博鬢，飾以鸞鳳。
