HCH_012_175_000328	中官苗逵督師延綏，檄大同、宣府卒為探騎。
HCH_012_175_000329	俊持不遣，逵遂劾俊。
HCH_012_175_000330	帝宥俊，而命發卒如逵言。
HCH_012_175_000331	武宗初立，寇乘喪大入，連營二十餘里。
HCH_012_175_000332	俊遣諸將李稽、白玉、張雄、王鎮、穆榮各帥三千人，分扼要害。
HCH_012_175_000333	俄，寇由新開口毀垣入，稽遽前迎敵；玉、雄、鎮、榮各帥所部拒於虞臺嶺。
HCH_012_175_000334	俊急帥三千人赴援，道傷足，以兵屬都指揮曹泰。
HCH_012_175_000335	泰至鹿角山，被圍。
HCH_012_175_000336	俊力疾，益調兵五千人，持三日糧，馳解泰圍，復援出鎮。
HCH_012_175_000337	又分兵救稽、玉，稽、玉亦潰圍出。
HCH_012_175_000338	獨雄、榮阻山澗，援絕死。
HCH_012_175_000339	諸軍已大困，收兵還。
HCH_012_175_000340	寇追之，行且戰，僅得入萬全右衛城，士馬死亡無算。
HCH_012_175_000341	俊及中官劉清、巡撫李進皆征還。
HCH_012_175_000342	御史郭東山言，俊扶病馳援，勸懲不宜偏廢，乃許贖罪。
HCH_012_175_000343	正德五年，起署都督同知，典神威營操練。
HCH_012_175_000344	明年六月，賊楊虎等自山西十八盤還，破武安，掠威、曲周、武城、清河、故城、景州，轉入文安，與劉六等合。
HCH_012_175_000345	都指揮桑玉屢敗，僉事許承芳請濟師。
HCH_012_175_000346	乃命俊充副總兵，與參將王琮統京軍千人討之。
HCH_012_175_000347	往來近畿數月，不能創賊。
HCH_012_175_000348	已，朝議調邊軍協守，賊遂連敗。
HCH_012_175_000349	明年三月，劉六、劉七、齊彥名、龐文宣等敗奔登、萊海套。
HCH_012_175_000350	陸完檄俊軍萊州，合諸將李鋐等邀之。
HCH_012_175_000351	賊遂北走，轉掠寶坻、香河、玉田，俊急偕許泰、郤永遏之。
HCH_012_175_000352	帝喜，勞以白金。
HCH_012_175_000353	賊由武清西去。
HCH_012_175_000354	未幾，得疾召還。
HCH_012_175_000355	後賊平，實授都督同知。
HCH_012_175_000356	久之，卒。
HCH_012_175_000357	俊為邊將，持廉，有謀勇。
HCH_012_175_000358	其歿也，家無贏資。
HCH_012_175_000359	李鋐，大同右衛人。
HCH_012_175_000360	世指揮同知，累功進都指揮僉事，充參將，協守大同。
HCH_012_175_000361	山東盜起，詔改遊擊將軍，尋充副總兵，與俊等邀賊，復與劉暉部將傅鎧、張椿等數立功。
HCH_012_175_000362	賊平，進都指揮同知，充總兵官，鎮鳳陽諸府。
HCH_012_175_000363	尋以江西盜猖獗，擢署都督僉事，與都御史俞諫同提督軍務。
HCH_012_175_000364	賊王浩八據裴源山，憑高發矢石，官軍幾不支。
HCH_012_175_000365	鋐下馬持刀，督將士殊死鬥，賊乃走。
HCH_012_175_000366	追數十里，擒之。
HCH_012_175_000367	復以次討平劉昌三、胡浩三等。
HCH_012_175_000368	移駐余幹，將擊遺賊之未下者，疽發背，卒於軍。
HCH_012_175_000369	詔贈右都督，蔭子都指揮僉事。
HCH_012_175_000370	楊銳，字進之，蕭縣人。
HCH_012_175_000371	嗣世職，為南京羽林前衛指揮使。
HCH_012_175_000372	正德初，以才擢掌龍江右衛事，督造漕舟於淮安。
HCH_012_175_000373	寧王宸濠有異謀，王瓊以安慶居要害，宜置戍，乃進銳署都指揮僉事，守備其地。
HCH_012_175_000374	銳與知府張文錦治戰艦，日督士肄水戰。
HCH_012_175_000375	十四年六月丙子，宸濠反。
HCH_012_175_000376	東下，焚彭澤、湖口、望江。
HCH_012_175_000377	己丑，奄至安慶城下，舟五十餘艘。
HCH_012_175_000378	銳、文錦與指揮崔文、同知林有祿、通判何景昜、懷寧知縣王誥等禦之江滸。
HCH_012_175_000379	已，收兵入城，被圍。
HCH_012_175_000380	銳、文軍城西，文錦、有祿軍城北，景抃、誥軍東南。
HCH_012_175_000381	城西尤要沖，銳晝夜拒戰，殺傷賊二百餘，斬其間諜，乃稍卻。
HCH_012_175_000382	七月丁酉，賊悉兵至，號十萬，舳艫相銜六十餘里。
HCH_012_175_000383	宸濠乘黃艦，泊黃石磯，身自督戰。
HCH_012_175_000384	江西僉事潘鵬在賊軍，安慶人也，宸濠令諭降。
HCH_012_175_000385	呼銳及文錦語，眾心頗搖。
HCH_012_175_000386	吏黃洲者，以大義責數之，鵬慚而退。
HCH_012_175_000387	既復持偽檄至，其家僮見，遙呼之，銳腰斬以徇。
HCH_012_175_000388	將射鵬，鵬遁去，眾心乃定。
HCH_012_175_000389	賊怒，圍城數周，攻益急。
HCH_012_175_000390	銳等殊死戰。
HCH_012_175_000391	賊雲樓數十瞰城中，城中亦造飛樓射賊，夜縋人焚賊樓。
