HCH_012_300_000262	九年九月，尚書屠滽偕九卿上言：憲宗皇帝詔，勛戚之家，不得佔據關津陂澤，設肆開廛，侵奪民利，違者許所在官司執治以聞。
HCH_012_300_000263	皇上踐極，亦惟先帝之法是訓是遵。
HCH_012_300_000264	而勛戚諸臣不能恪守先詔，縱家人列肆通衢，邀截商貨，都城內外，所在有之。
HCH_012_300_000265	觀永樂間榜例，王公僕從二十人，一品不過十二人。
HCH_012_300_000266	今勛戚多者以百數，大乖舊制。
HCH_012_300_000267	其間多市井無賴，冒名罔利，利歸群小，怨叢一身，非計之得。
HCH_012_300_000268	邇者長寧伯周彧、壽寧侯張鶴齡兩家，以瑣事忿爭，喧傳都邑，失戚裏之觀瞻，損朝廷之威重。
HCH_012_300_000269	伏望綸音戒諭，俾各修舊好。
HCH_012_300_000270	凡在店肆，悉皆停止。
HCH_012_300_000271	更敕都察院揭榜禁戒，擾商賈、奪民利者，聽巡城巡按御史及所在有司執治。
HCH_012_300_000272	仍考永樂間榜例，裁定勛戚家人，不得濫收。
HCH_012_300_000273	科道亦以為言，帝嘉納之。
HCH_012_300_000274	十八年進太保。
HCH_012_300_000275	彧求為侯，吏部言封爵出自朝廷，無請乞者，乃止。
HCH_012_300_000276	武宗立，悉擢彧子瑭等六人為錦衣官。
HCH_012_300_000277	彧尋卒。
HCH_012_300_000278	傳子瑭，孫大經，及曾孫世臣，降授錦衣衛指揮同知。
HCH_012_300_000279	先是，孝肅有弟吉祥，兒時出遊，去為僧，家人莫知所在，孝肅亦若忘之。
HCH_012_300_000280	一夕，夢伽藍神來，言後弟今在某所，英宗亦同時夢。
HCH_012_300_000281	旦遣小黃門，以夢中言物色，得之報國寺伽藍殿中，召入見。
HCH_012_300_000282	後且喜且泣，欲爵之不可，厚賜遣還。
HCH_012_300_000283	憲宗立，為建大慈仁寺，賜莊田數百頃。
HCH_012_300_000284	其後，周氏衰落，而慈仁寺莊田久猶存。
HCH_012_300_000285	王鎮，字克安，上元人，憲宗純皇后父也。
HCH_012_300_000286	成化初，授金吾左衛指揮使。
HCH_012_300_000287	未幾，後將正位中宮，拜中軍都督同知。
HCH_012_300_000288	四年進右都督。
HCH_012_300_000289	鎮為人厚重清謹，雖榮寵，不改其素，有長者稱。
HCH_012_300_000290	十年六月卒。
HCH_012_300_000291	弘治六年追封阜國公，謚康穆。
HCH_012_300_000292	子三人：源，清，浚。
HCH_012_300_000293	源，字宗本，後弟也。
HCH_012_300_000294	父卒，授錦衣衛都指揮使。
HCH_012_300_000295	外戚例有賜田，源家奴怙勢，多侵靜海縣民業。
HCH_012_300_000296	十六年，給事中王垣等言：「永樂、宣德間，許畿輔八郡民盡力墾荒，永免其稅，所以培國本重王畿也。外戚王源賜田，初止二十七頃，乃令其家奴別立四至，占奪民產至二千二百餘頃。及貧民赴告，御史劉喬徇情曲奏，致源無忌憚，家奴益橫。今戶部郎中張禎叔等再按得實，乞自原額外悉還氏，並治喬罪。」
HCH_012_300_000297	帝不悅，切責之。
HCH_012_300_000298	後詔禁外戚侵民產，源悉歸所占於民，人多其能改過。
HCH_012_300_000299	十八年擢中軍都督同知。
HCH_012_300_000300	二十年封瑞安伯。
HCH_012_300_000301	弘治六年進侯。
HCH_012_300_000302	十六年加太保。
HCH_012_300_000303	武宗登極，進太傅，增祿至七百石。
HCH_012_300_000304	嘉靖三年卒，贈太師，謚榮靖。
HCH_012_300_000305	清，成化十八年授錦衣衛千戶，累官中軍都督同知。
HCH_012_300_000306	弘治十年封崇善伯。
HCH_012_300_000307	武宗嗣位，加太保。
HCH_012_300_000308	嘉靖十三年卒。
HCH_012_300_000309	浚，成化十八年授錦衣衛百戶。
HCH_012_300_000310	兄清每遷職，輒以浚代，歷官中軍左都督。
HCH_012_300_000311	正德二年封安仁伯，逾月卒，贈侯。
HCH_012_300_000312	浚兄弟三人並貴顯，皆謙慎守禮，在戚里中以賢稱。
HCH_012_300_000313	源子橋、浚子桓，皆嗣伯。
