HCH_012_140_000261	又樂平奸民亦詣闕訴大姓五十餘家謀逆，饒州知州郎敏力為奏辨。
HCH_012_140_000262	詔誅奸民，而被誣者得盡釋。
HCH_012_140_000263	青文勝，字質夫，夔州人。
HCH_012_140_000264	仕為龍陽典史。
HCH_012_140_000265	龍陽瀕洞庭，歲罹水患，逋賦數十萬，敲撲死者相踵。
HCH_012_140_000266	文勝慨然詣闕上疏，為民請命。
HCH_012_140_000267	再上，皆不報。
HCH_012_140_000268	嘆曰：「何面目歸見父老！」
HCH_012_140_000269	復具疏，擊登聞鼓以進，遂自經於鼓下。
HCH_012_140_000270	帝聞大驚，憫其為民殺身，詔寬龍陽租二萬四千餘石，定為額。
HCH_012_140_000271	邑人建祠祀之。
HCH_012_140_000272	妻子貧不能歸，養以公田百畝。
HCH_012_140_000273	萬歷十四年，詔有司春秋致祭，名其祠曰「惠烈」。
HCH_012_140_000274	贊曰：太祖起閭右，稔墨吏為民害，嘗以極刑處之。
HCH_012_140_000275	然每旌舉賢能，以示勸勉，不專任法也。
HCH_012_140_000276	嘗遣行人賫敕並鈔三十錠、內酒一尊，賜平陽知縣張礎。
HCH_012_140_000277	又建陽知縣郭伯泰、丞陸鎰，為政不避權勢，遣使勞以酒醴，遷其官。
HCH_012_140_000278	丹徒知縣胡夢通、丞郭伯高，金壇丞李思進，坐事當逮，民詣闕，言多善政。
HCH_012_140_000279	帝並賜內尊，降敕褒勞。
HCH_012_140_000280	永州守余彥誠、齊東令鄭敏等十人坐事下獄，部民列政績以請，皆復官。
HCH_012_140_000281	宜春令沈昌等四人更擢郡守。
HCH_012_140_000282	其自下僚不次擢用者，寧遠尉王尚賢為廣西參政，祥符丞鄒俊為大理卿，靜寧州判元善為僉都御史，芝陽令李行素為刑部侍郎。
HCH_012_140_000283	至如懷寧丞陳希文、宜興簿王復春，先以善政擢，已知其貪肆，旋置重典。
HCH_012_140_000284	所以風厲激勸者甚至，以故其時吏治多可紀述雲。
