HCH_009_017_000208	五月，李全妻楊妙真以全陷沒于宋，構浮梁楚州北，欲複宋讎。
HCH_009_017_000209	遣合達、蒲阿屯桃源界滶河口，以備侵軼。
HCH_009_017_000210	宋八裏莊人拒其主將納合達、蒲阿。
HCH_009_017_000211	詔改八裏莊為鎮淮府。
HCH_009_017_000212	秋七月，宋將焚浮梁。
HCH_009_017_000213	九月丙申，慈聖宮皇太后溫敦氏崩，遣誥園陵制度務從儉約。
HCH_009_017_000214	大元兵駐河中府。
HCH_009_017_000215	慶山奴棄京兆東還。
HCH_009_017_000216	召合達、蒲阿赴汴，議引兵趨河中府，懼不敢行，還陝州，出師至冷水穀而歸。
HCH_009_017_000217	大元兵攻河中府，合達、蒲阿遣元帥王敢率兵萬人救之。
HCH_009_017_000218	冬十月，右丞相賽不致仕。
HCH_009_017_000219	十一月丁未，大元進兵嶢峰關，由金州而東。
HCH_009_017_000220	省院議以逸侍勞，未可與戰。
HCH_009_017_000221	上諭之曰：「南渡二十年，所在之民，破田宅，鬻妻子，竭肝腦以養軍。今兵至不能逆戰，止以自護，京城縱存，何以為國，天下其謂我何？朕思之熟矣，存與亡有天命，惟不負吾民可也。」
HCH_009_017_000222	乃詔諸將屯軍襄、鄧。
HCH_009_017_000223	十二月己未，葬明惠皇后。
HCH_009_017_000224	河中府破，權簽樞密院事草火訛可死之，元帥板子訛可提敗卒三千走閿鄉。
HCH_009_017_000225	詔赦將佐以下，杖訛可二百以死。
HCH_009_017_000226	合達、蒲阿率諸軍入鄧州，楊沃衍、陳和尚、武仙皆引兵來會。
HCH_009_017_000227	出屯順陽。
HCH_009_017_000228	戊辰，大元兵渡漢江而北，丙子，畢渡。
HCH_009_017_000229	合達、蒲阿將兵禦于禹山之前。
HCH_009_017_000230	大元兵分道趨汴京，京城戒嚴。
HCH_009_017_000231	是夜二鼓，合達、蒲阿引軍還鄧州。
HCH_009_017_000232	大元兵躡其後，盡獲其輜重。
HCH_009_017_000233	天興元年，是年本正大九年，正月改元開興，四月又改元天興。
HCH_009_017_000234	春正月壬午朔，日有兩珥。
HCH_009_017_000235	大元兵道唐州，元帥完顏兩婁室與戰襄城之汝墳，敗績。
HCH_009_017_000236	兩婁室走汴京。
HCH_009_017_000237	遣完顏麻斤出等部民丁萬人，決河水衛京城。
HCH_009_017_000238	癸未，置尚書省、樞密院于宮中，以便召問。
HCH_009_017_000239	起前元帥古裏甲石倫權昌武軍節度使，行元帥府事。
HCH_009_017_000240	合達、蒲阿引軍自鄧州赴汴京。
HCH_009_017_000241	乙酉，以點檢夾穀撒合為總帥，將步騎三萬巡河渡，權近侍局使徒單長樂監其軍。
HCH_009_017_000242	起近京諸色軍家屬五十萬口入京。
HCH_009_017_000243	丙戌，大元兵既定河中，由河清縣白坡渡河。
HCH_009_017_000244	丁亥，長樂、撒合引兵至封丘而還。
HCH_009_017_000245	戊子，左司郎中斜卯愛實上書請斬長樂、撒合以肅軍政，不從。
HCH_009_017_000246	都尉烏林答胡土一軍自潼關入援，至偃師，聞大元兵渡河，遂走登封少室山。
HCH_009_017_000247	壬辰，衛州節度使完顏斜撚阿不棄城走汴。
HCH_009_017_000248	甲午，修京城樓櫓及守禦備。
HCH_009_017_000249	大元兵薄鄭州，與白坡兵合，屯軍元帥馬伯堅以城降，防禦使烏林答咬住死之。
HCH_009_017_000250	乙未，大元遊騎至汴城。
HCH_009_017_000251	丁酉，大雪。
HCH_009_017_000252	大元兵及兩省軍戰鈞州之三峰山，兩省軍大潰，合達、陳和尚、楊沃衍走鈞州，城破皆死之。
HCH_009_017_000253	樞密副使蒲阿就執，尋亦死。
HCH_009_017_000254	武仙走密縣。
HCH_009_017_000255	自是，兵不復振，己亥，徐州行省完顏慶山奴引兵入援，義勝軍校侯進、杜正、張興率所部北降，慶山奴入睢州。
HCH_009_017_000256	庚子，禦端門肆赦，改元開興。
HCH_009_017_000257	辛丑，潼關守將李平以關降大元。
HCH_009_017_000258	壬寅，扶溝民錢大亨、李鈞叛，殺縣令王浩及其簿尉。
HCH_009_017_000259	庚戌，許州軍變，殺元帥古裏甲石倫、粘合仝周、蘇椿等，以城降大元。
HCH_009_017_000260	二月壬子朔，慶山奴謀走歸德，至陽驛店遇大元兵，徐帥完顏兀裏力戰而死，慶山奴被擒，使招京城，不從。
HCH_009_017_000261	睢州刺史張文壽棄城從慶山奴，皆死之。
HCH_009_017_000262	甲寅，大元兵徇臨渙，攝縣令張若愚死之。
HCH_009_017_000263	戊午，次盧氏。
HCH_009_017_000264	關、陝行省總帥兩軍及秦、藍帥府軍棄潼關而東，與之遇，天又大雪，未戰而潰。
HCH_009_017_000265	行省徒單兀典、總帥納合合閏敗死，完顏重喜降，斬于馬前。
HCH_009_017_000266	都尉鄭倜殺都尉苗英亦降。
HCH_009_017_000267	秦、藍總帥府經歷商衡死之。
HCH_009_017_000268	大元兵下睢州。
HCH_009_017_000269	庚申，翰林待制馮延登北來歸。
HCH_009_017_000270	乙丑，大元兵攻歸德。
HCH_009_017_000271	庚午，起複右丞相致仕賽不為左丞相。
HCH_009_017_000272	括京師民軍二十萬分隸諸帥，人月給粟一石有五鬥。
HCH_009_017_000273	三月丁亥，大元軍平中京，留守撒合輦投水死。
HCH_009_017_000274	甲午，命平章政事白撒宿上清宮，樞密副使合喜宿大佛寺，以備緩急。
HCH_009_017_000275	大元遣使自鄭州來諭降，使者立出國書以授譯史，譯史以授宰相，宰相跪進，上起立受之，以付有司。
HCH_009_017_000276	書索翰林學士趙秉文、衍聖公孔元措等二十七家，及歸順人家屬，蒲阿妻子，繡女、弓匠、鷹人又數十人。
HCH_009_017_000277	庚子，封荊王子訛可為曹王，議以為質。
HCH_009_017_000278	密國公璹以曹王幼，請代行，上慰遣之，不聽其代。
HCH_009_017_000279	壬寅，尚書左丞李蹊送曹王出質，諫議大夫裴滿阿虎帶、太府監國世榮為請和使。
HCH_009_017_000280	戶部侍郎楊慥權參知政事。
HCH_009_017_000281	分軍防守四城。
HCH_009_017_000282	大元兵攻汴城，上出承天門撫西面將士。
