HCH_013_063_000167	李寧手殪二人，敵遂卻，追奔至賀蘭山，盡走出塞。
HCH_013_063_000168	官兵捕斬百二十餘級，獲駝馬無算。
HCH_013_063_000169	乃移級示賊，賊為之奪氣。
HCH_013_063_000170	九月三日，參將楊文提浙兵至，已，苗兵、莊浪兵俱至，大治臨衝船筏，刻日攻城。
HCH_013_063_000171	總督葉夢熊布告軍中，有能先登以城下者，予萬金。
HCH_013_063_000172	後五日，水浸北關，城崩。
HCH_013_063_000173	南關薛永壽等約內應，我師陽調舟筏擊北關，承恩、許朝果趨北關鏖戰。
HCH_013_063_000174	李如松、蕭如薰潛以銳卒掩南關，總兵牛秉忠年七十，賈勇先登。
HCH_013_063_000175	梅國楨呼諸將曰：「老將軍登城矣，餘何怯也！」
HCH_013_063_000176	遂畢登。
HCH_013_063_000177	夢熊入城，勞苦百姓。
HCH_013_063_000178	承恩等見南關下，則盡氣奪，乃急縋張傑下城，懇貸死。
HCH_013_063_000179	夢熊陽許諾，益治攻具，先遣王機密以蠟書行間。
HCH_013_063_000180	時承恩雖求撫，墐門斷塹，守益固。
HCH_013_063_000181	有賣油李登者，跛而眇，負罌木歌於市曰：「癰之不決，而狃於痏；危巢不覆，而令梟止。」
HCH_013_063_000182	監軍梅國楨聞之曰：「是可使也。」
HCH_013_063_000183	召登授三劄，縛木渡東門，見承恩曰：「監軍以哱氏有安塞功，今與鼠輩駢首并誅，深用惜之。軍中非乏所使，以登殘民不駭視。有密記授將軍，將軍幸有意聽登，則殺劉、許自贖；即不聽，願死麾下，毋留登。」
HCH_013_063_000184	承恩猶豫許之。
HCH_013_063_000185	登趨而出，間道詣東暘、朝，亦各致劄曰：「將軍故漢臣，而首亂在哱氏，何橫身與人嬰禍？鎮卒幾何，能當都督軍？此無異驅乳雀而鬬羣鶻。所恃不過套援，將軍不記演武臺上，彼親土、哱，目中豈有將軍哉！所為貴智者，以能度時審勢，轉禍為福也。」
HCH_013_063_000186	東暘、朝亦心動。
HCH_013_063_000187	自是互相猜疑。
HCH_013_063_000188	十六日，圍愈迫，東暘頓足歎曰：「遂至此耶！」
HCH_013_063_000189	佯為風疾，殺土文秀，曰：「好頭頸，毋令他人砍之。」
HCH_013_063_000190	先是，鎮民郭坤有妾美，坤死，賊黨周國柱以繭帨一雙聘焉。
HCH_013_063_000191	許朝亦往議，妾曰：「受周家聘矣。」
HCH_013_063_000192	朝以問，柱曰：「誠有之。」
HCH_013_063_000193	朝怒其不相讓，銜之。
HCH_013_063_000194	會承恩聞李登之說，方惶惑，召所親石棟問計。
HCH_013_063_000195	棟曰：「周國柱見事審而決，雖東暘臣，然與朝有隙，盍呼之。」
HCH_013_063_000196	國柱至，承恩與謀，欲召東暘、朝飲，醉誅之。
HCH_013_063_000197	國柱曰：「兩家前後皆戈鉞之士，以一制二，恐非萬全。將軍當計誅朝城南，柱乘間取東暘也。」
HCH_013_063_000198	承恩然之。
HCH_013_063_000199	遲明，承恩過呼朝，時朝正坐考訊，承恩急呼曰：「將軍何暇問此？有密事登樓議之。」
HCH_013_063_000200	麾眾下曰：「將軍知周國柱有異心乎？吾將與將軍斷其首。」
HCH_013_063_000201	語未竟，承恩家卒世富、大宜遽曰：「外營礮向樓，無宜久駐此。」
HCH_013_063_000202	承恩疾下，朝跛後從，大宣掖之。
HCH_013_063_000203	梯半，世富抽佩劍砍之，首隕梯下，因縛其從騎，盡斬之。
HCH_013_063_000204	國柱見塵遝起，有兵劍聲，知事濟，乃披鎧登樓，佯謂東暘曰：「官軍已入南城矣。」
HCH_013_063_000205	東暘驚起憑軒望，國柱自後斬之，不死，走入廁房支戶。
HCH_013_063_000206	國柱引足破戶，梟其首出。
HCH_013_063_000207	眾譁曰：「國柱奈何殺將軍？」
HCH_013_063_000208	柱叱曰：「若不避死走，官軍盡斬汝。誅一逆賊，何譁也！」
HCH_013_063_000209	眾盡散。
HCH_013_063_000210	承恩既殺東暘、朝及文秀，懸首城上，於是李如松、楊文先登，蕭如薰、麻貴、劉承嗣繼之，大城悉定。
HCH_013_063_000211	北樓火起，李如樟馳往，搜獲寧夏巡撫關防，并征西將軍印各一。
HCH_013_063_000212	時哱氏尚擁蒼頭軍，總督葉夢熊在靈州聞之，亟令詰旦不滅哱氏者，服尚方。
HCH_013_063_000213	十七日晨，承恩方馳南門，謁監軍，梅國楨出，參將楊文執之。
HCH_013_063_000214	李如松急提兵圍哱拜家。
HCH_013_063_000215	拜方與牛秉忠飯，聞承恩擒，秉忠趨出，眾欲拒敵。
HCH_013_063_000216	如松給箭令卸甲，拜倉皇縊，闔室自焚。
HCH_013_063_000217	李如樟部卒何世恩從火中斬拜首，生得拜中子承寵、養子哱洪大、土文德、何應時、陳雷、白鸞、陳繼武等。
HCH_013_063_000218	總督葉夢熊、巡撫朱正色、御史梅國楨隨入城，問慰宗室士庶，寧夏平。
HCH_013_063_000219	捷奏，上御門受賀，已箯輿致承恩獻俘。
HCH_013_063_000220	十一月，詔磔哱承恩、哱承寵、哱洪大、土文德等，俱駢斬長安市，頒示天下及四裔君長。
HCH_013_063_000221	下詔慰慶王，復寧夏田租。
HCH_013_063_000222	王妃方氏不屈死，特賜襃異。
HCH_013_063_000223	大賞寧夏功臣，葉夢熊、朱正色、梅國楨各蔭世官。
HCH_013_063_000224	武臣李如松功第一，加宮保，蕭如薰次之，麻貴、劉承嗣、李如樟、楊文、牛秉忠等加恩有差。
HCH_013_063_000225	如薰妻楊氏，守平虜有功，制敕旌賞。
HCH_013_063_000226	贈死事龔子敬都督僉事。
HCH_013_063_000227	給事中曹大咸劾穆來輔、隨府依違，緹綺逮治，遣戍邊。
HCH_013_063_000228	魏學曾以原官致仕。
