HCH_012_072_000175	從二品，初授中奉大夫，升授通奉大夫，加授正奉大夫。
HCH_012_072_000176	正三品，初授嘉議大夫，升授通議大夫，加授正議大夫。
HCH_012_072_000177	從三品，初授亞中大夫，升授中大夫，加授大中大夫。
HCH_012_072_000178	正四品，初授中順大夫，升授中憲大夫，加授中議大夫。
HCH_012_072_000179	從四品，初授朝列大夫，升授朝議大夫，加授朝請大夫。
HCH_012_072_000180	正五品，初授奉議大夫，升授奉政大夫。
HCH_012_072_000181	從五品，初授奉訓大夫，升授奉直大夫。
HCH_012_072_000182	正六品，初授承直郎，升授承德郎。
HCH_012_072_000183	從六品，初授承務郎，升授儒林郎，吏材幹出身授宣德郎。
HCH_012_072_000184	正七品，初授承事郎，升授文林郎，吏材幹授宣議郎。
HCH_012_072_000185	從七品，初授從仕郎，升授徵仕郎。
HCH_012_072_000186	正八品，初授迪功郎，升授修職郎。
HCH_012_072_000187	從八品，初授迪功佐郎，升授修職佐郎。
HCH_012_072_000188	正九品，初授將仕郎，升授登仕郎。
HCH_012_072_000189	從九品，初授將仕佐郎，升授登仕佐郎。
HCH_012_072_000190	外命婦之號九。
HCH_012_072_000191	公曰某國夫人。
HCH_012_072_000192	侯曰某侯夫人。
HCH_012_072_000193	伯曰某伯夫人。
HCH_012_072_000194	一品曰夫人，後稱一品夫人。
HCH_012_072_000195	二品曰夫人。
HCH_012_072_000196	三品曰淑人。
HCH_012_072_000197	四品曰恭人。
HCH_012_072_000198	五品曰宜人。
HCH_012_072_000199	六品曰安人。
HCH_012_072_000200	七品曰孺人。
HCH_012_072_000201	因其子孫封者，加太字，夫在則否。
HCH_012_072_000202	凡封贈之次，七品至六品一次，五品一次，初制有四品一次，後省。
HCH_012_072_000203	三品、二品、一品各一次。
HCH_012_072_000204	三母不並封，兩封從優品。
HCH_012_072_000205	父職高於子，則進一階。
HCH_012_072_000206	父應停給及子為人後者，皆得移封。
HCH_012_072_000207	嫡在不封生母，生母未封不先封其妻。
HCH_012_072_000208	妻之封，止於一嫡一繼。
HCH_012_072_000209	其封贈後而以墨敗者，則追奪。
HCH_012_072_000210	稽勳，掌勳級、名籍、喪養之事，以贊尚書。
HCH_012_072_000211	凡文勳十。
HCH_012_072_000212	正一品，左、右柱國。
HCH_012_072_000213	從一品，柱國。
HCH_012_072_000214	正二品，正治上卿。
HCH_012_072_000215	從二品，正治卿。
HCH_012_072_000216	正三品，資治尹。
HCH_012_072_000217	從三品，資治少尹。
HCH_012_072_000218	正四品，贊治尹。
HCH_012_072_000219	從四品，贊治少尹。
HCH_012_072_000220	正五品，修正庶尹。
