HCH_012_029_000376	五月至六月，鳳陽、徽州久雨傷稼。
HCH_012_029_000377	九月，寧都大雨壞城郭廬舍，溺死甚衆。
HCH_012_029_000378	景泰三年，永平、兗州久雨傷禾。
HCH_012_029_000379	大嵩等二十衛所久雨壞城。
HCH_012_029_000380	四年，南畿、河南、山東府十州一，自五月至於八月霪雨傷稼。
HCH_012_029_000381	五年，杭、嘉、湖大雨傷苗，六旬不止。
HCH_012_029_000382	七月，京師久雨，九門城垣多壞。
HCH_012_029_000383	六年，北畿府五、河南府二久雨傷稼，雲南大理諸府如之。
HCH_012_029_000384	七年，兩畿、江西、河南、浙江、山東、山西、湖廣共府三十，恆雨淹田。
HCH_012_029_000385	天順元年，濟、兗、青三府大雨閱月，禾盡沒。
HCH_012_029_000386	四年，安慶、南陽雨，自五月至七月，淹禾苗。
HCH_012_029_000387	七年五月，淮、鳳、揚、徐大雨，腐二麥。
HCH_012_029_000388	武昌、漢陽、荊州廬舍漂沒，民皆依山露宿。
HCH_012_029_000389	成化元年六月，畿東大雨，水壞山海關、永平、薊州、遵化城堡。
HCH_012_029_000390	八月，通州大雨，壞城及運倉。
HCH_012_029_000391	二年，定州積雨，壞城垣及墩臺垛口百七十三。
HCH_012_029_000392	八年七月，南京大風雨，壞天、地壇、孝陵廟宇。
HCH_012_029_000393	鳳陽大雨，壞皇陵牆垣。
