HCH_012_007_000206	是月，皇太子免南、北直隸、山東、河南郡縣水災糧芻共六十一萬有奇。
HCH_012_007_000207	八月戊戌，諸將分道者俱獻捷。
HCH_012_007_000208	辛丑，以班師詔天下。
HCH_012_007_000209	壬寅，鄭亨、薛祿守開平。
HCH_012_007_000210	鄭和還。
HCH_012_007_000211	九月壬戌，至京師。
HCH_012_007_000212	癸亥，下左春坊大學士楊士奇於獄。
HCH_012_007_000213	丙寅，下吏部尚書蹇義、禮部尚書呂震於獄，尋俱釋之。
HCH_012_007_000214	辛未，錄從征功，封左都督朱榮武進伯，都督僉事薛貴安順伯。
HCH_012_007_000215	冬十月癸巳，分遣中官及朝臣八十人覈天下倉糧出納之數。
HCH_012_007_000216	十二月辛卯，朱榮鎮遼東。
HCH_012_007_000217	閏月戊寅，乾清宮災。
HCH_012_007_000218	是年，暹羅、蘇門答剌、阿丹等國遺使隨貢方物。
HCH_012_007_000219	占城、琉球中山、卜花兒、哈密、瓦剌、土魯番、爪哇入貢。
HCH_012_007_000220	二十一年春正月乙未，大祀天地於南郊。
HCH_012_007_000221	癸卯，交阯參將榮昌伯陳智追敗黎利於車來。
HCH_012_007_000222	二月己巳，都指揮使鹿榮討柳州叛蠻，平之。
HCH_012_007_000223	三月庚子，御史王愈等會決重囚，誤殺無罪四人，坐棄市。
HCH_012_007_000224	夏五月癸未，免開封、南陽、衞輝、鳳陽等府去年水災田租。
HCH_012_007_000225	己丑，常山護衞指揮孟賢等謀逆，伏誅。
HCH_012_007_000226	六月庚戌朔，日有食之。
HCH_012_007_000227	秋七月戊戌，復親征阿魯台，安遠侯柳升、遂安伯陳英領中軍，武安侯鄭亨、保定侯孟瑛領左哨，陽武侯薛祿、新寧伯譚忠領右哨，英國公張輔、安平伯李安領左掖，成山侯王通、興安伯徐亨領右掖，寧陽侯陳懋領前鋒。
HCH_012_007_000228	庚子，釋李時勉，復其官。
HCH_012_007_000229	辛丑，皇太子監國。
HCH_012_007_000230	壬寅，發京師。
HCH_012_007_000231	戊申，次宣府，敕居庸關守將止諸司進奉。
HCH_012_007_000232	八月己酉，大閱。
HCH_012_007_000233	庚申，塞黑峪、長安嶺諸邊險要。
HCH_012_007_000234	丁丑，皇太子免兩京、山東郡縣水災田租。
HCH_012_007_000235	九月戊子，次西陽河。
HCH_012_007_000236	癸巳，聞阿魯台為瓦剌所敗，部落潰散，遂駐師不進。
HCH_012_007_000237	冬十月甲寅，次上莊堡，迤北王子也先土干帥所部來降，封忠勇王，賜姓名金忠。
HCH_012_007_000238	庚午，班師。
HCH_012_007_000239	十一月甲申，至京師。
HCH_012_007_000240	是年，錫蘭山王來朝，又遣使入貢。
HCH_012_007_000241	占城、古里、忽魯謨斯、阿丹、祖法兒、剌撒、不剌哇、木骨都束、柯枝、加異勒、溜山、南渤利、蘇門答剌、阿魯、滿剌加、失剌思、榜葛剌、琉球中山入貢。
HCH_012_007_000242	二十二年春正月甲申，阿魯台犯大同、開平，詔羣臣議北征，敕邊將整兵俟命。
