HCH_012_147_000362	明年北征，命以祭酒兼侍講，掌翰林院事，輔皇太孫留守北京。
HCH_012_147_000363	十九年，改北京國子監祭酒。
HCH_012_147_000364	當是時，海內混一，垂五十年。
HCH_012_147_000365	帝方內興禮樂，外懷要荒，公卿大夫彬彬多文學之士。
HCH_012_147_000366	儼館閣宿儒，朝廷大著作多出其手，重修《太祖實錄》、《永樂大典》、《天下圖志》皆充總裁官。
HCH_012_147_000367	居國學二十餘年，以身率教，動有師法。
HCH_012_147_000368	洪熙改元，以疾乞休，仁宗賜敕獎勞，進太子賓客，仍兼祭酒。
HCH_012_147_000369	致仕，復其子孫。
HCH_012_147_000370	宣宗即位，以禮部侍郎召，辭歸。
HCH_012_147_000371	家居二十年，方岳重臣咸待以師禮。
HCH_012_147_000372	儼與言，未嘗及私。
HCH_012_147_000373	自處淡泊，歲時衣食才給。
HCH_012_147_000374	初為湖廣考官，得楊溥文，大異之，題其上曰：「必能為董子之正言，而不為公孫之阿曲。」
HCH_012_147_000375	世以為知人。
HCH_012_147_000376	正統八年八月卒，年八十三。
HCH_012_147_000377	贊曰：明初罷丞相，分事權於六部。
HCH_012_147_000378	成祖始命儒臣直文淵閣，預機務。
HCH_012_147_000379	沿及仁、宣，而閣權日重，實行丞相事。
