HCH_009_079_000193	海陵將伐宋，驛召赴闕，授西蜀道行營副都統制，賜細鎧，使先取散關俟後命。
HCH_009_079_000194	世宗即位，赦書至鳳翔，諸將惶惑不能決去就，中彥曉譬之，諸將感悟，受詔。
HCH_009_079_000195	上召中彥入朝，以軍付統軍合喜。
HCH_009_079_000196	及見，上賜以所禦通犀帶，封宗國公。
HCH_009_079_000197	尋為吏部尚書。
HCH_009_079_000198	上疏曰：「古者關市譏而不征，今使掌關市者征而不譏。苛留行旅，至披剔囊笥甚於剽掠，有傷國體，乞禁止。」
HCH_009_079_000199	從之。
HCH_009_079_000200	逾年，除南京留守。
HCH_009_079_000201	時淮楚用兵，土民與戍兵雜居，訟牒紛紜，所司皆依違不決。
HCH_009_079_000202	中彥得戍兵為盜者，悉論如法，帥府怒其專決，劾奏之，朝廷置而不問。
HCH_009_079_000203	秩滿，轉真定尹兼河北西路兵馬都總管。
HCH_009_079_000204	未幾，致仕，西歸京兆。
HCH_009_079_000205	明年，起為臨洮尹兼熙秦路兵馬都總管。
HCH_009_079_000206	鞏州劉海構亂，既敗，籍民之從亂者數千人，中彥惟論為首者戮之。
HCH_009_079_000207	西羌吹折、密臧、隴逋、龐拜四族恃險不服，使侍御史沙醇之就中彥論方略，中彥曰：「此羌服叛不常，若非中彥自行，勢必不可。」
HCH_009_079_000208	即至積石達南寺，酋長四人來，與之約降，事遂定，賞而遣之。
HCH_009_079_000209	還奏，上大悅，遣張汝玉馳驛勞之，賜以球文金帶，用郊恩加儀同三司。
HCH_009_079_000210	以疾卒官，年七十五。
HCH_009_079_000211	百姓哀號輟市，立像祀之。
HCH_009_079_000212	贊曰：自古健將武夫，其不才者，遭世變遷，賣降恐後。
HCH_009_079_000213	此其常態，君子之所不責也，酈瓊、徐文是已。
HCH_009_079_000214	施宜生反覆壬人，李成盜賊之靡，孔彥舟漁色親出，自絕人類，又何責也。
HCH_009_079_000215	張中孚、中彥雖有小惠足稱，然以宋大臣之子，父戰沒于金，若金若齊，義皆不共戴天之仇。
HCH_009_079_000216	金以地與齊則甘心臣齊，以地歸宋則忍恥臣宋，金取其地則又比肩臣金，若趨市然，唯利所在，于斯時也，豈複知所謂綱常也哉。
HCH_009_079_000217	籲！
HCH_009_079_000218	宇文虛中，字叔通，蜀人。
HCH_009_079_000219	初仕宋，累官資政殿大學士。
HCH_009_079_000220	天會四年，宋少帝已結盟，宗望班師至孟陽，宋姚平仲乘夜來襲，明日複進兵圍汴。
HCH_009_079_000221	少帝使虛中詣宗望軍，告以襲兵皆將帥自為之，複請和議如初，且視康王安否。
HCH_009_079_000222	頃之，台諫以和議歸罪虛中，罷為青州，複下遷祠職。
HCH_009_079_000223	建炎元年，貶韶州。
HCH_009_079_000224	二年，康王求可為奉使者，虛中自貶中應詔，複資政殿大學士，為祈請使。
HCH_009_079_000225	是時，興兵伐宋，已留王倫、硃弁不遣，虛中亦被留，實天會六年也。
