HCH_012_265_000208	四月，擢右僉都御史，代畢自嚴巡撫天津。
HCH_012_265_000209	軍府新立，庶務草創，邦華至，極力振飭，津門軍遂為諸鎮冠。
HCH_012_265_000210	進兵部右侍郎，復還家省父。
HCH_012_265_000211	四年夏抵京，奄黨大嘩，謂樞輔孫承宗以萬壽節入覲，將清君側之惡，邦華實召之。
HCH_012_265_000212	乃立勒承宗還鎮，邦華引疾去。
HCH_012_265_000213	明年秋，奄黨劾削其官。
HCH_012_265_000214	崇禎元年四月，起工部右侍郎，總督河道。
HCH_012_265_000215	尋改兵部，協理戎政。
HCH_012_265_000216	還朝，召見，旋知武會試，事竣入營。
HCH_012_265_000217	故事，冬至郊，列隊扈蹕，用軍八萬五千人。
HCH_012_265_000218	至是，增至十萬有奇。
HCH_012_265_000219	時方郊，總督勛臣缺，邦華兼攝其事。
HCH_012_265_000220	所設雲輦、龍旌、寶纛、金鼓、旗幟、甲胄、劍戟，煥然一新，帝悅。
HCH_012_265_000221	明年春，幸學，亦如之。
HCH_012_265_000222	命加兵部尚書。
HCH_012_265_000223	時戎政大壞，邦華先陳更操法、慎揀選、改戰車、精火藥、專器械、責典守、節金錢、酌兌馬、練大炮九事。
HCH_012_265_000224	京營故有占役、虛冒之弊。
HCH_012_265_000225	占役者，其人為諸將所役，一小營至四五百人，且有賣閑、包操諸弊。
HCH_012_265_000226	虛冒者，無其人，諸將及勛戚、奄寺、豪強以蒼頭冒選鋒壯丁，月支厚餉。
HCH_012_265_000227	邦華核還占役萬，清虛冒千。
HCH_012_265_000228	三大營軍十餘萬，半老弱。
HCH_012_265_000229	故事，軍缺聽告補，率由賄得。
HCH_012_265_000230	邦華必親校，非年壯力強者不錄，自是軍鮮冒濫。
HCH_012_265_000231	三營選鋒萬，壯丁七千，餉倍他軍，而疲弱不異。
HCH_012_265_000232	邦華下令，每把總兵五百，月自簡五人，年必二十五以下，力必二百五十斤以上，技必兼弓矢火炮，月一解送，補選鋒壯丁之缺，自是人人思奮。
HCH_012_265_000233	三大營領六副將，又分三十六營，官以三百六十七人計，所用掾史皆積猾。
HCH_012_265_000234	邦華按罪十餘人，又行一歲二考察之令，自是諸奸為戢。
HCH_012_265_000235	營馬額二萬六千，至是止萬五千。
HCH_012_265_000236	他官公事得借騎，總督、協理及巡視科道，例有坐班馬，不肖且折橐入錢，營馬大耗。
HCH_012_265_000237	邦華首減己班馬三之一，他官借馬，非公事不得騎，自是濫借為希。
HCH_012_265_000238	京營歲領太僕銀萬六千兩，屯田籽粒銀千六十兩，犒軍制器胥徒工食取給焉。
HCH_012_265_000239	各官取之無度，歲用不敷。
HCH_012_265_000240	邦華建議，先協理歲取千四百，總督巡視遞節減，自是營帑遂裕。
HCH_012_265_000241	營將三百六十，聽用者稱是。
HCH_012_265_000242	一官缺，請托紛至。
HCH_012_265_000243	邦華悉杜絕，行計日省成法。
HCH_012_265_000244	每小營各置簿，月上事狀於協理，以定殿最。
HCH_012_265_000245	舊制，三大營外復設三備兵營，營三千人，餉視正軍，而不習技擊，益為豪家隱冒。
HCH_012_265_000246	邦華核去四千餘人，又汰老弱千，疏請歸並三大營不另設，由是戎政大厘。
HCH_012_265_000247	倉場總督南居益言：「京營歲支米百六十六萬四千餘石，視萬歷四十六年增五萬七千餘石，宜減省。」
HCH_012_265_000248	邦華因上議軍以十二萬為額，餉以百四十四萬石為額，歲省二十二萬有奇。
HCH_012_265_000249	帝亦報可，著為令。
HCH_012_265_000250	帝知邦華忠，奏無不從，邦華亦感帝知，不顧後患。
HCH_012_265_000251	諸失利者銜次骨，而怨謗紛然矣。
HCH_012_265_000252	其年十月，畿輔被兵，簡精卒三千守通州，二千援薊州，自督諸軍營城外，軍容甚壯。
HCH_012_265_000253	俄有命邦華軍撤還守陴，於是偵者不敢遠出，聲息遂斷，則請防寇賊，緝間諜，散奸宄，禁訛言。
HCH_012_265_000254	邦華自聞警，衣不解帶，捐貲造炮車及諸火器，又以外城單薄，自請出守。
HCH_012_265_000255	而諸不逞之徒，乃構蜚語入大內。
HCH_012_265_000256	襄城伯李守锜督京營，亦銜邦華扼己，乘間詆諆。
HCH_012_265_000257	邦華自危，上疏陳情，歸命於帝。
