HCH_012_217_000348	已而姜士昌、宋燾復以論廷機被黜，群情益憤。
HCH_012_217_000349	廷機力辨求罷，又疏陳十宜去，帝慰諭有加。
HCH_012_217_000350	明年四月，主事鄭振先論賡十二罪，並及廷機。
HCH_012_217_000351	廷機累疏乞休，杜門數月不出。
HCH_012_217_000352	言者疑其偽，數十人交章力攻。
HCH_012_217_000353	廷機求去不已，帝屢詔勉留，且遣鴻臚趣出，堅臥不起。
HCH_012_217_000354	待命逾年，乃屏居荒廟，廷臣猶有繁言。
HCH_012_217_000355	至四十年九月，疏已百二十餘上，乃陛辭出都待命。
HCH_012_217_000356	同官葉向高言廷機已行，不可再挽，乃加太子太保。
HCH_012_217_000357	賜道里費，乘傳，以行人護歸。
HCH_012_217_000358	居四年卒。
