HCH_009_099_000230	即康與左丞僕散端、參政獨吉思忠以為必當用兵，上以為然。
HCH_009_099_000231	上問即康、參知政事賈鉉曰：「太宗廟諱同音字，有讀作'成'字者，既非同音，便不當缺點畫。睿宗廟諱改作'崇'字，其下卻有本字全體，不若將'示'字依《蘭亭貼》寫作'未'字。顯宗廟諱'允'，'充'字合缺點畫，如'統'傍之'充'，似不合缺。」
HCH_009_099_000232	即康奏曰：「唐太宗諱世民，偏傍犯如'{艸枼}'字作'筼'字，'泯'字作'泜'字。」
HCH_009_099_000233	乃擬「熙宗廟諱從'面'從'且'。睿宗廟諱上字從'未'，下字從'簹'。世宗廟諱從'系'。顯宗廟諱如正犯字形，止書斜畫，'沇'字'鈗'字各從'口'，'兌悅'之類各從本傳。」
HCH_009_099_000234	從之，自此不勝曲避矣。
HCH_009_099_000235	進左丞。
HCH_009_099_000236	宋人請和，進官一階。
HCH_009_099_000237	舊制，尚書省令史考滿優調，次任回降。
HCH_009_099_000238	崔建昌已優調興平軍節度副使，未回降即除大理司直。
HCH_009_099_000239	詔知除郭邦傑、李蹊杖七十勒停，左司員外郎高庭玉決四十解職，即康待罪，有詔勿問。
HCH_009_099_000240	章宗崩，衛紹王即位，即康進拜平章政事，封崇國公。
HCH_009_099_000241	大安三年，致仕。
HCH_009_099_000242	是歲，薨。
HCH_009_099_000243	遣使致祭。
HCH_009_099_000244	李革，字君美，河津人。
HCH_009_099_000245	父余慶，三至廷試，不遂，因棄去。
HCH_009_099_000246	革穎悟，讀書一再誦，輒記不忘。
HCH_009_099_000247	大定二十五年進士。
HCH_009_099_000248	調真定主簿。
HCH_009_099_000249	察廉，遷韓城令。
HCH_009_099_000250	同知州事納富商賂，以歲課軍須配屬縣，革獨不聽，提刑司以為能。
HCH_009_099_000251	遷河北東路轉運都勾判官、太原推官。
HCH_009_099_000252	丁母憂，起複，遷大興縣令、中都左警巡使、南京提刑判官、監察御史、同知昭義軍節度事。
HCH_009_099_000253	丁父憂，起複，簽南京按察事。
HCH_009_099_000254	泰和六年，伐宋，尚書省奏：「軍興，隨路官，差占者別注，闕者選補，老不任職者替罷，及司、縣各存留強幹正官一員。」
HCH_009_099_000255	革與簽陝西高霖、簽山東孟子元俱被詔，體訪三路官員能否，籍存留正官，行省、行部、元帥府差占員數及事故闕員，老不任職，赴闕奏事。
HCH_009_099_000256	改刑部員外郎，調觀州刺史兼提舉漕運，陝西西路按察副使，大興府治中。
HCH_009_099_000257	知府徒單南平貴幸用事，勢傾中外，遣所親以進取誘革，革拒之。
HCH_009_099_000258	貞祐二年，遷戶部侍郎。
HCH_009_099_000259	宣宗遷汴，行河北西路六部事，遷知開封府事，河南勸農使，戶部、吏部尚書，陝西行省參議官。
HCH_009_099_000260	四年，拜參知政事。
HCH_009_099_000261	革奏：「有司各以情見引用斷例，牽合附會，實啟幸門。乞凡斷例敕條特旨奏斷不為永格者，不許引用，皆以律為正。」
HCH_009_099_000262	詔從之。
HCH_009_099_000263	是歲，大元兵破潼關，革自以執政失備禦之策，上表請罪。
HCH_009_099_000264	不許，罷為絳陽軍節度使。
HCH_009_099_000265	興定元年，胥鼎自平陽移鎮陝西，革以知平陽府事，權參知政事，代鼎為河東行省。
HCH_009_099_000266	是時興兵伐宋，革上書曰：「今之計當休兵息民，養銳待敵。宋雖造釁，止可自備。若不忍小忿以勤遠略，恐或乘之，不能支也。」
HCH_009_099_000267	不納。
HCH_009_099_000268	太原兵後闕食，革移粟七萬石以濟之。
HCH_009_099_000269	二年，宣差粘割梭失至河東，於是晚禾未熟，牒行省耕毀清野。
HCH_009_099_000270	革奏：「今歲雨澤及時，秋成可待。如令耕毀，民將不堪。」
HCH_009_099_000271	詔從革奏。
HCH_009_099_000272	十月，平陽被圍，城中兵不滿六千，屢出戰，旬日間傷者過半。
HCH_009_099_000273	徵兵吉、隰、霍三州，不時至。
HCH_009_099_000274	裨將李懷德縋城出降，兵自城東南入。
HCH_009_099_000275	左右請革上馬突圍出，革歎曰：「吾不能保此城，何面目見天子！汝輩可去矣。」
HCH_009_099_000276	乃自殺。
HCH_009_099_000277	贈尚書右丞。
HCH_009_099_000278	贊曰：《傳》曰：「君子之言，其利博哉！」
HCH_009_099_000279	徒單鎰拱挹一語而宣宗立，厥功懋矣。
HCH_009_099_000280	賈鉉、孫鐸皆舊臣，鉉久致仕，鐸忤旨衛王，皆不復見用。
HCH_009_099_000281	徒單鎰亦外官，惟孫即康詭隨，乃驟至宰相。
HCH_009_099_000282	古所謂斗筲之人，即康之謂矣。
HCH_009_099_000283	鐸論李新喜，其言似漢耿育，有旨哉。
HCH_009_099_000284	貞祐執政李革，可謂君子，其進退之際，有古人為相之風焉。
