HCH_012_017_000352	壬子，如大峪山相視山陵。
HCH_012_017_000353	甲寅，還宮。
HCH_012_017_000354	乙卯，李時卒。
HCH_012_017_000355	戊午，振寧夏災。
HCH_012_017_000356	是年，琉球、土魯番入貢。
HCH_012_017_000357	十八年春二月庚子朔，立皇子載壑為皇太子，封載垕為裕王，載圳景王。
HCH_012_017_000358	辛丑，詔赦天下。
HCH_012_017_000359	起黃綰為禮部尚書，宣諭安南。
HCH_012_017_000360	壬寅，起翟鑾為兵部尚書兼右都御史，充行邊使。
HCH_012_017_000361	丁未，祈穀於玄極寶殿。
HCH_012_017_000362	先賢曾子裔孫質粹為翰林院世襲五經博士。
HCH_012_017_000363	壬子，振遼東饑。
HCH_012_017_000364	癸丑，安南莫方瀛請降。
HCH_012_017_000365	乙卯，幸承天，太子監國。
HCH_012_017_000366	辛酉，次真定，望於北獄。
HCH_012_017_000367	丁卯，次衞輝，行宮火。
HCH_012_017_000368	三月己巳，渡河，祭大河之神。
HCH_012_017_000369	辛未，次鈞州，望於中嶽。
HCH_012_017_000370	甲戌，免畿內被災稅糧。
HCH_012_017_000371	庚辰，至承天。
HCH_012_017_000372	辛巳，謁顯陵。
HCH_012_017_000373	甲申，享上帝於龍飛殿，奉睿宗配。
HCH_012_017_000374	秩於國社、國稷，徧羣祀。
HCH_012_017_000375	戊子，御龍飛殿受賀，詔赦天下。
HCH_012_017_000376	給復承天三年，免湖廣明年田賦五之二，畿內、河南三之一。
HCH_012_017_000377	夏四月壬子，至自承天。
HCH_012_017_000378	壬戌，免湖廣被災稅糧。
HCH_012_017_000379	甲子，幸大峪山。
HCH_012_017_000380	丙寅，還宮。
HCH_012_017_000381	秋閏七月庚申，葬獻皇后於顯陵。
HCH_012_017_000382	辛酉，復命仇鸞、毛伯溫征安南。
HCH_012_017_000383	九月辛酉，如天壽山。
HCH_012_017_000384	侍郎王杲振河南饑。
HCH_012_017_000385	冬十月丙寅，還宮。
HCH_012_017_000386	十一月丙申，祀天於南郊。
HCH_012_017_000387	是年，日本、哈密入貢。
HCH_012_017_000388	十九年春正月丙午，召翟鑾復入閣。
HCH_012_017_000389	辛亥，吉囊寇大同，殺指揮周岐。
HCH_012_017_000390	三月戊戌，詔修仁壽宮。
HCH_012_017_000391	夏六月辛巳，瓦剌部長欵塞。
HCH_012_017_000392	秋七月癸卯，吉囊入萬全右衞，總兵官白爵逆戰於宣平，敗之。
HCH_012_017_000393	壬子，又敗之於桑乾河。
HCH_012_017_000394	戊午，振江西災。
HCH_012_017_000395	八月丁丑，太僕卿楊最諫服丹藥，予杖死。
HCH_012_017_000396	九月，吉囊犯固原，周尚文敗之於黑水苑。
HCH_012_017_000397	延綏總兵官任傑追擊於鐵柱泉，又敗之。
HCH_012_017_000398	己酉，召仇鸞還。
HCH_012_017_000399	冬十月庚申，罷礦場。
HCH_012_017_000400	甲子，顧鼎臣卒。
HCH_012_017_000401	十一月丙辰，慈慶宮成。
HCH_012_017_000402	是年，琉球、日本入貢。
HCH_012_017_000403	二十年春正月，免南畿被災稅糧。
HCH_012_017_000404	二月乙丑，顯陵成，給復承天三年。
HCH_012_017_000405	丙寅，御史楊爵言時政，下錦衣衞獄。
HCH_012_017_000406	三月乙巳，賜沈坤等進士及第、出身有差。
HCH_012_017_000407	是春，吉囊寇蘭州，參將鄭東戰死。
HCH_012_017_000408	夏四月己未，莫登庸納欵，改安南國為安南都統使司，以登庸為都統使。
HCH_012_017_000409	辛酉，九廟災，燬成祖、仁宗主。
HCH_012_017_000410	丙子，詔行寬恤之政。
HCH_012_017_000411	五月戊子，採木於湖廣、四川。
HCH_012_017_000412	甲寅，振遼東饑。
HCH_012_017_000413	六月，振畿內、山西饑。
