HCH_015_037_000189	諧之初辟州從事主簿，臨賀王國常侍，員外郎，撫軍行參軍，晉熙王安西中兵參軍，南梁郡太守。
HCH_015_037_000190	以器局見稱。
HCH_015_037_000191	徙邵陵王南中郎中兵，領汝南太守，不拜。
HCH_015_037_000192	除射聲校尉，州別駕。
HCH_015_037_000193	除左軍將軍，不拜。
HCH_015_037_000194	仍除邵陵王左軍諮議。
HCH_015_037_000195	世祖頓盆城，使諧之守尋陽城，及爲江州，復以諧之爲別駕，委以事任。
HCH_015_037_000196	文惠太子鎮襄陽，世祖以諧之心腹，出爲北中郎征虜司馬、扶風太守，爵關內侯。
HCH_015_037_000197	在鎮毗贊，甚有心力。
HCH_015_037_000198	建元二年，還爲給事中，驍騎將軍，本州中正，轉黃門郎，領羽林監。
HCH_015_037_000199	永明元年，轉守衞尉，中正如故。
HCH_015_037_000200	明年，加給事中。
HCH_015_037_000201	三年，遷散騎常侍，太子右率。
HCH_015_037_000202	五年，遷左衞將軍，加給事中，中正如故。
HCH_015_037_000203	諧之風形瓌潤，善自居處，兼以舊恩見遇，朝士多與交遊。
HCH_015_037_000204	六年，遷都官尚書。
HCH_015_037_000205	上欲遷諧之，嘗從容謂諧之曰：「江州有幾侍中邪？」
HCH_015_037_000206	諧之答曰：「近世唯有程道惠一人而已。」
HCH_015_037_000207	上曰：「當令有二。」
HCH_015_037_000208	後以語尚書令王儉，儉意更異，乃以爲太子中庶子，領左衞率。
HCH_015_037_000209	諧之兄謨之亡，諧之上表曰：「臣私門罪釁，早備荼苦。兄弟三人，共相撫鞠，嬰孩抱疾，得及成人。長兄臣諶之，復早殞沒，與亡第二兄臣謨之銜戚家庭，得蒙訓長，情同極廕。何圖一旦奄見棄放，吉凶分違，不獲臨奉，乞解所職。」
HCH_015_037_000210	詔不許。
HCH_015_037_000211	改衞尉，中庶子如故。
HCH_015_037_000212	八年，上遣諧之率禁兵討巴東王子響於江陵，兼長史行事。
HCH_015_037_000213	臺軍爲子響所敗，有司奏免官，權行軍事如故。
HCH_015_037_000214	復爲衞尉，領中庶子，本州中正。
HCH_015_037_000215	諧之有識計，每朝廷官缺及應遷代，密量上所用人，皆如其言，虞悰以此稱服之。
HCH_015_037_000216	十年，轉度支尚書，領衞尉。
HCH_015_037_000217	明年，卒，年五十一。
HCH_015_037_000218	贈右將軍、豫州刺史。
HCH_015_037_000219	諡曰肅。
HCH_015_037_000220	史臣曰：送錢贏兩，言此無忘，一笥之懷，報以都尉，千金可失，貴在人心。
HCH_015_037_000221	夫謹而信，汎愛衆，其爲利也博矣。
HCH_015_037_000222	況乎先覺潛龍，結厚於布素，隨才致位，理固然也。
HCH_015_037_000223	贊曰：到藉豪華，晚懷虛素。
HCH_015_037_000224	虞生富厚，侈不違度。
HCH_015_037_000225	劉實朝交，胡乃蕃故，頡頏亮采，康衢騁步。
HCH_015_037_000226	本南北朝作品在全世界都属于公有领域，因为作者逝世已经遠遠超过100年。
