HCH_010_053_000238	引契丹、漢人臣僚並諸國使兩洞門入，合班稱賀，進酒，皆如皇帝之儀。
HCH_010_053_000239	畢，引出。
HCH_010_053_000240	教坊入，起居，進酒亦如之。
HCH_010_053_000241	皇太后宣答稱「聖旨」。
HCH_010_053_000242	契丹班謝宣宴，上殿就位立。
HCH_010_053_000243	漢人臣僚並諸國使東洞門入，丹墀東方，面西鞠躬，舍人鞠躬，通文武百僚宰臣某已下謝宣宴，再拜；出班致詞訖，退復位，舞蹈，五拜，贊各上殿祗候，引宰臣以下並諸國使副，方裀朵殿臣僚，西階上殿就位立。
HCH_010_053_000244	不應坐臣僚並於西洞門出。
HCH_010_053_000245	二人監盞，教坊再拜。
HCH_010_053_000246	贊各上階下殿謝宴，如皇太后生辰儀。
HCH_010_053_000247	冬至朝賀儀：臣僚班齊，如正旦儀。
HCH_010_053_000248	皇帝、皇后拜日，臣僚陪位再拜。
HCH_010_053_000249	皇帝、皇后升殿坐，契丹舍人通，臣僚入，合班，親王祝壽，宣答，皆如正旦之儀。
HCH_010_053_000250	謝訖，舞蹈，五拜，鞠躬。
HCH_010_053_000251	出班奏「聖躬萬福」；復位，再拜，鞠躬。
HCH_010_053_000252	班首出班，俯伏跪，祝壽訖，伏興，舞蹈，五拜，鞠躬。
HCH_010_053_000253	贊各祗候。
HCH_010_053_000254	分班，不出，合班，御床入，再拜，鞠躬。
HCH_010_053_000255	贊進酒。
HCH_010_053_000256	臣僚平身。
HCH_010_053_000257	引親王左階上殿，就欄內褥位，搢笏，執臺盞，進酒。
HCH_010_053_000258	皇帝、皇后受盞訖，退就褥位，置臺，出笏，俯伏跪。
HCH_010_053_000259	少前，自通全銜臣某等謹進千萬歲壽酒。
HCH_010_053_000260	俯伏興，退，復褥位，再拜，鞠躬。
HCH_010_053_000261	殿下臣僚皆再拜，鞠躬。
HCH_010_053_000262	宣答如正旦儀。
HCH_010_053_000263	親王搢笏，執臺，分班。
HCH_010_053_000264	皇帝、皇后飲酒，奏樂；殿上下臣僚皆拜，稱「萬歲壽」，樂止。
