HCH_009_022_000302	以其星曆策除之為策數，不盡為入策度及分，命策數算外，以其策數下損益率乘之，如曆策而一為分，以損益其下盈縮積度，即為其星其段盈縮定差。
HCH_009_022_000303	各置其星其段中積，以其盈縮定差盈加減之。
HCH_009_022_000304	即其段定積日及分。
HCH_009_022_000305	以加天正冬至大餘及約分，滿紀法六十去之，不盡，即為定日及加時分秒。
HCH_009_022_000306	不滿命甲子算外，即得日辰。
HCH_009_022_000307	各置其段定積日及分，以加天閏日及分，滿朔策及約分除之為月數，不盡，為入月已來日數及分。
HCH_009_022_000308	其月數命天正十一月算外，即得其段入月經朔日數及分，以日辰相距為所在定朔月日。
HCH_009_022_000309	各置中星，以盈縮定差盈加縮減之，金星倍之，水星三因之，然後加減。
HCH_009_022_000310	即為五星諸段定星。
HCH_009_022_000311	以加天正冬至加時黃道日度，依宿命之，即其星其段加時所在宿度及分秒。
HCH_009_022_000312	各以其段初行率，乘其段定積日下加時分，百約之，乃順減退加其日加時定星，即為其段初日晨前夜半定星所在宿度。
HCH_009_022_000313	各以其段日辰距後段日辰為日率。
HCH_009_022_000314	以其段夜半宿次與後段夜半宿次相減，餘為夜率。
HCH_009_022_000315	各置其段度率及分秒，以其段日率除之，即其段平行度及分秒。
HCH_009_022_000316	以本段前後平行分相減，余為其段泛差。
HCH_009_022_000317	假令求木星次疾*差，乃以順疾、順遲平行分相減，餘為次疾泛差。
HCH_009_022_000318	他皆仿此。
HCH_009_022_000319	倍而退位為增減差，加減其段平行分，為初末日行分。
HCH_009_022_000320	前多後少者，加為初，減為末。
HCH_009_022_000321	前少後多者，減為初，加為末。
HCH_009_022_000322	倍增減差為總差，以日率減一除之，為日差。
HCH_009_022_000323	前伏者，置後段初日行分，加其日差之半，為末日行分。
HCH_009_022_000324	後伏者，置前段末日行分，加其日差之半，為初日行分。
HCH_009_022_000325	以減伏段平行分，餘為增減差。
HCH_009_022_000326	前遲者，置前段末日行分，倍其日差減之，為初日行分。
HCH_009_022_000327	後遲者，置後段初日行分，倍其日差減之，為末日行分。
HCH_009_022_000328	以遲段平行分減之，餘為增減差。
HCH_009_022_000329	前後近留之遲段。
HCH_009_022_000330	木、火、土三星退行者，六因平行分，退一位，為增減差。
HCH_009_022_000331	金星前後伏退，三因平行分，半而退位，為增減差。
HCH_009_022_000332	前退者，置後段初日行分，以其日差減之，為末日行分，後退者，置前段末日行分，以其日差減之，為初日行分。
HCH_009_022_000333	以本段平行分減，餘為增減差。
HCH_009_022_000334	水星，半平行分為增減差，皆以增減差加減平行分，為初末日行分。
HCH_009_022_000335	前多後少，加初減末；前少後多，減初加末。
HCH_009_022_000336	又倍增減差為總差，以日率減一除之，為日差。
HCH_009_022_000337	各置其段初日行分，以日差累損益之後少則損之，後多則益之。
HCH_009_022_000338	為每日行度及分秒。
HCH_009_022_000339	乃順加退減之，滿宿次去之，即得每日晨前夜半星行宿次。
HCH_009_022_000340	視前段末日、後段初日行分相較之數，不過一二日差為妙。
HCH_009_022_000341	或多日差數倍，或顛倒不倫，當類會前後增減差稍損益之，使其有倫，然後用之。
HCH_009_022_000342	或前後平行俱多俱少，則平注之。
HCH_009_022_000343	或總差之秒，不盈一分，亦平注之。
HCH_009_022_000344	若有不倫而平注之得倫者，亦平注之。
HCH_009_022_000345	置定積，以氣策及約分除之，為氣數，不滿為入氣日及分秒，命天正冬至算外，即所求平合及伏見入氣日及分秒。
HCH_009_022_000346	各以其段初日星行分與其太陽行分相減，餘為行差。
HCH_009_022_000347	若金在退行，水在退合者，相並為行差。
HCH_009_022_000348	如水星夕伏晨見者，直以太陽行分為行差。
HCH_009_022_000349	木、火、土三星，各以平合晨疾夕伏定積，便為定合定見定伏泛積。
HCH_009_022_000350	金、水二星，置其段盈縮差，水星倍之。
HCH_009_022_000351	各以行差除之，為日，不滿退除為分秒。
HCH_009_022_000352	若在平合夕見晨伏者，盈減縮加；如在退合夕伏晨見者，盈加縮減。
HCH_009_022_000353	皆以加減定積，為定合定見定伏泛積。
HCH_009_022_000354	木、火、土三星，各以平合行差除其日太陽盈縮差，為距合差日。
HCH_009_022_000355	以太陽盈縮差減之，為距合差度。
