HCH_012_240_000300	大帥李如柏、如楨兄弟有罪，當逮治，中旨寬之。
HCH_012_240_000301	爌與一燝執奏，逮如律。
HCH_012_240_000302	以登極恩，加太子太保、戶部尚書、文淵閣大學士。
HCH_012_240_000303	從哲去，一燝當國，爌協心佐理。
HCH_012_240_000304	天啟元年正月，兩人以帝為皇孫時，未嘗出閣讀書，請於十二日即開經筵，自後日講不輟，從之。
HCH_012_240_000305	遼陽失，都城震驚。
HCH_012_240_000306	爌、一燝以人情偷玩，擬御劄戒勵百官，共圖實效，帝納之。
HCH_012_240_000307	廷臣以兵餉大絀，合詞請發帑，爌、一燝亦以為言，詔發百萬兩。
HCH_012_240_000308	大婚禮成，加少保、吏部尚書、武英殿大學士，蔭一子尚寶司丞。
HCH_012_240_000309	未幾，以貴州平苗功，加少傅、太子太傅、建極殿大學士。
HCH_012_240_000310	帝封乳母客氏為奉聖夫人，大婚成，當出外，仍留之宮中。
HCH_012_240_000311	御史畢佐周切諫，六科、十三道復連署爭，皆不納。
HCH_012_240_000312	爌、一燝引祖制為言，乃命俟梓宮發引，擇日出宮。
HCH_012_240_000313	二年四月，禮部尚書孫慎行劾方從哲用李可灼紅丸藥，罪同弒逆，廷議紛然。
HCH_012_240_000314	一燝已去位，爌特疏白其事，曰：先帝以去年八月朔踐阼。
HCH_012_240_000315	臣及一燝以二十四日入閣。
HCH_012_240_000316	適鴻臚寺官李可灼云有仙丹欲進。
HCH_012_240_000317	從哲愕然，出所具問安揭，有「進藥十分宜慎」語。
HCH_012_240_000318	臣等深以為然，即諭之去。
HCH_012_240_000319	二十七日召見群臣，先帝自言不用藥已二十餘日。
HCH_012_240_000320	至二十九日遇兩內臣，言帝疾已大漸，有鴻臚寺官李可灼來思善門進藥。
HCH_012_240_000321	從哲及臣等皆言彼稱仙丹，便不敢信。
HCH_012_240_000322	是日仍召見。
HCH_012_240_000323	諸臣問安畢，先帝即顧皇上，命臣等輔佐為堯、舜。
HCH_012_240_000324	又語及壽宮，臣等以先帝山陵封，則云：「是朕壽宮。」
HCH_012_240_000325	因問有鴻臚官進藥。
HCH_012_240_000326	從哲奏云：「李可灼自謂仙丹，臣等未敢信。」
HCH_012_240_000327	先帝即命傳宣。
HCH_012_240_000328	臣等出，移時可灼至，同入診視，言病源及治法甚合。
HCH_012_240_000329	先帝喜，命速進。
HCH_012_240_000330	臣等復出，令與諸醫商榷。
HCH_012_240_000331	一燝語臣，其鄉兩人用此，損益參半。
HCH_012_240_000332	諸臣相視，實未敢明言宜否。
HCH_012_240_000333	須臾，先帝趨和藥，臣等復同入。
HCH_012_240_000334	可灼調以進，先帝喜曰：「忠臣，忠臣。」
HCH_012_240_000335	臣等出，少頃，中使傳聖體服藥後暖潤舒暢，思進飲膳，諸臣歡躍而退。
HCH_012_240_000336	比申末，可灼出云：「聖上恐藥力不繼，欲再進一丸。」
HCH_012_240_000337	諸醫言不宜驟。
HCH_012_240_000338	乃傳趨益急，因再進訖。
HCH_012_240_000339	臣等問再服復何狀，答言平善如初。
HCH_012_240_000340	此本日情事也。
HCH_012_240_000341	次日，臣等趨朝，而先帝已於卯刻上賓矣，痛哉！
HCH_012_240_000342	方先帝召見群臣時，被袞憑幾，儼然顧命。
HCH_012_240_000343	皇上焦顏侍側，臣等環跪仿徨，操藥而前，籲天以禱。
HCH_012_240_000344	臣子際此，憾不身代。
HCH_012_240_000345	凡今所謂宜慎宜止者，豈不慮於心，實未出於口，抑且不以萌諸心。
HCH_012_240_000346	念先帝臨御雖止旬月，恩膏實被九垓。
HCH_012_240_000347	為臣子者宜何如頌揚，何如紀述。
HCH_012_240_000348	乃禮臣忠憤之激談，與遠邇驚疑之紛議，不知謂當時若何情景，而進藥始末實止如此。
HCH_012_240_000349	若不據實詳剖，直舉非命之兇稱，加諸考終之令主，恐先帝在天之靈不無恫怨，皇上終天之念何以為懷。
