HCH_012_324_000162	無紙筆，用羊皮槌薄燻黑，削細竹蘸白灰為字，狀若蚯蚓。
HCH_012_324_000163	有城郭甲兵，人性狠而狡，貿易多不平。
HCH_012_324_000164	戶皆北向，民居悉覆茅簷，高不得過三尺。
HCH_012_324_000165	部領分差等，門高卑亦有限。
HCH_012_324_000166	飲食穢污，魚非腐爛不食，釀不生蛆不為美。
HCH_012_324_000167	人體黑，男蓬頭，女椎結，俱跣足。
HCH_012_324_000168	王，瑣裡人，崇釋教。
HCH_012_324_000169	歲時採生人膽入酒中，與家人同飲，且以浴身，曰「通身是膽」。
HCH_012_324_000170	其國人采以獻王，又以洗象目。
HCH_012_324_000171	每伺人於道，出不意急殺之，取膽以去。
HCH_012_324_000172	若其人驚覺，則膽已先裂，不足用矣。
HCH_012_324_000173	置眾膽於器，華人膽輒居上，故尤貴之。
HCH_012_324_000174	五六月間，商人出，必戒備。
HCH_012_324_000175	王在位三十年，則避位入深山，以兄弟子侄代，而己持齋受戒，告於天曰：「我為君無道，願狼虎食我，或病死。」
HCH_012_324_000176	居一年無恙，則復位如初。
HCH_012_324_000177	國中呼為「昔嚟馬哈剌」，乃至尊至聖之稱也。
HCH_012_324_000178	國不甚富，惟犀象最多。
HCH_012_324_000179	烏木、降香，樵以為薪。
HCH_012_324_000180	棋柟香獨產其地一山，酋長遣人守之，民不得采，犯者至斷手。
HCH_012_324_000181	有鱷魚潭，獄疑不決者，令兩造騎牛過其旁，曲者，魚輒躍而食之，直者，即數往返，不食也。
HCH_012_324_000182	有屍頭蠻者，一名屍致魚，本婦人，惟無瞳神為異。
HCH_012_324_000183	夜中與人同寢，忽飛頭食人穢物，來即復活。
HCH_012_324_000184	若人知而封其頸，或移之他所，其婦即死。
HCH_012_324_000185	國設厲禁，有而不告者，罪及一家。
HCH_012_324_000186	賓童龍國，與占城接壤。
HCH_012_324_000187	或言如來入舍衛國乞食，即其地。
HCH_012_324_000188	氣候、草木、人物、風土，大類占城，惟遭喪能持服，葬以僻地，設齋禮佛，婚姻偶合。
HCH_012_324_000189	酋出入乘象或馬，從者百餘人，前後贊唱。
HCH_012_324_000190	民編茅覆屋。
HCH_012_324_000191	貨用金、銀、花布。
HCH_012_324_000192	有崑崙山，節然大海中，與占城及東、西竺鼎峙相望。
HCH_012_324_000193	其山方廣而高，其海即曰崑崙洋。
HCH_012_324_000194	諸往西洋者，必待順風，七晝夜始得過，故舟人為之諺曰：「上怕七州，下怕崑崙，針迷舵失，人船莫存。」
HCH_012_324_000195	此山無異產。
HCH_012_324_000196	人皆穴居巢處，食果實魚蝦，無室廬井灶。
HCH_012_324_000197	真臘，在占城南，順風三晝夜可至。
HCH_012_324_000198	隋、唐及宋皆朝貢。
HCH_012_324_000199	宋慶元中，滅占城而並其地，因改國名曰占臘。
HCH_012_324_000200	元時仍稱真臘。
HCH_012_324_000201	洪武三年，遣使臣郭徵等齎詔撫諭其國。
HCH_012_324_000202	四年，其國巴山王忽爾那遣使進表，貢方物，賀明年正旦。
HCH_012_324_000203	詔賜《大統歷》及彩幣，使者亦給賜有差。
HCH_012_324_000204	六年進貢。
HCH_012_324_000205	十二年，王參答甘武者持達志遣使來貢，宴賜如前。
HCH_012_324_000206	十三年復貢。
HCH_012_324_000207	十六年遣使齎勘合文冊賜其王。
HCH_012_324_000208	凡國中使至，勘合不符者，即屬矯偽，許縶縛以聞。
HCH_012_324_000209	復遣使賜織金文綺三十二、磁器萬九千。
HCH_012_324_000210	其王遣使來貢。
HCH_012_324_000211	十九年遣行人劉敏、唐敬偕中官齎磁器往賜。
HCH_012_324_000212	明年，敬等還，王遣使貢象五十九、香六萬斤。
HCH_012_324_000213	尋遣使賜其王鍍金銀印，王及妃皆有賜。
HCH_012_324_000214	其王參烈實{田比}邪甘菩者遣使貢象及方物。
HCH_012_324_000215	明年復貢像二十八、象奴三十四人、番奴四十五人，謝賜印之恩。
HCH_012_324_000216	二十二年三貢。
HCH_012_324_000217	明年復貢。
HCH_012_324_000218	永樂元年，遣行人蔣賓興、王樞以即位詔諭其國。
HCH_012_324_000219	明年，王參烈婆{田比}牙遣使來朝，貢方物。
HCH_012_324_000220	初，中官使真臘，有部卒三人潛遁，索之不得，王以其國三人代之，至是引見。
HCH_012_324_000221	帝曰：「華人自逃，於彼何預而責償？且語言不通，風土不習，吾焉用之？」
HCH_012_324_000222	命賜衣服及道里費，遣還。
HCH_012_324_000223	三年遣使來貢，告故王之喪。
HCH_012_324_000224	命鴻臚序班王孜致祭，給事中畢進、中官王琮齎詔封其嗣子參烈昭平牙為王。
HCH_012_324_000225	進等還，嗣王遣使偕來謝恩。
HCH_012_324_000226	六年、十二年再入貢。
HCH_012_324_000227	使者以其國數被占城侵擾，久留不去。
HCH_012_324_000228	帝遣中官送之還，並敕占城王罷兵修好。
HCH_012_324_000229	十五年、十七年併入貢。
HCH_012_324_000230	宣德、景泰中，亦遣使入貢。
HCH_012_324_000231	自後不常至。
HCH_012_324_000232	其國城隍周七十餘里，幅員廣數千里。
