HCH_012_252_000286	帝嘗問京營軍何以使練者盡精，汰者不嘩，甡對曰：「京營邊勇營萬二千專練騎射，壯丁二萬專練火器，廩給厚而技與散兵無異。宜行分練法，技精者，散兵拔為邊勇，否則邊勇降為散兵，壯丁亦然。老弱者汰補，革弊當以漸，不可使知有汰兵意。」
HCH_012_252_000287	帝然之。
HCH_012_252_000288	又問別立戰營，能得堪戰者五萬否，甡對：「京營兵合堪戰。承平日久，發兵剿賊，輒沿途雇充。將領利月餉，遊民利剽兌攵，歸營則本軍復充伍。今練兵法要在選將，有戰將自有戰兵，五萬非難。但法忌紛更，不必別立戰營也。」
HCH_012_252_000289	帝顧兵部尚書陳新甲，令速選將，而諭甡具疏以聞。
HCH_012_252_000290	賜果餌，拜謝出。
HCH_012_252_000291	十五年六月，擢禮部尚書兼東閣大學士。
HCH_012_252_000292	周延儒再相，馮銓力為多，延儒許復其冠帶。
HCH_012_252_000293	銓果以捐資振饑屬撫按題敘，延儒擬優旨下戶部。
HCH_012_252_000294	公議大沸，延儒患之。
HCH_012_252_000295	馮元飆為甡謀，說延儒引甡共為銓地，延儒默援之，甡遂得柄用。
HCH_012_252_000296	及延儒語銓事，甡唯唯，退召戶部尚書傅淑訓，告以逆案不可翻，寢其疏不覆。
HCH_012_252_000297	延儒始悟為甡紿。
HCH_012_252_000298	延儒欲起張捷為南京右都御史，甡力尼之。
