HCH_012_138_000348	天順元年，擢本部右侍郎，改工部。
HCH_012_138_000349	奉詔塞開封決河。
HCH_012_138_000350	還，仍改戶部。
HCH_012_138_000351	成化初，督兩廣軍餉，位至南京兵部尚書，以忤汪直免官。
HCH_012_138_000352	其繼祥為工部尚書有名者，有秦逵等。
HCH_012_138_000353	逵，字文用，宣城人。
HCH_012_138_000354	洪武十八年進士。
HCH_012_138_000355	曆事都察院。
HCH_012_138_000356	奉檄清理囚徒，寬嚴得宜。
HCH_012_138_000357	帝嘉其能，擢工部侍郎。
HCH_012_138_000358	時營繕事繁，部中缺尚書，凡興作事皆逵領之。
HCH_012_138_000359	初，議籍四方工匠，驗其丁力，定三年為班，更番赴京，三月交代，名曰「輸班匠」。
HCH_012_138_000360	未及行，至是逵議量地遠近為班次，置籍，為勘合付之，至期齎至部，免其家徭役，著為令。
HCH_012_138_000361	帝念逵勤勩，詔有司復其家。
HCH_012_138_000362	二十二年進尚書。
HCH_012_138_000363	明年改兵部。
HCH_012_138_000364	未幾，復改工部。
HCH_012_138_000365	帝以學校為國儲材，而士子巾服無異胥吏，宜更易之。
HCH_012_138_000366	命逵制式以進。
HCH_012_138_000367	凡三易，其制始定。
HCH_012_138_000368	賜監生藍衫、絛各一，以為天下先。
HCH_012_138_000369	明代士子衣冠，蓋創自逵雲。
HCH_012_138_000370	有趙翥者，永寧人。
HCH_012_138_000371	有志節，以學行聞。
HCH_012_138_000372	由訓導舉賢良，擢贊善大夫，拜工部尚書。
HCH_012_138_000373	奏定天下歲造軍器之數，及議定籓王宮城制度。
HCH_012_138_000374	趙俊者，不知何許人。
HCH_012_138_000375	自工部侍郎進尚書。
HCH_012_138_000376	帝以國子監所藏書板，歲久殘剝，命諸儒考補，工部督匠修治。
HCH_012_138_000377	俊奉詔監理，古籍始備。
HCH_012_138_000378	洪武十二年，翥改署刑部。
HCH_012_138_000379	尋致仕去。
HCH_012_138_000380	俊，十七年免。
HCH_012_138_000381	而逵於二十五年九月坐事自殺。
HCH_012_138_000382	唐鐸，字振之，虹人。
HCH_012_138_000383	太祖初起兵，即侍左右。
HCH_012_138_000384	守濠州，從定江州，授西安縣丞。
HCH_012_138_000385	召為中書省管勾。
HCH_012_138_000386	洪武元年，湯和克延平，以鐸知府事，拊輯新附，士民安之。
HCH_012_138_000387	居三年，入為殿中侍御史，復出知紹興府。
HCH_012_138_000388	六年十二月，召拜刑部尚書。
HCH_012_138_000389	明年改太常卿。
HCH_012_138_000390	丁母憂，特給半俸。
HCH_012_138_000391	十四年，服闋，起兵部尚書。
HCH_012_138_000392	明年，初置諫院，以為諫議大夫。
HCH_012_138_000393	帝嘗與侍臣論歷代興廢，曰：「使朕子孫如成、康，輔弼如周、召，則可祈天永命。」
HCH_012_138_000394	鐸因進曰：「豫教元良，選左右為輔導，宗社萬年福也。」
HCH_012_138_000395	帝又謂鐸曰：「人有公私，故言有邪正。正言務規諫，邪言務謗諛。」
HCH_012_138_000396	鐸曰：「謗近忠，諛近愛。不為所眩，則讒佞自遠。」
HCH_012_138_000397	未幾，左遷監察御史。
HCH_012_138_000398	請選賢能京官遍曆郡縣，訪求賢才，體察官吏。
HCH_012_138_000399	選歷練老成、望隆名重者，居布政、按察之職。
HCH_012_138_000400	帝從之。
HCH_012_138_000401	既復擢為右副都御史，曆刑、兵二部尚書。
HCH_012_138_000402	二十二年，置詹事院，命吏部曰：「輔導太子，必擇端重之士。三代保傅，禮甚尊嚴。兵部尚書鐸，謹厚有德量，以為詹事。食尚書俸如故。」
HCH_012_138_000403	以鐸嘗請豫教故也。
HCH_012_138_000404	其年，致仕。
HCH_012_138_000405	二十六年，起太子賓客，進太子少保。
HCH_012_138_000406	二十八年，龍州土官趙宗壽以奏鄭國公常茂死事不實，被召，又不至。
HCH_012_138_000407	帝怒，命楊文統大軍往討。
HCH_012_138_000408	而命鐸招諭。
HCH_012_138_000409	鐸至，廉得茂實病死，宗壽亦伏罪來朝。
HCH_012_138_000410	乃詔文移兵征奉議諸州叛蠻，即以鐸參議軍事。
HCH_012_138_000411	逾月，諸蠻平。
HCH_012_138_000412	鐸相度形勢，請設奉議衛及向武、河池、懷集、武仙、賀縣諸處守禦千戶所，鎮以官軍。
HCH_012_138_000413	皆報可。
HCH_012_138_000414	鐸為人長者，性慎密，不妄取予。
HCH_012_138_000415	帝以故舊遇之，嘗曰：「鐸自友及臣至今三十餘年，其與人交不至變色，絕亦不出惡聲。」
HCH_012_138_000416	又曰：「都御史詹徽剛斷嫉惡，胥吏不得肆其貪，謗訕滿朝。唐鐸重厚，又謂懦而無為。人心不古，有若是耶！」
HCH_012_138_000417	後徽卒坐罪誅死，而鐸恩遇不替。
HCH_012_138_000418	三十年七月，卒于京師，年六十九。
HCH_012_138_000419	賻贈甚厚，命有司護其喪歸葬。
HCH_012_138_000420	沈溍，字尚賢，錢塘人。
HCH_012_138_000421	與鐸同官兵部，以明敏稱。
HCH_012_138_000422	帝嘗以勳臣子弟多骫法，撰《大誥》二十二篇，諭天下武臣，皆令誦習，使知儆惕。
HCH_012_138_000423	已，又以諭戒八條，頒示將士。
HCH_012_138_000424	時溍以試兵部侍郎掌部事，一切訓飭事宜，皆承旨行之。
HCH_012_138_000425	尋進尚書。
HCH_012_138_000426	廣西都司建譙樓、青州衛造軍器，皆擅科民財。
HCH_012_138_000427	溍請凡都司衛所營作，必都督府奏准。
HCH_012_138_000428	官給物料，毋擅役民。
HCH_012_138_000429	違者治罪。
HCH_012_138_000430	仍禁武臣預民事。
HCH_012_138_000431	時干戈甫息，武臣暴橫，數扞文法，至是始戢，溍力也。
HCH_012_138_000432	帝嘗諭致治之要在進賢、退不肖。
HCH_012_138_000433	溍因言：「君子常少，小人常多，在上風厲之耳，賢者舉而不仁者遠矣。」
HCH_012_138_000434	帝善其言。
HCH_012_138_000435	二十三年，以溍與工部尚書秦逵換官，賜誥獎諭。
HCH_012_138_000436	尋復舊任，後以事免。
HCH_012_138_000437	明初，衛所世籍及軍卒勾補之法，皆溍所定。
HCH_012_138_000438	然名目瑣細，簿籍煩多，吏易為奸。
