HCH_012_002_000227	甲戌，魏國公徐達為征虜大將軍，出雁門，趨和林，曹國公李文忠為左副將軍，出應昌，宋國公馮勝為征西將軍，取甘肅，征擴廓帖木兒。
HCH_012_002_000228	靖海侯吳禎督海運，餉遼東。
HCH_012_002_000229	衞國公鄧愈為征南將軍，江夏侯周德興、江陰侯吳良副之，分道討湖南、廣西洞蠻。
HCH_012_002_000230	二月丙戌，安南陳叔明弒其主日熞自立，遣使入貢，卻之。
HCH_012_002_000231	三月丁卯，都督僉事藍玉敗擴廓於土剌河。
HCH_012_002_000232	夏四月己卯，振濟南、萊州饑。
HCH_012_002_000233	戊戌，始行鄉飲酒禮。
HCH_012_002_000234	庚子，鄧愈平散毛諸洞蠻。
HCH_012_002_000235	五月壬子，徐達及元兵戰於嶺北，敗績。
HCH_012_002_000236	是月，詔曰：「天下大定，禮儀風俗不可不正。諸遭亂為人奴隸者復為民。凍餒者里中富室假貸之，孤寡殘疾者官養之，毋失所。鄉黨論齒，相見揖拜，毋違禮。婚姻毋論財。喪事稱家有無，毋惑陰陽拘忌，停柩暴露。流民復業者各就丁力耕種，毋以舊田為限。僧道齋醮雜男女，恣飲食，有司嚴治之。閩、粵豪家毋閹人子為火者，犯者抵罪。」
HCH_012_002_000237	六月丙子，定宦官禁令。
HCH_012_002_000238	丁丑，定宮官女職之制。
HCH_012_002_000239	戊寅，馮勝克甘肅，追敗元兵於瓜、沙州。
HCH_012_002_000240	癸巳，定六部職掌及歲終考績法。
HCH_012_002_000241	壬寅，吳良平靖州蠻。
HCH_012_002_000242	甲辰，李文忠敗元兵於阿魯渾河，宣寧侯曹良臣戰沒。
HCH_012_002_000243	乙巳，作鐵榜誡功臣。
HCH_012_002_000244	是月，振山東饑，免被災郡縣田租。
HCH_012_002_000245	秋七月丙辰，湯和及元兵戰於斷頭山，敗績。
HCH_012_002_000246	八月丙申，吳良平五開、古州諸蠻。
HCH_012_002_000247	甲辰，元兵犯雲內，同知黃里死之。
HCH_012_002_000248	九月戊午，周德興平婪鳳、安田諸蠻。
HCH_012_002_000249	冬十月丁酉，馮勝師還。
HCH_012_002_000250	是月，免應天、太平、鎮江、寧國、廣德田租。
HCH_012_002_000251	十一月辛酉，有事於圜丘。
HCH_012_002_000252	甲子，征南師還。
HCH_012_002_000253	壬申，納哈出犯遼東。
HCH_012_002_000254	是月，召徐達、李文忠還。
HCH_012_002_000255	十二月甲戌，詔以農桑學校課有司。
HCH_012_002_000256	辛巳，命百官秦事啟皇太子。
HCH_012_002_000257	庚子，鄧愈為征西將軍，征吐番。
HCH_012_002_000258	壬寅，貽元嗣君書。
HCH_012_002_000259	是年，瑣里、占城、高麗、琉球、烏斯藏入貢。
HCH_012_002_000260	高麗貢使再至，諭自後三年一貢。
HCH_012_002_000261	六年春正月甲寅，謫汪廣洋為廣東參政。
HCH_012_002_000262	二月乙未，諭暫罷科舉，察舉賢才。
HCH_012_002_000263	壬寅，命御史及按察使考察有司。
HCH_012_002_000264	三月癸卯朔，日有食之。
HCH_012_002_000265	頒昭鑒錄，訓誡諸王。
HCH_012_002_000266	戊申，大閱。
HCH_012_002_000267	壬子，徐達為征虜大將軍，李文忠、馮勝、鄧愈、湯和副之，備邊山西、北平。
HCH_012_002_000268	甲子，指揮使於顯為總兵官，備倭。
HCH_012_002_000269	夏四月己丑，令有司上山川險易圖。
HCH_012_002_000270	六月壬午，盱眙獻瑞麥，薦宗廟。
HCH_012_002_000271	壬辰，擴廓帖木兒遣兵攻雁門，指揮吳均擊卻之。
HCH_012_002_000272	是月，免北平、河間、河南、開封、延安、汾州被災田租。
HCH_012_002_000273	秋七月壬寅，命戶部稽渡江以來各省水旱災傷分數，優恤之。
HCH_012_002_000274	壬子，胡惟庸為右丞相。
HCH_012_002_000275	八月乙亥，詔祀三皇及歷代帝王。
HCH_012_002_000276	冬十月辛巳，召徐達、馮勝還。
HCH_012_002_000277	十一月壬子，擴廓帖木兒犯大同，徐達遣將擊敗之，達仍留鎮。
HCH_012_002_000278	甲子，遣兵部尚書劉仁振真定饑。
HCH_012_002_000279	丙寅，冬至，帝不豫，改卜郊。
HCH_012_002_000280	閏月乙亥，錄故功臣子孫未嗣者二百九人。
HCH_012_002_000281	壬午，有事於圜丘。
HCH_012_002_000282	庚寅，頒定大明律。
HCH_012_002_000283	是年，暹羅、高麗、占城、真臘、三佛齊入貢。
HCH_012_002_000284	命安南陳叔明權知國事。
HCH_012_002_000285	七年春正月甲戌，都督僉事王簡、王誠，平章李伯昇，屯田河南、山東、北平。
HCH_012_002_000286	靖海侯吳禎為總兵官，都督於顯副之，巡海捕倭。
HCH_012_002_000287	二月丁酉朔，日有食之。
HCH_012_002_000288	戊午，修曲阜孔子廟，設孔、顏、孟三氏學。
HCH_012_002_000289	是月，平陽、太原、汾州、歷城、汲縣旱蝗，並免租稅。
HCH_012_002_000290	夏四月己亥，都督藍玉敗元兵於白酒泉，遂拔興和。
HCH_012_002_000291	壬寅，金吾指揮陸齡討永、道諸州蠻，平之。
HCH_012_002_000292	五月丙子，免真定等四十二府州縣被災田租。
HCH_012_002_000293	辛巳，振蘇州饑民三十萬戶。
HCH_012_002_000294	癸巳，減蘇、松、嘉、湖極重田租之半。
HCH_012_002_000295	六月，陝西平涼、延安、靖寧、鄜州雨雹，山西、山東、北平、河南蝗，並蠲田租。
