HCH_011_003_000314	夏四月乙未，以驃騎大將軍、開府同三司之儀元法僧爲太尉，領軍師將軍。
HCH_011_003_000315	先是，尚書右丞江子四上封事，極言政治得失。
HCH_011_003_000316	五月癸卯，詔曰：「古人有言，屋漏在上，知之在下。朕所鐘過，不能自覺。江子四等封事如上，尚書可時加檢括，於民有蠹患者，便卽勒停，宜速詳啓，勿致淹緩。」
HCH_011_003_000317	乙巳，以魏前梁州刺史元羅爲征北大將軍、青、冀二州刺史。
HCH_011_003_000318	六月丁亥，詔曰：「南郊、明堂、陵廟等令，與朝請同班，於事爲輕，可改視散騎侍郎。」
HCH_011_003_000319	冬十月乙亥，詔大舉北伐。
HCH_011_003_000320	十一月己亥，詔北伐衆班師。
HCH_011_003_000321	辛亥，京師地震。
HCH_011_003_000322	十二月壬申，魏請通和，詔許之。
HCH_011_003_000323	丁酉，以吳興太守、駙馬都尉、利亭侯張纘爲吏部尚書。
HCH_011_003_000324	三年春正月辛丑，輿駕親祠南郊，大赦天下；孝悌力田賜爵一級。
HCH_011_003_000325	是夜，朱雀門災。
HCH_011_003_000326	壬寅，天無雲，雨灰，黃色。
HCH_011_003_000327	癸卯，以中書令卲陵王綸爲江州刺史。
HCH_011_003_000328	二月乙酉，老人星見。
HCH_011_003_000329	丁亥，輿駕親耕籍田。
HCH_011_003_000330	己丑，以尚書左僕射何敬容爲中權將軍，護軍將軍蕭淵藻爲安右將軍、尚書左僕射。
HCH_011_003_000331	以尚書右僕射謝舉爲右光祿大夫。
HCH_011_003_000332	庚寅，以安南將軍廬陵王續爲中衛將軍、護軍將軍。
HCH_011_003_000333	三月戊戌，立昭明太子子𧫷爲武昌郡王，譼爲義陽郡王。
HCH_011_003_000334	夏四月丁卯，以南琅邪、彭城二郡太守河東王譽爲南徐州刺史。
HCH_011_003_000335	五月丙申，以前揚州刺史武陵王紀復爲揚州刺史。
HCH_011_003_000336	六月，青州朐山境隕霜。
HCH_011_003_000337	秋七月癸卯，魏遣使來聘。
HCH_011_003_000338	己酉，義陽王譼薨。
HCH_011_003_000339	是月，青州雪，害苗稼。
HCH_011_003_000340	八月甲申，老人星見。
HCH_011_003_000341	辛卯，輿駕幸阿育王寺，赦天下。
