HCH_011_010_000212	沖報書曰：「足下在彼，吾在此，表裏之勢，所謂金城湯池；一旦舍去，則荊棘生焉。」
HCH_011_010_000213	乃表元起爲平南中兵參軍事。
HCH_011_010_000214	自是每戰必捷，勇冠當時，敢死之士樂爲用命者萬有餘人。
HCH_011_010_000215	義師起，蕭穎胄與書招之。
HCH_011_010_000216	張沖待元起素厚，衆皆懼沖；及書至，元起部曲多勸其還郢。
HCH_011_010_000217	元起大言於衆曰：「朝廷暴虐，誅戮宰臣，羣小用命，衣冠道盡。荊、雍二州同舉大事，何患不剋。且我老母在西，豈容背本。若事不成，政受戮昏朝，倖免不孝之罪。」
HCH_011_010_000218	卽日治嚴上道。
HCH_011_010_000219	至江陵，爲西中郎中兵參軍，加冠軍將軍，率衆與高祖會于夏口。
HCH_011_010_000220	高祖命王茂、曹景宗及元起等圍城，結壘九里，張沖屢戰，輒大敗，乃嬰城固守。
HCH_011_010_000221	和帝卽位，授假節、冠軍將軍、平越中郎將、廣州刺史，遷給事黃門侍郎，移鎮南堂西渚。
HCH_011_010_000222	中興元年七月，郢城降，以本號爲益州刺史，仍爲前軍，先定尋陽。
HCH_011_010_000223	及大軍進至京邑，元起築壘于建陽門，與王茂、曹景宗等合長圍，身當鋒鏑。
HCH_011_010_000224	建康城平，進號征虜將軍。
HCH_011_010_000225	天監初，封當陽縣侯，邑一千二百戶。
HCH_011_010_000226	又進號左將軍，刺史如故，始述職焉。
HCH_011_010_000227	初，義師之起，益州刺史劉季連持兩端；及聞元起將至，遂發兵拒守。
HCH_011_010_000228	語在《季連傳》。
HCH_011_010_000229	元起至巴西，巴西太守朱士略開門以待。
HCH_011_010_000230	先時蜀人多逃亡，至是出投元起，皆稱起義應朝廷，師人新故三萬餘。
HCH_011_010_000231	元起在道久，軍糧乏絕。
HCH_011_010_000232	或說之曰：「蜀土政慢，民多詐疾，若儉巴西一郡籍注，困而罰之，所獲必厚。」
HCH_011_010_000233	元起然之。
HCH_011_010_000234	涪令李膺諫曰：「使君前有嚴敵，後無繼援，山民始附，於我觀德，若糾以刻薄，民必不堪，衆心一離，雖悔無及，何必起疾，可以濟師。膺請出圖之，不患資糧不足也。」
HCH_011_010_000235	元起曰：「善，一以委卿。」
HCH_011_010_000236	膺退，率富民上軍資米，俄得三萬斛。
HCH_011_010_000237	元起先遣將王元宗等，破季連將李奉伯於新巴，齊晚盛於赤水，衆進屯西平。
HCH_011_010_000238	季連始嬰城自守。
HCH_011_010_000239	晚盛又破元起將魯方達於斛石，士卒死者千餘人，師衆咸懼，元起乃自率兵稍進至蔣橋，去成都二十里，留輜重於郫。
HCH_011_010_000240	季連復遣奉伯、晚盛二千人，間道襲郫，陷之，軍備盡沒。
HCH_011_010_000241	元起遣魯方達之衆救之，敗而反，遂不能剋。
HCH_011_010_000242	元起捨郫，逕圍州城，柵其三面而塹焉。
HCH_011_010_000243	元起出巡視圍柵，季連使精勇掩之，將至麾下，元起下輿持楯叱之，衆辟易不敢進。
HCH_011_010_000244	時益部兵亂日久，民廢耕農，內外苦饑，人多相食，道路斷絕，季連計窮。
HCH_011_010_000245	會明年，高祖使赦季連罪，許之降。
HCH_011_010_000246	季連卽日開城納元起，元起送季連于京師。
HCH_011_010_000247	城開，郫乃降。
HCH_011_010_000248	斬奉伯、晚盛。
HCH_011_010_000249	高祖論平蜀勳，復元起號平西將軍，增封八百戶，幷前二千戶。
HCH_011_010_000250	元起以鄉人庾黔婁爲錄事參軍，又得荊州刺史蕭遙欣故客蔣光濟，並厚待之，任以州事。
HCH_011_010_000251	黔婁甚清潔，光濟多計謀，並勸爲善政。
HCH_011_010_000252	元起之剋季連也，城內財寶無所私，勤恤民事，口不論財色。
HCH_011_010_000253	性本能飲酒，至一斛不亂，及是絕之。
HCH_011_010_000254	蜀土翕然稱之。
HCH_011_010_000255	元起舅子梁矜孫性輕脫，與黔婁志行不同，乃言於元起曰：「城中稱有三刺史，節下何以堪之！」
HCH_011_010_000256	元起由此疏黔屢、光濟，而治迹稍損。
HCH_011_010_000257	在州二年，以母老乞歸供養，詔許焉。
HCH_011_010_000258	徵爲右衛將軍，以西昌侯蕭淵藻代之。
HCH_011_010_000259	是時，梁州長史夏侯道遷以南鄭叛，引魏人，白馬戍主尹天寶馳使報蜀，魏將王景胤、孔陵寇東西晉壽，並遣告急，衆勸元起急救之。
HCH_011_010_000260	元起曰：「朝廷萬里，軍不卒至，若寇賊侵淫，方須撲討，董督之任，非我而誰？何事匆匆便救。」
HCH_011_010_000261	黔婁等苦諫之，皆不從。
HCH_011_010_000262	高祖亦假元起節，都督征討諸軍事，救漢中。
HCH_011_010_000263	比至，魏已攻陷兩晉壽。
HCH_011_010_000264	淵藻將至。
HCH_011_010_000265	元起頗營還裝，糧儲器械，略無遺者。
HCH_011_010_000266	淵藻入城，甚怨望之，因表其逗留不憂軍事。
HCH_011_010_000267	收付州獄，於獄自縊，時年四十八。
HCH_011_010_000268	有司追劾削爵土，詔減邑之半，乃更封松滋縣侯，邑千戶。
HCH_011_010_000269	初，元起在荊州，刺史隨王板元起爲從事，別駕庾蓽堅執不可，元起恨之。
HCH_011_010_000270	大軍旣至京師，蓽在城內，甚懼。
HCH_011_010_000271	及城平，元起先遣迎蓽，語人曰：「庾別駕若爲亂兵所殺，我無以自明。」
HCH_011_010_000272	因厚遣之。
HCH_011_010_000273	少時又嘗至其西沮田舍，有沙門造之乞，元起問田人曰：「有稻幾何？」
HCH_011_010_000274	對曰：「二十斛。」
HCH_011_010_000275	元起悉以施之。
HCH_011_010_000276	時人稱其有大度。
HCH_011_010_000277	元起初爲益州，過江陵迎其母，母事道，方居館，不肯出。
HCH_011_010_000278	元起拜請同行。
HCH_011_010_000279	母曰：「貧賤家兒忽得富貴，詎可久保，我寧死不能與汝共入禍敗。」
HCH_011_010_000280	元起之至巴東，聞蜀亂，使蔣光濟筮之，遇《蹇》，喟然歎曰：「吾豈鄧艾而及此乎。」
HCH_011_010_000281	後果如筮。
HCH_011_010_000282	子鏗嗣。
HCH_011_010_000283	陳吏部尚書姚察曰：永元之末，荊州方未有釁，蕭穎胄悉全楚之兵，首應義舉。
HCH_011_010_000284	豈天之所啓，人惎之謀？
HCH_011_010_000285	不然，何其響附之決也？
HCH_011_010_000286	穎達叔侄慶流後嗣，夏侯、楊、鄧咸享隆名，盛矣！
HCH_011_010_000287	詳之謹厚，楊、蔡廉節，君子有取焉。
HCH_011_010_000288	本唐朝作品在全世界都属于公有领域，因为作者逝世已经遠遠超过100年。
